Date,Open,High,Low,Close,Volume
2021-09-27,106.46,109.21,106.31,107.02,769500
2021-09-28,107.0,109.05,106.2,107.96,891500
2021-09-29,108.95,109.2,105.78,106.04,834800
2021-09-30,105.16,105.76,100.69,100.73,1335900
2021-10-01,101.88,104.49,99.68,104.14,803400
2021-10-04,104.11,107.11,104.11,106.47,823200
2021-10-05,107.7,111.28,106.66,108.36,1221100
2021-10-06,107.33,107.94,103.51,104.57,1026100
2021-10-07,106.14,108.26,105.91,106.33,832700
2021-10-08,106.03,106.03,101.79,102.74,880400
2021-10-11,102.57,104.04,100.52,101.11,938400
2021-10-12,100.94,104.96,100.94,104.38,791100
2021-10-13,104.95,105.98,103.75,105.44,444800
2021-10-14,106.45,107.46,105.49,106.97,529600
2021-10-15,107.5,108.41,106.87,107.76,440300
2021-10-18,105.31,108.38,104.68,108.24,749100
2021-10-19,108.34,108.56,107.05,107.59,537400
2021-10-20,107.86,110.62,107.25,107.66,668900
2021-10-21,108.61,110.76,107.96,110.21,897500
2021-10-22,110.3,112.64,109.72,111.7,601600
2021-10-25,111.9,113.36,111.53,112.55,891200
2021-10-26,113.13,114.34,112.22,112.84,684800
2021-10-27,112.26,112.75,110.46,110.51,937500
2021-10-28,111.16,114.25,111.12,113.17,1011200
2021-10-29,113.19,115.99,112.81,115.37,1316800
2021-11-01,115.96,119.43,115.94,117.71,1556400
2021-11-02,115.11,116.33,105.92,106.26,2867100
2021-11-03,107.0,112.56,107.0,111.53,1874700
2021-11-04,112.52,115.28,111.83,112.82,1088600
2021-11-05,114.89,117.52,114.04,115.7,938400
2021-11-08,115.21,118.13,114.99,116.99,1137500
2021-11-09,116.89,118.02,115.31,117.14,911500
2021-11-10,115.66,118.88,113.6,114.55,671900
2021-11-11,114.88,116.57,113.2,113.54,610500
2021-11-12,113.88,114.24,112.44,113.32,598900
2021-11-15,113.9,114.4,112.74,113.42,601100
2021-11-16,113.74,115.84,112.94,115.77,823400
2021-11-17,116.01,116.57,113.05,114.03,641400
2021-11-18,115.47,115.47,112.85,114.18,554600
2021-11-19,113.23,113.68,109.9,110.5,1178300
2021-11-22,110.93,114.14,109.91,113.12,513400
2021-11-23,113.12,115.11,111.57,112.81,678500
2021-11-24,110.59,111.03,107.77,110.27,1101900
2021-11-26,105.98,106.65,103.43,105.62,1055600
2021-11-29,107.95,108.8,105.32,108.06,1198300
2021-11-30,106.9,107.82,103.55,105.27,1405400
2021-12-01,108.26,112.25,105.51,105.64,1590600
2021-12-02,106.51,108.5,105.23,108.08,1024200
2021-12-03,108.98,109.63,103.94,105.39,852100
2021-12-06,107.15,113.22,107.0,111.18,953900
2021-12-07,112.5,115.93,112.39,112.96,1124700
2021-12-08,112.97,113.82,111.62,112.64,477200
2021-12-09,111.82,113.57,111.01,111.27,481700
2021-12-10,111.9,112.04,109.72,111.49,477900
2021-12-13,111.98,112.48,107.43,108.93,527500
2021-12-14,101.29,107.54,101.29,106.01,1645100
2021-12-15,105.38,105.59,101.99,105.1,917800
2021-12-16,106.52,106.98,103.34,103.8,785500
2021-12-17,102.94,105.92,101.22,104.37,994000
2021-12-20,102.64,102.64,97.05,98.79,911400
2021-12-21,99.78,101.78,99.76,101.58,683300
2021-12-22,101.58,103.17,101.49,101.87,363600
2021-12-23,102.43,102.84,101.26,102.36,313700
2021-12-27,102.91,107.07,102.91,106.73,802900
2021-12-28,106.52,108.33,106.32,106.57,473600
2021-12-29,106.79,107.79,106.56,107.22,362400
2021-12-30,107.33,108.83,107.22,107.65,281800
2021-12-31,107.66,108.72,106.97,108.49,455900
2022-01-03,109.44,111.62,108.85,110.37,769700
2022-01-04,111.56,114.45,111.56,113.34,731200
2022-01-05,114.07,115.45,111.33,111.48,837300
2022-01-06,112.38,112.42,108.31,109.58,733300
2022-01-07,108.9,110.25,107.51,107.76,717600
2022-01-10,107.07,107.07,102.61,105.45,924300
2022-01-11,105.61,107.62,103.95,107.05,569600
2022-01-12,107.71,108.78,104.74,105.02,1252000
2022-01-13,105.97,108.34,105.7,107.13,707200
2022-01-14,105.66,105.88,103.41,104.82,524300
2022-01-18,103.35,103.9,102.32,102.52,612700
2022-01-19,103.18,105.66,103.12,103.23,728500
2022-01-20,102.94,104.4,100.2,100.35,655900
2022-01-21,99.59,101.32,98.23,99.04,692000
2022-01-24,96.23,100.77,94.88,100.71,1032700
2022-01-25,98.42,100.0,96.45,98.71,806600
2022-01-26,99.88,100.42,95.52,96.57,907700
2022-01-27,98.14,101.28,96.89,97.84,787400
2022-01-28,97.16,100.2,96.21,99.76,1139600
2022-01-31,98.69,102.32,98.69,101.17,1272000
2022-02-01,101.37,104.0,100.95,103.61,1158200
2022-02-02,104.53,106.17,102.14,103.76,1497500
2022-02-03,111.29,112.09,106.9,107.42,2428400
2022-02-04,108.37,109.74,107.04,108.28,1448000
2022-02-07,109.67,109.67,107.88,108.93,1246900
2022-02-08,109.13,114.12,108.94,113.8,1813000
2022-02-09,114.92,117.49,113.55,116.06,1271100
2022-02-10,114.45,116.99,114.11,114.64,981900
2022-02-11,114.56,115.66,110.95,111.12,932200
2022-02-14,111.57,113.78,111.27,111.85,987700
2022-02-15,114.35,117.72,113.93,117.53,1094600
2022-02-16,117.16,119.84,116.69,118.7,926700
2022-02-17,117.65,119.58,115.44,115.65,1418600
2022-02-18,116.0,118.11,114.76,115.54,923600
2022-02-22,115.11,124.13,114.46,118.32,4037800
2022-02-23,119.3,120.62,117.02,117.84,1396600
2022-02-24,114.24,118.05,113.93,117.69,1397200
2022-02-25,118.23,122.93,117.66,122.41,1097300
2022-02-28,119.88,121.37,118.1,120.52,1109000
2022-03-01,119.79,120.85,112.75,113.82,1261000
2022-03-02,113.97,118.51,113.65,117.27,903000
2022-03-03,117.39,117.64,112.51,113.71,1197100
2022-03-04,111.74,112.11,104.52,105.93,1562100
2022-03-07,104.33,104.68,92.65,92.98,2636800
2022-03-08,93.64,97.55,91.68,92.2,1985500
2022-03-09,97.18,99.92,96.21,99.17,1481900
2022-03-10,96.52,102.42,96.52,99.6,1288400
2022-03-11,100.41,100.83,97.9,98.16,835400
2022-03-14,99.09,100.71,97.27,98.21,1193700
2022-03-15,99.09,100.59,95.88,98.6,1142700
2022-03-16,101.26,107.25,100.41,104.06,1055100
2022-03-17,105.97,108.92,104.72,108.82,1184400
2022-03-18,107.69,111.1,106.64,110.81,1298200
2022-03-21,110.93,111.38,107.27,108.17,707600
2022-03-22,109.7,110.42,105.8,107.05,716500
2022-03-23,106.25,106.94,105.31,106.22,518700
2022-03-24,107.02,107.63,106.13,107.33,532600
2022-03-25,108.05,108.19,106.08,107.2,508200
2022-03-28,106.78,109.04,104.83,108.72,1065800
2022-03-29,111.42,114.34,111.26,111.94,965200
2022-03-30,111.44,111.73,108.41,109.28,754200
2022-03-31,108.31,109.15,103.91,104.15,883900
2022-04-01,105.23,105.23,101.72,102.82,706600
2022-04-04,102.44,106.16,101.64,105.64,740900
2022-04-05,102.05,104.04,101.21,101.57,920400
2022-04-06,100.5,100.56,96.14,97.23,960500
2022-04-07,97.25,97.61,92.77,96.22,1312100
2022-04-08,95.8,98.53,93.59,96.96,938400
2022-04-11,96.23,100.98,95.8,96.43,1451300
2022-04-12,97.54,99.63,96.86,97.15,619100
2022-04-13,97.28,99.76,97.28,98.84,557500
2022-04-14,99.28,101.0,98.85,99.63,597900
2022-04-18,99.53,100.34,97.63,99.79,555400
2022-04-19,100.42,104.05,100.42,103.57,718300
2022-04-20,104.66,106.68,103.82,105.93,768700
