Date,Open,High,Low,Close,Volume
2021-07-12,237.38,239.46,237.38,238.12,388700
2021-07-13,238.8,240.12,237.21,238.04,475900
2021-07-14,236.82,238.83,235.1,238.63,577600
2021-07-15,237.31,239.36,237.1,238.84,376700
2021-07-16,239.68,243.25,239.68,242.28,403300
2021-07-19,240.55,243.53,240.03,242.62,497500
2021-07-20,242.83,245.48,242.62,244.25,449000
2021-07-21,244.45,244.53,241.22,244.36,298000
2021-07-22,245.05,247.47,245.05,246.49,226100
2021-07-23,247.04,249.03,246.62,248.63,322700
2021-07-26,245.61,248.8,244.84,248.55,298500
2021-07-27,247.99,253.81,247.48,252.85,503900
2021-07-28,253.02,255.57,251.02,254.57,580100
2021-07-29,255.44,258.35,254.65,258.11,284300
2021-07-30,257.37,261.0,256.26,260.09,350300
2021-08-02,257.41,259.06,254.04,257.05,559200
2021-08-03,257.77,261.4,255.9,261.32,476500
2021-08-04,262.37,265.53,260.93,261.42,515700
2021-08-05,261.34,261.34,251.86,255.86,953900
2021-08-06,260.28,265.04,256.39,262.85,718200
2021-08-09,263.24,266.78,262.1,265.99,519200
2021-08-10,266.07,266.32,262.04,263.26,465200
2021-08-11,264.25,264.25,260.53,260.77,355700
2021-08-12,259.53,263.68,259.53,263.34,406700
2021-08-13,263.76,263.76,261.53,263.24,297500
2021-08-16,263.69,268.28,263.03,268.16,508100
2021-08-17,267.71,269.92,267.23,268.51,424800
2021-08-18,268.81,271.37,267.79,267.92,345500
2021-08-19,267.38,274.3,266.37,271.24,304400
2021-08-20,269.99,275.89,269.29,273.79,422600
2021-08-23,275.96,278.17,273.63,273.93,371900
2021-08-24,273.73,275.12,270.25,270.48,367400
2021-08-25,270.54,274.22,269.85,273.66,347200
2021-08-26,273.35,273.99,271.18,273.17,250500
2021-08-27,274.24,277.01,273.3,274.96,297800
2021-08-30,273.99,278.67,273.64,277.02,342800
2021-08-31,277.94,278.62,275.35,278.43,520300
2021-09-01,276.39,277.55,271.66,276.07,552200
2021-09-02,277.51,282.24,277.41,282.14,301200
