Date,Open,High,Low,Close,Volume
2021-09-10,291.06,291.35,288.43,288.9,603000
2021-09-13,291.2,291.81,287.04,290.46,445100
2021-09-14,292.02,292.48,287.75,288.18,328800
2021-09-15,287.89,293.11,287.43,292.19,408200
2021-09-16,292.76,293.22,289.34,291.58,382000
2021-09-17,289.77,289.77,285.51,286.56,1083600
2021-09-20,281.68,282.08,276.19,278.21,941900
2021-09-21,279.82,279.85,274.57,276.09,678200
2021-09-22,277.55,278.95,276.38,277.72,543100
2021-09-23,280.17,281.78,277.25,279.75,550100
2021-09-24,278.47,281.11,278.2,278.3,325200
2021-09-27,278.28,281.99,278.09,278.54,309200
2021-09-28,277.24,278.81,271.83,272.94,490000
2021-09-29,273.91,275.17,272.94,273.97,406500
2021-09-30,275.64,276.33,270.33,270.45,598400
2021-10-01,270.06,273.53,266.33,271.21,469300
2021-10-04,270.32,271.93,267.22,269.27,461700
2021-10-05,272.21,275.25,270.8,274.4,407500
2021-10-06,271.2,274.53,269.15,274.29,421500
2021-10-07,276.95,281.89,276.48,280.39,697800
2021-10-08,276.79,278.87,275.1,277.16,364500
2021-10-11,276.29,280.12,274.63,274.73,347700
2021-10-12,276.06,276.86,272.89,274.06,334500
2021-10-13,274.84,277.93,273.02,275.82,330300
2021-10-14,278.05,285.43,277.93,285.3,393200
2021-10-15,287.36,290.93,285.4,289.0,379000
2021-10-18,286.91,290.27,285.75,289.72,290800
2021-10-19,292.17,292.66,289.0,290.78,331000
2021-10-20,292.16,294.93,290.74,293.78,288400
2021-10-21,292.28,292.34,284.95,292.22,493800
2021-10-22,293.34,294.32,290.23,290.93,288200
2021-10-25,290.93,291.85,287.3,290.36,440600
2021-10-26,291.45,293.03,289.5,290.26,498000
2021-10-27,291.07,294.47,287.87,288.55,380800
2021-10-28,289.93,293.49,289.24,293.15,498900
2021-10-29,292.71,294.85,292.27,293.78,439600
2021-11-01,294.22,296.16,290.51,294.23,798700
2021-11-02,309.05,317.4,303.39,315.86,1543900
2021-11-03,315.49,315.99,307.14,312.08,886300
2021-11-04,313.05,317.29,312.46,314.47,437300
2021-11-05,316.41,318.09,310.28,311.82,475600
2021-11-08,315.01,315.78,307.78,308.57,480700
2021-11-09,309.25,312.53,308.13,308.72,377400
2021-11-10,307.82,308.35,304.74,306.73,457900
2021-11-11,306.82,306.82,300.4,303.22,571600
2021-11-12,305.0,309.4,303.21,308.7,348200
2021-11-15,308.7,311.9,307.67,309.23,336900
2021-11-16,309.51,316.94,309.51,314.32,482500
2021-11-17,317.14,320.3,312.37,315.59,679500
2021-11-18,315.99,318.27,313.72,318.2,475600
2021-11-19,318.96,322.88,316.66,321.33,531500
2021-11-22,321.64,326.19,319.57,320.48,660200
2021-11-23,319.58,322.57,316.25,319.29,571800
2021-11-24,317.12,319.81,314.97,318.35,625300
2021-11-26,312.86,316.29,311.03,313.06,513900
2021-11-29,315.14,317.67,311.22,314.33,589500
2021-11-30,312.41,313.34,307.17,310.29,1427100
