Date,Open,High,Low,Close,Volume
2021-08-20,36.31,36.91,36.2,36.76,872200
2021-08-23,36.78,36.81,35.87,35.87,862300
2021-08-24,35.96,36.0,35.5,35.56,823500
2021-08-25,35.47,35.94,35.38,35.72,654600
2021-08-26,35.68,35.89,35.55,35.83,564700
2021-08-27,35.98,36.37,35.8,36.09,752800
2021-08-30,36.23,36.63,36.07,36.6,822400
2021-08-31,36.66,36.79,36.21,36.37,1395300
2021-09-01,36.44,36.57,36.07,36.37,1115200
2021-09-02,36.47,37.02,36.43,37.0,852000
2021-09-03,36.85,37.49,36.8,37.11,903200
2021-09-07,37.26,37.33,36.0,36.04,1340900
2021-09-08,35.98,36.82,35.88,36.66,1740700
2021-09-09,36.74,37.0,35.96,36.06,1478200
2021-09-10,36.2,36.76,35.98,36.4,995400
2021-09-13,36.6,36.69,35.07,35.43,1489200
2021-09-14,35.56,35.72,35.19,35.26,1203100
2021-09-15,35.25,35.25,34.71,34.77,2002000
2021-09-16,34.83,35.36,34.79,35.19,1672100
2021-09-17,35.11,35.41,34.31,34.71,4880100
2021-09-20,34.37,34.76,34.11,34.66,1671200
2021-09-21,34.8,35.27,34.76,34.94,1638900
2021-09-22,35.08,35.26,34.8,35.09,1060500
2021-09-23,35.29,35.44,34.99,35.08,839000
2021-09-24,35.03,35.08,34.79,35.04,656200
2021-09-27,34.93,34.93,34.12,34.19,888900
2021-09-28,33.86,34.09,33.09,33.35,1202800
2021-09-29,33.44,33.85,33.4,33.69,807500
2021-09-30,33.8,33.94,33.0,33.02,1139500
2021-10-01,33.2,33.52,32.51,33.3,1140900
2021-10-04,33.26,33.47,32.76,33.14,1172500
2021-10-05,33.21,33.66,33.03,33.56,957800
2021-10-06,33.32,34.09,33.32,34.0,1059300
2021-10-07,34.28,34.89,34.26,34.34,909700
2021-10-08,34.27,34.44,33.93,34.29,652200
2021-10-11,34.23,34.4,33.72,33.75,477400
2021-10-12,33.86,33.96,33.61,33.68,544400
2021-10-13,33.8,34.21,33.5,34.19,1000400
2021-10-14,34.52,34.89,34.37,34.77,813400
2021-10-15,34.98,35.17,34.79,34.86,814600
2021-10-18,34.8,35.64,34.7,35.63,1098700
2021-10-19,35.8,35.85,35.46,35.81,619600
2021-10-20,35.96,36.14,35.82,35.92,721000
2021-10-21,36.01,36.13,35.66,36.07,928800
2021-10-22,36.09,36.6,35.99,36.53,836400
2021-10-25,36.48,36.82,36.26,36.68,968700
2021-10-26,36.85,37.1,36.64,36.76,1057200
2021-10-27,36.3,36.51,32.78,32.79,2064200
2021-10-28,32.51,32.97,32.37,32.54,1796100
2021-10-29,32.45,33.06,32.17,32.93,1995200
2021-11-01,32.94,33.05,31.81,31.96,1543200
2021-11-02,31.98,33.24,31.98,32.83,1923800
2021-11-03,32.8,32.91,32.03,32.82,1213500
2021-11-04,33.0,34.16,32.94,33.92,2060100
2021-11-05,34.0,34.11,33.37,33.51,1126100
2021-11-08,33.55,33.72,33.05,33.41,1264800
2021-11-09,33.4,33.62,33.12,33.3,1084700
2021-11-10,33.16,33.62,33.16,33.59,954500
2021-11-11,33.79,33.79,33.34,33.47,572400
2021-11-12,33.58,33.91,33.42,33.81,704200
2021-11-15,33.79,34.11,33.55,33.7,957600
2021-11-16,33.76,34.16,33.68,33.85,874600
2021-11-17,33.92,33.92,33.34,33.78,910300
2021-11-18,33.81,33.9,33.35,33.48,818900
2021-11-19,33.61,33.72,33.11,33.27,1930800
2021-11-22,33.27,33.7,32.96,33.1,1780700
2021-11-23,33.0,33.77,32.96,33.72,1293000
2021-11-24,33.68,34.14,33.63,33.82,1071500
2021-11-26,33.53,34.05,33.25,33.31,957300
2021-11-29,33.51,33.61,32.8,33.19,1639500
2021-11-30,33.06,33.06,31.22,31.26,6421000
2021-12-01,31.47,31.66,29.98,30.0,2084400
2021-12-02,30.14,30.82,30.14,30.31,1631900
2021-12-03,30.48,30.63,29.52,29.84,2026400
2021-12-06,30.16,30.45,29.65,30.24,2840100
2021-12-07,30.67,30.9,30.45,30.52,2413900
2021-12-08,30.44,31.09,30.32,31.06,2462200
2021-12-09,31.05,31.11,30.26,30.29,1245600
2021-12-10,30.33,30.42,29.81,29.97,1720600
2021-12-13,30.01,30.52,29.94,30.35,2105000
2021-12-14,30.27,30.8,30.21,30.38,3004100
2021-12-15,30.32,30.84,30.26,30.55,3581200
2021-12-16,30.67,31.07,30.48,30.94,2896700
2021-12-17,30.82,31.16,30.48,30.78,4845000
2021-12-20,30.59,30.66,29.98,30.22,2654300
2021-12-21,30.45,30.74,30.17,30.6,2346200
2021-12-22,30.55,30.73,30.42,30.66,891600
2021-12-23,30.74,31.05,30.72,30.79,1037900
2021-12-27,30.9,31.16,30.69,31.09,940200
2021-12-28,31.33,31.67,31.11,31.49,2884900
2021-12-29,31.51,31.81,31.38,31.51,4301500
2021-12-30,31.42,31.72,31.19,31.6,1098600
2021-12-31,31.63,32.36,31.58,32.13,1288000
2022-01-03,32.14,32.32,31.07,31.56,1876400
2022-01-04,31.37,32.12,31.3,31.83,1781800
2022-01-05,31.8,31.9,30.89,30.9,2547000
2022-01-06,30.75,31.64,30.74,31.51,1697500
2022-01-07,31.56,31.83,31.47,31.65,2407600
2022-01-10,31.61,31.75,30.85,31.73,2549300
2022-01-11,31.68,31.85,31.05,31.56,2215400
2022-01-12,31.65,31.98,31.53,31.82,1855400
2022-01-13,31.85,32.06,31.2,31.47,1985800
2022-01-14,31.11,31.13,30.53,30.63,1673200
2022-01-18,29.95,30.25,29.5,29.79,1824100
2022-01-19,29.8,30.13,29.63,30.05,1882100
2022-01-20,30.21,30.56,29.7,29.73,1441900
2022-01-21,29.74,30.04,29.37,29.42,1685100
2022-01-24,29.08,29.99,28.57,29.96,2583100
2022-01-25,29.43,29.78,29.0,29.36,3328500
2022-01-26,28.2,28.63,27.56,27.9,10402900
2022-01-27,28.08,28.25,26.78,27.21,3361200
2022-01-28,27.23,28.15,26.82,28.14,2436800
2022-01-31,28.08,29.06,27.98,28.98,3883800
2022-02-01,29.14,29.28,28.76,29.15,1389400
2022-02-02,29.05,29.67,28.95,29.55,1506500
2022-02-03,29.33,29.49,28.81,28.86,1555600
2022-02-04,28.65,28.83,28.13,28.6,2403600
2022-02-07,28.7,28.9,28.51,28.64,2564600
2022-02-08,28.54,28.78,28.39,28.57,1422400
2022-02-09,28.82,29.56,28.82,29.55,1727400
2022-02-10,29.0,29.49,28.84,29.15,2243500
2022-02-11,29.21,29.5,28.71,28.96,2242100
2022-02-14,28.93,29.24,28.79,29.06,1705100
2022-02-15,29.47,29.55,29.09,29.5,2020800
2022-02-16,29.41,29.71,28.98,29.56,1262500
2022-02-17,29.45,29.65,29.29,29.39,1192900
2022-02-18,29.43,29.8,28.92,29.34,2978700
2022-02-22,29.19,29.53,29.0,29.21,2605300
2022-02-23,29.36,29.55,28.52,28.57,2033800
2022-02-24,28.22,29.85,28.1,29.78,2366400
2022-02-25,29.78,30.37,29.77,30.28,2477700
2022-02-28,30.05,30.82,30.04,30.75,2365600
2022-03-01,30.77,31.49,30.43,31.25,2437600
2022-03-02,31.3,32.26,31.27,32.12,2379000
2022-03-03,32.29,32.33,31.4,31.55,2788700
2022-03-04,31.4,32.13,31.0,32.05,1877600
2022-03-07,32.11,32.17,31.54,32.01,2155800
2022-03-08,31.69,31.89,30.56,30.7,3502400
2022-03-09,31.09,31.47,30.79,30.84,1401600
2022-03-10,30.47,30.74,30.32,30.72,1258700
2022-03-11,30.79,30.96,30.25,30.35,1965400
2022-03-14,30.59,31.54,30.37,31.44,1767300
2022-03-15,31.68,31.82,31.15,31.51,1395500
2022-03-16,31.52,31.97,31.23,31.82,1836800
2022-03-17,31.83,32.31,31.62,32.28,1449400
2022-03-18,32.36,32.39,31.89,32.23,2855700
2022-03-21,32.13,32.42,31.57,31.88,1458800
2022-03-22,31.89,32.09,31.68,31.77,1354700
2022-03-23,31.64,31.71,31.33,31.5,900700
2022-03-24,31.68,31.84,31.3,31.61,771100
2022-03-25,31.74,31.97,31.54,31.86,597800
2022-03-28,31.89,32.44,31.84,32.44,643900
2022-03-29,32.74,33.23,32.74,33.13,1103100
2022-03-30,33.11,33.4,32.94,33.4,835800
2022-03-31,33.46,33.64,33.02,33.03,1455300
2022-04-01,33.04,33.04,32.47,32.81,903500
2022-04-04,32.88,33.16,32.63,33.07,830200
2022-04-05,33.03,33.5,32.79,32.84,862700
2022-04-06,32.72,33.09,32.57,32.98,1352400
2022-04-07,32.98,33.62,32.84,33.49,1458000
2022-04-08,33.48,33.69,33.3,33.35,911200
2022-04-11,33.48,33.84,33.37,33.51,985400
2022-04-12,33.5,33.86,33.32,33.39,1063600
2022-04-13,33.33,33.7,33.33,33.44,708100
2022-04-14,33.55,33.68,32.85,32.89,919400
2022-04-18,32.83,33.0,32.1,32.32,831200
2022-04-19,32.36,32.78,32.32,32.6,1111800
2022-04-20,32.85,32.85,32.45,32.6,1508100
2022-04-21,32.82,32.98,32.42,32.52,930500
2022-04-22,32.4,32.51,31.61,31.65,1136000
2022-04-25,31.59,31.68,30.87,31.48,1366600
2022-04-26,31.4,31.47,30.81,30.84,2413900
2022-04-27,30.97,32.52,30.16,31.58,1839900
2022-04-28,31.82,32.64,31.59,32.45,1582900
2022-04-29,32.23,32.24,31.54,31.61,1810700
2022-05-02,31.59,32.06,31.0,31.29,1995900
2022-05-03,31.35,31.64,30.66,30.83,2316800
2022-05-04,30.76,32.17,30.7,32.11,1855100
2022-05-05,31.96,32.04,31.22,31.5,1466400
2022-05-06,31.39,32.17,31.02,32.07,1888900
2022-05-09,31.84,32.36,31.62,31.77,1833200
2022-05-10,32.05,32.35,30.71,31.08,1910300
2022-05-11,31.07,31.95,30.89,31.38,2199200
2022-05-12,31.25,31.67,31.02,31.41,1946700
2022-05-13,31.71,32.42,31.69,32.18,1100900
2022-05-16,32.11,33.01,31.9,32.9,1245600
2022-05-17,33.16,33.56,32.74,33.45,1313000
2022-05-18,33.08,33.21,32.42,32.52,1665800
2022-05-19,32.31,32.95,31.83,32.45,1362600
2022-05-20,32.69,33.37,32.57,33.35,1985200
2022-05-23,33.62,33.68,33.06,33.28,1223200
2022-05-24,33.21,33.55,32.58,33.27,2796300
2022-05-25,33.28,33.56,32.8,33.38,1818300
2022-05-26,33.75,34.37,33.71,34.26,1305100
2022-05-27,34.47,34.94,34.42,34.6,1472200
2022-05-31,34.27,34.27,33.34,33.52,6265400
2022-06-01,33.09,33.41,32.82,33.07,1765100
2022-06-02,33.21,33.38,32.52,32.88,2028800
2022-06-03,32.53,33.15,32.46,33.01,1258400
2022-06-06,33.23,33.49,33.07,33.12,1216300
2022-06-07,32.86,33.6,32.69,33.56,988400
2022-06-08,33.27,33.38,32.84,32.93,840500
2022-06-09,32.82,33.17,32.27,32.29,935400
2022-06-10,31.89,32.34,31.65,32.08,1281600
2022-06-13,31.49,31.77,31.02,31.17,1359700
2022-06-14,31.17,31.42,30.68,30.98,1470700
2022-06-15,31.24,31.35,30.73,30.97,1628000
2022-06-16,30.47,30.76,30.07,30.27,1355300
2022-06-17,30.11,30.43,29.71,30.04,2429300
2022-06-21,30.31,30.88,30.25,30.67,1341500
2022-06-22,30.43,31.3,30.34,31.24,1109800
2022-06-23,31.4,32.3,31.31,32.28,904700
2022-06-24,32.75,33.21,32.52,33.19,1744600
2022-06-27,33.22,33.45,32.78,33.35,1110200
2022-06-28,33.38,33.47,32.57,32.62,924400
2022-06-29,32.76,33.1,32.61,33.05,1115300
2022-06-30,32.9,33.11,32.7,33.01,2840200
2022-07-01,32.96,33.34,32.69,33.08,1677200
2022-07-05,32.82,33.08,32.16,33.06,1445500
2022-07-06,33.2,34.11,32.96,33.92,1891900
2022-07-07,33.84,34.74,33.8,34.59,1626900
2022-07-08,34.34,34.87,34.2,34.7,1321700
2022-07-11,34.64,34.98,34.59,34.93,1009500
2022-07-12,34.87,35.18,33.61,33.93,1681400
2022-07-13,33.51,33.89,33.3,33.39,1311700
2022-07-14,33.11,33.44,32.74,33.23,993600
2022-07-15,33.61,33.84,33.47,33.65,882400
2022-07-18,33.68,33.9,33.17,33.25,1059400
2022-07-19,33.56,34.53,33.45,34.44,1321700
2022-07-20,34.42,34.86,34.25,34.44,1652900
2022-07-21,34.5,34.58,34.18,34.56,657100
2022-07-22,34.61,35.0,34.25,34.47,1705700
2022-07-25,34.42,34.59,34.25,34.49,1021100
2022-07-26,34.32,34.66,33.91,34.24,1444600
2022-07-27,34.86,34.86,32.19,33.42,3418100
2022-07-28,33.73,37.05,33.61,36.46,3139500
2022-07-29,36.32,36.91,36.17,36.46,2636000
2022-08-01,36.35,37.01,36.12,36.96,1302100
2022-08-02,36.94,36.96,36.37,36.42,926000
2022-08-03,36.55,36.57,36.14,36.16,1631500
2022-08-04,36.08,36.18,35.32,35.67,1956100
2022-08-05,35.32,35.7,35.04,35.54,1008100
2022-08-08,35.75,35.97,35.53,35.71,1136500
2022-08-09,35.73,35.73,35.01,35.1,1085300
2022-08-10,35.62,35.74,35.05,35.38,1952900
2022-08-11,35.27,35.53,34.66,34.73,1160200
2022-08-12,34.76,35.15,34.54,35.04,1385500
2022-08-15,34.77,35.12,34.67,34.97,1113600
2022-08-16,34.66,35.9,34.66,35.53,1733500
2022-08-17,35.07,35.37,34.99,35.1,1681500
2022-08-18,35.19,35.31,35.08,35.25,1332300
2022-08-19,35.14,35.16,34.53,34.63,1327300
2022-08-22,34.34,34.82,34.19,34.5,1860100
2022-08-23,34.29,34.41,33.85,33.94,1120700
2022-08-24,34.11,34.13,33.44,33.73,1015300
2022-08-25,33.84,33.85,33.49,33.81,717000
2022-08-26,33.81,33.82,32.66,32.68,1099400
2022-08-29,32.41,32.58,32.24,32.26,1054600
2022-08-30,32.27,32.34,31.9,32.08,1024600
2022-08-31,32.18,32.18,31.81,32.0,2505800
2022-09-01,31.91,32.38,31.63,32.37,1356400
2022-09-02,32.7,32.71,31.81,31.98,942600
2022-09-06,32.91,34.2,32.64,33.91,3111900
2022-09-07,33.97,34.29,33.72,34.08,1800900
2022-09-08,33.87,34.37,33.81,34.34,1112100
2022-09-09,34.32,34.54,34.09,34.23,1096000
2022-09-12,34.26,34.51,34.17,34.36,902600
2022-09-13,33.86,34.49,33.71,34.05,1549900
2022-09-14,34.14,34.9,34.1,34.43,1368800
2022-09-15,34.36,34.37,33.82,33.93,1167100
2022-09-16,33.71,33.87,33.39,33.71,2346900
2022-09-19,33.54,34.35,33.45,34.34,977200
2022-09-20,34.16,34.28,33.63,33.89,833700
2022-09-21,34.13,34.44,33.6,33.64,691500
2022-09-22,33.49,33.56,33.01,33.08,576600
2022-09-23,32.89,33.15,32.5,32.96,857800
2022-09-26,32.95,33.21,32.62,32.82,832500
2022-09-27,33.09,33.17,32.41,32.54,737700
2022-09-28,32.78,33.24,32.46,33.08,905200
2022-09-29,32.96,33.41,32.88,33.3,888300
2022-09-30,33.3,33.75,32.83,32.87,1338000
2022-10-03,33.08,33.77,32.9,33.53,1308900
2022-10-04,33.88,35.18,33.74,35.16,1462500
2022-10-05,34.86,35.16,34.29,34.76,1000800
2022-10-06,34.72,35.25,34.54,35.19,1283100
2022-10-07,34.91,35.06,34.17,34.27,1153000
2022-10-10,34.42,34.72,34.12,34.54,759700
2022-10-11,34.51,34.71,34.15,34.46,1014200
2022-10-12,34.65,34.65,34.28,34.31,1175000
2022-10-13,33.63,34.46,32.72,34.17,1596500
2022-10-14,34.55,34.65,32.68,33.19,2380300
2022-10-17,33.55,34.35,33.55,34.25,1091200
2022-10-18,34.75,35.01,34.45,34.75,991800
2022-10-19,34.64,34.98,34.39,34.95,1036300
2022-10-20,34.97,35.14,33.79,34.11,1297000
2022-10-21,34.15,34.63,33.8,34.53,1169600
2022-10-24,35.01,35.26,34.37,34.38,1405700
2022-10-25,33.95,34.19,33.23,34.06,2005800
2022-10-26,35.69,37.8,35.04,37.48,3618100
2022-10-27,37.91,39.15,37.76,38.88,2531500
