Date,Open,High,Low,Close,Volume
2021-07-12,152.59,154.43,152.42,152.76,484700
2021-07-13,151.98,153.15,151.17,151.35,497100
2021-07-14,151.95,152.26,149.72,150.2,500200
2021-07-15,149.8,151.85,149.67,151.44,318900
2021-07-16,151.5,153.33,150.34,152.36,528200
2021-07-19,150.6,153.45,150.6,153.16,837800
2021-07-20,153.21,155.06,152.26,153.63,642900
2021-07-21,153.89,155.02,151.9,154.86,798600
2021-07-22,155.77,158.86,155.67,158.26,780200
2021-07-23,158.95,162.72,158.95,162.49,866700
2021-07-26,160.17,171.44,159.21,170.17,2004600
2021-07-27,171.3,172.55,165.99,168.24,949800
2021-07-28,168.28,173.3,167.6,172.49,1123100
2021-07-29,173.43,178.17,172.71,177.28,1232200
2021-07-30,177.07,181.78,175.73,180.18,1199200
2021-08-02,181.29,183.59,179.33,181.77,1278500
2021-08-03,181.93,185.03,181.42,182.98,1080200
2021-08-04,183.64,185.58,181.7,184.74,908400
2021-08-05,184.76,186.28,182.14,184.94,657200
2021-08-06,183.85,184.13,181.15,183.34,481800
2021-08-09,184.09,185.49,181.93,184.58,600500
2021-08-10,184.73,185.5,181.03,181.43,888000
2021-08-11,182.14,182.29,176.05,177.21,1108300
2021-08-12,177.86,180.35,177.05,180.23,666000
2021-08-13,179.87,181.29,179.62,181.05,355000
2021-08-16,181.23,182.94,179.62,182.53,730100
2021-08-17,181.98,182.71,178.68,180.79,703100
2021-08-18,180.8,182.69,178.98,179.03,623300
2021-08-19,178.03,180.73,177.26,179.72,623700
2021-08-20,180.06,181.93,178.42,179.06,498200
2021-08-23,180.58,181.55,179.24,179.46,498800
2021-08-24,179.63,181.09,178.71,180.15,905600
2021-08-25,179.73,183.3,179.22,182.93,501600
2021-08-26,182.36,183.82,180.06,181.61,393500
2021-08-27,182.11,184.73,180.53,180.85,438400
2021-08-30,181.77,187.18,181.48,185.83,619600
2021-08-31,186.32,186.37,181.69,182.72,600800
2021-09-01,182.95,186.55,182.22,185.89,455200
2021-09-02,186.97,188.44,186.28,186.7,619200
2021-09-03,185.97,188.4,184.17,188.35,974500
2021-09-07,187.6,188.77,185.16,187.68,653700
2021-09-08,187.3,188.92,185.88,187.97,587300
2021-09-09,188.35,188.74,184.32,184.74,477400
2021-09-10,184.75,186.31,184.32,184.94,443100
2021-09-13,185.91,185.91,176.6,180.8,755700
2021-09-14,182.52,183.73,180.76,181.31,424600
2021-09-15,181.25,186.23,179.99,184.73,1119400
2021-09-16,184.18,184.34,180.84,183.77,770500
2021-09-17,183.58,186.52,182.79,185.45,1569800
2021-09-20,183.15,186.3,180.38,181.87,782000
2021-09-21,182.74,183.76,181.22,182.72,564500
2021-09-22,183.36,185.02,182.56,182.96,334000
2021-09-23,184.34,189.84,183.91,183.98,1052100
2021-09-24,183.37,183.59,179.67,180.82,530300
2021-09-27,179.17,179.77,172.55,174.56,741400
2021-09-28,172.7,172.7,168.46,171.85,859000
2021-09-29,173.07,174.91,172.09,173.08,707900
2021-09-30,174.26,175.82,171.25,171.34,783000
2021-10-01,171.29,172.34,167.26,171.64,545300
2021-10-04,171.05,172.3,167.93,169.16,572100
2021-10-05,169.91,172.45,168.12,168.14,1088200
2021-10-06,166.54,168.83,166.27,168.33,523200
