Date,Open,High,Low,Close,Volume
2021-09-13,106.49,106.72,105.31,105.86,4381100
2021-09-14,106.34,106.47,105.13,105.58,4722800
2021-09-15,103.89,103.94,100.48,101.83,11556200
2021-09-16,101.96,102.39,100.54,101.86,7997000
2021-09-17,101.74,102.02,100.48,100.74,9261000
2021-09-20,98.91,99.72,98.04,99.32,7795200
2021-09-21,99.41,100.9,99.26,99.68,5468400
2021-09-22,100.43,101.29,99.77,100.43,4578200
2021-09-23,100.72,101.89,100.46,101.38,3842000
2021-09-24,101.38,102.02,101.05,101.36,3955000
2021-09-27,100.91,101.86,100.29,100.98,3988800
2021-09-28,100.09,100.37,98.67,99.23,5917700
2021-09-29,99.39,99.95,99.1,99.63,4389100
2021-09-30,99.06,99.63,97.98,97.98,5974500
2021-10-01,98.5,100.78,98.19,100.3,5636900
2021-10-04,99.87,100.44,98.61,99.0,4497700
2021-10-05,98.71,99.02,97.73,98.46,5884000
2021-10-06,97.87,99.5,97.25,99.16,5734500
2021-10-07,99.82,100.35,99.53,99.67,5549500
2021-10-08,100.0,100.07,98.71,98.79,3787000
2021-10-11,100.27,100.87,98.52,98.54,5987300
2021-10-12,99.23,99.37,98.29,98.6,3866800
2021-10-13,98.94,99.02,97.18,98.38,4806500
2021-10-14,98.67,100.03,98.6,99.37,5194900
2021-10-15,99.88,100.3,98.55,99.0,5860900
2021-10-18,98.99,100.88,98.56,100.7,4958400
2021-10-19,101.03,101.74,100.16,100.81,5799300
2021-10-20,100.43,102.25,100.11,101.14,7645200
2021-10-21,101.2,101.76,100.91,101.65,3684300
2021-10-22,101.62,102.13,101.32,101.75,3396400
2021-10-25,101.92,102.04,100.69,101.89,4290600
2021-10-26,102.08,102.4,101.48,102.08,5948000
2021-10-27,102.65,102.65,100.44,100.82,5853900
2021-10-28,101.03,101.79,99.89,100.55,7697600
2021-10-29,95.49,95.92,92.4,94.22,27419600
2021-11-01,95.25,97.84,95.22,97.53,14184600
2021-11-02,97.93,99.32,97.52,99.0,11538900
2021-11-03,98.89,100.3,97.8,100.03,6422600
2021-11-04,99.13,99.86,98.53,99.63,8212600
2021-11-05,100.58,104.22,100.5,103.84,10256800
2021-11-08,103.5,104.34,101.77,102.29,8753300
2021-11-09,101.84,102.68,100.7,101.38,6754700
2021-11-10,100.72,102.11,100.45,101.03,6563700
2021-11-11,101.03,101.03,98.61,99.41,7191900
2021-11-12,99.68,100.13,99.1,99.66,7350400
2021-11-15,100.02,101.38,99.54,99.8,6566100
2021-11-16,100.16,100.9,99.48,100.12,7965000
2021-11-17,100.11,100.9,99.61,100.38,5768600
2021-11-18,100.02,101.01,99.32,100.72,5632100
2021-11-19,100.56,100.72,97.92,98.82,6921800
2021-11-22,99.12,100.44,98.73,99.42,5967300
2021-11-23,99.91,101.79,99.72,101.32,7911000
2021-11-24,101.17,101.93,100.88,101.67,4464300
2021-11-26,98.14,98.87,97.46,98.72,6703200
2021-11-29,99.34,99.64,97.79,98.78,7114100
2021-11-30,97.73,99.1,97.28,97.81,9483300
2021-12-01,98.98,101.12,96.83,96.93,7618500
2021-12-02,97.39,99.98,97.39,99.4,7709400
2021-12-03,99.78,100.67,98.2,99.23,7014100
2021-12-06,99.92,101.85,99.65,101.13,8280200
2021-12-07,102.64,104.54,102.4,103.71,8786900
2021-12-08,103.28,104.06,102.72,103.7,5807000
2021-12-09,103.3,103.85,102.8,102.9,5664700
2021-12-10,103.32,104.45,103.28,104.13,6110800
2021-12-13,103.62,104.22,102.79,103.09,6479400
2021-12-14,102.21,102.86,101.72,102.33,6854600
2021-12-15,102.42,102.77,100.59,102.3,6902400
2021-12-16,102.59,102.95,101.0,101.33,7544400
2021-12-17,99.26,99.73,96.54,96.91,13696900
2021-12-20,95.51,96.45,95.1,96.42,6313700
2021-12-21,97.24,98.93,97.12,98.46,4682200
2021-12-22,98.31,99.72,98.13,99.68,3643300
2021-12-23,100.12,100.72,99.9,100.24,3359600
2021-12-27,100.45,102.03,100.26,101.89,3716700
2021-12-28,101.7,103.73,101.53,103.1,4561600
2021-12-29,102.95,104.34,102.87,103.82,4215300
2021-12-30,103.82,104.68,103.55,103.69,4068700
2021-12-31,103.19,104.8,103.12,104.35,3674900
2022-01-03,103.9,105.09,102.39,104.09,5475700
2022-01-04,104.28,104.42,101.85,101.91,8367600
2022-01-05,102.05,102.55,98.49,98.52,8662300
2022-01-06,98.13,99.81,98.12,99.15,6099900
2022-01-07,96.54,97.87,95.88,95.96,11266400
2022-01-10,95.11,95.46,93.15,94.59,8499400
2022-01-11,94.6,94.71,92.52,92.81,13073200
2022-01-12,93.17,93.95,92.49,92.66,11810500
2022-01-13,92.91,93.37,91.07,91.35,9818500
2022-01-14,90.91,90.91,88.4,89.31,13703200
2022-01-18,88.47,88.64,86.99,87.18,11396000
2022-01-19,87.37,87.77,86.34,86.42,10856800
2022-01-20,86.97,88.26,85.27,85.39,20311500
2022-01-21,85.55,87.79,85.17,85.92,13438300
2022-01-24,84.52,87.74,84.22,87.51,17201400
2022-01-25,86.24,87.5,84.86,86.54,12368500
2022-01-26,87.16,87.99,84.66,85.26,11863000
2022-01-27,86.19,86.68,84.8,85.03,7322200
2022-01-28,84.8,86.73,83.67,86.72,8345400
2022-01-31,86.56,87.78,86.01,87.71,8807700
2022-02-01,87.8,88.34,86.35,88.1,11601900
2022-02-02,85.46,88.45,84.52,87.18,15578800
2022-02-03,86.39,86.95,85.34,85.59,8901100
2022-02-04,85.11,85.59,83.7,84.75,8267600
2022-02-07,85.06,85.74,84.64,84.92,6849000
2022-02-08,85.01,85.67,84.17,84.68,7161000
2022-02-09,85.86,87.4,85.82,86.65,9353700
2022-02-10,85.59,86.8,85.16,85.45,9098800
2022-02-11,85.71,86.51,83.71,84.04,6924800
2022-02-14,84.06,84.72,82.86,83.97,7948500
2022-02-15,85.31,85.59,84.6,84.74,7722200
2022-02-16,84.59,85.67,83.53,85.34,6545800
2022-02-17,84.66,84.85,83.19,83.43,6578200
2022-02-18,82.99,84.33,82.96,83.69,6210600
2022-02-22,83.92,84.32,82.81,83.48,8622500
2022-02-23,84.17,84.17,80.19,80.38,9674800
2022-02-24,78.45,81.77,78.23,81.6,9260500
2022-02-25,81.86,83.2,80.94,83.01,7039400
2022-02-28,81.85,82.77,81.25,82.3,8591500
2022-03-01,82.03,82.05,80.38,80.82,7100700
2022-03-02,81.38,83.63,81.22,83.18,10721100
2022-03-03,83.81,83.83,81.66,82.07,6587400
2022-03-04,81.56,81.73,80.2,80.72,7179800
2022-03-07,80.73,80.74,75.63,75.73,14608700
2022-03-08,76.0,77.93,75.1,75.31,10692000
2022-03-09,77.56,79.02,77.4,78.54,8811600
2022-03-10,77.19,78.33,76.75,78.15,9114300
2022-03-11,79.21,79.63,74.01,74.18,15351700
2022-03-14,73.81,73.83,70.76,71.09,18199300
2022-03-15,72.18,74.81,71.98,74.53,12542300
2022-03-16,78.91,80.77,76.77,78.37,21207900
2022-03-17,78.42,78.86,77.12,78.6,8554200
2022-03-18,77.22,80.47,76.19,80.34,23784200
2022-03-21,80.34,80.44,77.08,77.88,11925300
2022-03-22,78.36,79.89,78.14,78.8,8447400
2022-03-23,78.33,78.64,77.2,77.3,7670500
2022-03-24,77.85,78.14,76.71,78.11,6163400
2022-03-25,78.35,78.6,77.3,78.41,7048100
2022-03-28,78.43,79.28,77.78,79.24,5981000
2022-03-29,80.42,82.4,80.39,81.8,8963200
2022-03-30,81.37,82.07,81.05,81.62,8122100
2022-03-31,81.88,83.05,81.56,81.56,11306100
2022-04-01,82.04,82.39,81.12,82.03,6516300
2022-04-04,78.8,79.31,77.27,78.98,16243100
2022-04-05,77.61,77.66,75.15,75.42,17525800
2022-04-06,75.0,75.22,73.58,74.74,10567000
2022-04-07,74.41,74.87,73.03,74.53,10869100
2022-04-08,74.59,74.59,72.93,73.09,9286800
2022-04-11,72.52,73.29,71.99,72.34,8623200
2022-04-12,72.47,72.87,71.41,71.54,8472500
2022-04-13,71.62,72.9,71.38,72.55,8604400
2022-04-14,72.4,72.7,71.06,71.28,9567200
2022-04-18,70.87,71.7,70.72,71.37,7797300
2022-04-19,71.39,73.11,71.2,72.82,8622100
2022-04-20,72.9,73.09,71.73,71.88,8368800
2022-04-21,72.67,72.79,70.59,70.8,8152500
2022-04-22,70.73,71.26,69.74,69.86,10315500
2022-04-25,69.38,70.01,68.8,69.92,10259000
2022-04-26,69.48,69.56,67.81,67.81,8800500
2022-04-27,67.59,68.53,66.96,67.01,8467300
