Date,Open,High,Low,Close,Volume
2021-07-12,65.44,67.39,65.26,67.11,6192400
2021-07-13,66.98,67.47,66.4,67.21,7489100
2021-07-14,66.77,67.48,65.47,65.69,7577000
2021-07-15,65.26,66.97,64.91,66.02,5719800
2021-07-16,66.0,66.11,63.91,64.47,10465600
2021-07-19,63.04,63.74,61.95,62.4,8937300
2021-07-20,62.32,63.88,61.51,63.58,5857700
2021-07-21,64.25,65.52,64.03,65.09,5767000
2021-07-22,64.86,65.2,62.83,62.93,8206600
2021-07-23,63.18,64.02,62.93,63.55,6059900
2021-07-26,63.58,64.22,63.31,63.67,5838300
2021-07-27,63.21,63.47,62.32,63.04,3879400
2021-07-28,63.31,63.94,62.82,63.49,5206000
2021-07-29,64.01,64.83,63.4,64.17,4475900
2021-07-30,63.86,64.68,63.41,63.59,4084100
2021-08-02,63.82,65.23,63.28,63.39,4941400
2021-08-03,63.79,63.86,61.91,63.08,4858100
2021-08-04,62.55,63.92,62.23,63.33,4619300
2021-08-05,63.69,65.22,63.64,64.85,4814400
2021-08-06,65.64,67.8,65.56,67.31,9361700
2021-08-09,67.04,69.34,66.82,68.71,6079800
2021-08-10,68.64,70.18,68.24,69.74,5784800
2021-08-11,70.03,70.55,69.32,70.01,6280700
2021-08-12,69.94,70.82,69.75,70.75,3425600
2021-08-13,70.64,70.75,68.9,69.43,3552100
2021-08-16,68.79,69.21,67.65,68.72,3796400
2021-08-17,68.18,68.47,67.16,68.01,5487200
2021-08-18,67.77,68.91,67.46,67.54,5828500
2021-08-19,66.57,67.38,65.79,66.66,3303600
2021-08-20,66.67,67.64,66.33,67.51,3259100
2021-08-23,67.82,68.23,67.59,67.82,3989700
2021-08-24,68.03,69.73,67.82,69.56,5296300
2021-08-25,69.81,70.73,69.43,69.96,4754900
2021-08-26,70.33,70.54,69.07,69.09,3237400
2021-08-27,69.18,71.2,69.17,71.14,4690800
2021-08-30,71.15,71.29,68.79,68.89,9734600
2021-08-31,68.69,69.04,67.5,68.34,7450300
2021-09-01,68.33,69.01,67.32,68.67,4606200
2021-09-02,68.97,69.15,68.08,68.39,3213200
2021-09-03,68.43,68.99,67.59,67.62,3348900
2021-09-07,67.07,67.94,66.62,67.61,4129000
2021-09-08,67.61,67.87,66.89,67.13,2955000
2021-09-09,67.16,69.2,66.88,67.85,4549200
2021-09-10,68.46,68.46,66.96,67.01,4099900
2021-09-13,67.54,67.77,66.45,67.44,3180200
2021-09-14,67.33,67.72,64.85,65.41,5572700
2021-09-15,65.59,66.97,65.13,66.74,4248900
2021-09-16,66.95,67.5,66.01,66.4,3054600
2021-09-17,65.93,66.54,65.49,66.07,10256800
2021-09-20,64.39,64.7,63.14,64.54,5848600
2021-09-21,64.94,65.12,63.91,64.2,4243100
2021-09-22,65.16,66.7,64.8,66.04,4957000
2021-09-23,66.8,69.81,66.64,69.7,5860900
2021-09-24,69.44,71.24,69.36,70.91,6437400
2021-09-27,71.29,72.87,71.24,72.59,6584100
2021-09-28,72.7,73.14,70.77,71.46,8754700
2021-09-29,71.75,71.76,70.1,70.71,6075700
2021-09-30,71.26,71.26,68.26,68.33,7077400
2021-10-01,68.45,70.3,67.59,69.81,4814800
2021-10-04,69.58,70.47,68.4,68.69,5938700
2021-10-05,69.1,71.82,69.1,71.2,7569900
2021-10-06,70.37,71.4,69.39,71.02,5731600
2021-10-07,71.76,72.93,71.52,71.66,4560900
2021-10-08,71.6,73.04,71.47,72.55,3485100
2021-10-11,72.97,74.05,71.81,71.86,4229100
2021-10-12,72.31,73.09,71.62,72.48,6138200
2021-10-13,72.73,72.91,70.28,71.55,6066000
2021-10-14,72.44,73.52,71.89,73.27,4799500
2021-10-15,74.5,75.98,73.51,75.89,9004400
2021-10-18,75.75,76.21,74.77,75.56,6323200
2021-10-19,75.6,76.57,75.26,76.49,5346500
2021-10-20,76.11,76.74,75.59,76.54,6157200
2021-10-21,76.45,77.46,75.74,77.15,5938000
2021-10-22,77.27,78.55,77.16,78.37,5740200
2021-10-25,78.51,78.81,77.72,77.76,4213500
2021-10-26,78.32,79.26,77.88,77.91,6362400
2021-10-27,77.55,78.54,76.07,76.12,6539200
2021-10-28,76.46,77.3,76.3,76.91,3579600
2021-10-29,76.92,77.59,76.68,76.95,4421600
2021-11-01,77.44,77.65,76.37,76.8,4095700
2021-11-02,76.81,77.41,76.34,76.7,3682600
2021-11-03,76.65,78.66,76.46,78.17,7051500
2021-11-04,77.81,77.98,75.34,76.4,5782900
2021-11-05,77.01,77.82,75.81,76.12,4107600
2021-11-08,76.66,77.54,76.34,76.62,3420000
2021-11-09,75.89,76.32,74.98,75.78,4193800
2021-11-10,75.52,76.22,75.04,75.92,4739000
2021-11-11,76.35,77.17,75.75,76.53,2794800
2021-11-12,76.47,77.39,75.79,77.2,4681400
2021-11-15,77.55,77.61,76.73,77.02,3302400
2021-11-16,76.85,77.25,76.2,76.91,4383200
2021-11-17,76.65,76.86,75.35,76.55,5613500
2021-11-18,76.81,77.17,76.36,76.83,3297500
2021-11-19,75.93,76.14,74.13,75.37,6394900
2021-11-22,76.36,78.3,76.15,77.02,5896200
2021-11-23,77.4,78.15,76.76,77.98,4321800
2021-11-24,77.46,78.46,77.46,78.16,4725400
2021-11-26,74.95,75.04,73.28,74.41,5773800
2021-11-29,75.62,76.04,74.21,75.31,6017600
2021-11-30,74.07,74.37,72.6,72.76,9711300
2021-12-01,74.84,75.48,71.88,71.95,6029400
2021-12-02,72.65,75.68,72.28,75.32,8382000
2021-12-03,75.68,76.15,73.01,73.77,7344000
2021-12-06,74.92,76.13,73.94,75.56,4488800
2021-12-07,76.43,77.3,76.06,76.44,4333000
2021-12-08,76.42,76.99,75.69,76.34,4138300
2021-12-09,75.89,76.92,75.5,75.83,3652800
2021-12-10,76.32,76.32,74.85,75.97,3864900
2021-12-13,75.66,75.85,74.06,74.63,5057400
2021-12-14,74.52,76.41,74.3,75.95,6068800
2021-12-15,76.06,76.98,74.79,76.72,5307200
2021-12-16,78.5,80.62,78.02,78.87,9825000
2021-12-17,78.52,79.15,76.73,77.99,13350300
2021-12-20,76.73,76.73,74.23,75.85,6446300
2021-12-21,76.83,78.28,76.83,78.21,4353500
2021-12-22,78.02,79.44,77.67,79.33,3945200
2021-12-23,79.97,80.85,79.95,80.03,3570400
2021-12-27,80.24,80.68,79.93,80.68,2815000
2021-12-28,80.5,81.26,80.16,80.38,2719000
2021-12-29,80.42,81.0,79.63,79.87,4196900
2021-12-30,80.06,81.03,79.34,79.42,3079200
2021-12-31,79.37,79.72,78.71,79.07,3223200
2022-01-03,79.51,80.72,79.1,80.63,6739700
2022-01-04,81.82,85.41,81.61,84.58,12870700
2022-01-05,84.61,85.23,83.96,83.96,9568800
2022-01-06,85.47,86.02,84.1,85.31,7941200
2022-01-07,85.13,86.79,84.71,86.25,7344300
2022-01-10,86.0,86.63,83.64,86.16,6821800
2022-01-11,86.83,88.47,86.24,88.29,8977700
2022-01-12,88.7,89.36,87.78,89.14,8669100
2022-01-13,87.81,89.08,87.3,87.79,9123000
2022-01-14,87.43,89.9,87.05,89.81,10057100
2022-01-18,89.23,89.32,84.27,86.64,15343500
2022-01-19,87.43,87.73,85.53,86.03,9110700
2022-01-20,86.99,87.73,85.95,85.96,8790900
2022-01-21,85.62,85.62,83.04,83.86,9773200
2022-01-24,81.28,83.73,80.08,83.4,13314700
2022-01-25,82.05,84.32,80.61,83.23,9155100
2022-01-26,84.6,85.82,83.67,84.62,8703900
2022-01-27,85.56,87.34,83.72,84.33,10986500
2022-01-28,83.64,85.02,81.02,83.59,13898000
2022-01-31,82.61,82.99,79.84,82.45,12540800
2022-02-01,83.32,85.0,82.34,84.67,9309100
2022-02-02,84.57,85.27,83.02,84.95,6511500
2022-02-03,84.93,86.12,83.44,83.57,7044400
2022-02-04,83.63,87.5,83.63,86.4,8962400
2022-02-07,87.02,88.22,86.39,87.57,5368300
2022-02-08,88.16,89.58,88.08,89.28,8092700
2022-02-09,89.92,90.48,88.59,88.86,5545100
2022-02-10,88.24,89.99,87.16,87.48,9336400
2022-02-11,86.89,87.28,83.39,83.95,12520300
2022-02-14,84.06,84.2,81.24,82.66,9735700
2022-02-15,83.99,85.19,83.76,84.45,6049500
2022-02-16,83.44,84.64,83.13,84.16,4936600
2022-02-17,82.91,83.23,80.94,81.04,7858200
2022-02-18,80.77,81.82,80.4,80.66,5605800
2022-02-22,80.34,81.31,79.25,79.68,7000700
2022-02-23,80.43,81.51,77.43,77.77,7808600
2022-02-24,74.59,77.81,73.03,77.51,10687500
2022-02-25,77.65,81.47,77.61,80.79,9128100
2022-02-28,78.21,80.54,77.86,79.57,9401400
2022-03-01,78.35,78.78,72.08,73.36,14470700
2022-03-02,74.43,77.76,74.26,77.08,10446900
2022-03-03,77.26,77.53,75.41,76.04,6544700
2022-03-04,73.96,74.99,73.17,74.65,6676000
2022-03-07,73.85,74.69,71.82,71.94,7950500
2022-03-08,72.69,73.2,70.31,71.31,7100700
2022-03-09,74.6,75.52,73.64,74.8,5883900
2022-03-10,73.61,75.21,73.21,75.04,5030900
2022-03-11,76.6,76.93,75.52,75.6,6321000
2022-03-14,77.54,79.91,77.1,78.44,9527100
2022-03-15,79.24,79.5,77.54,78.36,5805400
2022-03-16,80.03,83.84,79.68,83.79,10413500
2022-03-17,82.64,84.62,81.74,84.59,6689600
2022-03-18,84.78,85.52,84.26,84.79,13003200
2022-03-21,84.84,85.1,83.13,83.86,5782200
2022-03-22,85.04,87.62,85.04,86.87,8382700
2022-03-23,85.95,86.71,84.56,84.56,6159300
2022-03-24,85.37,86.22,84.69,85.67,6164600
2022-03-25,84.78,86.18,84.07,86.07,6894600
2022-03-28,86.16,86.54,85.41,86.49,4194000
2022-03-29,87.69,87.77,85.76,85.94,6072600
2022-03-30,86.13,86.23,83.27,83.62,7478300
2022-03-31,83.33,83.66,79.32,79.43,12792300
2022-04-01,80.43,80.58,77.93,78.71,10638900
2022-04-04,78.27,79.15,77.34,77.54,9851100
2022-04-05,77.52,79.52,76.94,77.12,8913800
2022-04-06,76.5,77.72,75.96,76.19,7083100
2022-04-07,75.78,76.02,74.05,75.4,8144100
2022-04-08,76.03,77.52,75.49,76.96,6617700
2022-04-11,76.9,78.64,76.44,76.86,5632300
2022-04-12,76.96,77.97,74.98,75.44,7596900
2022-04-13,75.45,79.19,75.08,78.98,9598100
2022-04-14,79.14,80.64,77.69,77.96,11563000
2022-04-18,71.89,72.54,68.68,70.6,24023500
2022-04-19,70.7,73.19,70.65,72.45,15361200
2022-04-20,73.07,73.61,71.93,72.03,8671300
2022-04-21,73.12,73.71,66.68,69.03,18283400
2022-04-22,69.06,69.27,66.19,66.25,11945500
2022-04-25,65.58,66.64,64.58,66.24,9841800
2022-04-26,65.72,66.52,64.55,64.57,8661200
2022-04-27,65.01,66.27,64.57,64.61,6988200
2022-04-28,65.13,65.59,63.64,65.12,6481100
2022-04-29,65.01,65.58,62.32,62.49,7744600
2022-05-02,63.71,64.74,62.61,63.96,8411800
2022-05-03,64.21,65.97,64.01,65.44,9513300
2022-05-04,65.55,67.46,64.89,67.23,6842000
