Date,Open,High,Low,Close,Volume
2021-07-12,198.34,200.3,197.61,199.28,309300
2021-07-13,198.95,199.21,195.65,196.15,233000
2021-07-14,196.19,198.0,195.88,197.42,228800
2021-07-15,197.46,198.58,195.04,196.25,523800
2021-07-16,197.11,198.16,192.27,192.9,364500
2021-07-19,191.74,191.86,187.58,189.89,371300
2021-07-20,190.11,196.68,190.11,195.93,524300
2021-07-21,197.6,199.5,194.47,196.61,562100
2021-07-22,196.61,198.81,192.98,194.46,631900
2021-07-23,195.73,199.26,194.67,197.1,478500
2021-07-26,197.5,198.92,192.91,193.19,533400
2021-07-27,192.24,194.27,189.82,193.46,519100
2021-07-28,195.01,196.28,191.8,193.33,357400
2021-07-29,195.07,195.55,192.92,193.98,290000
2021-07-30,193.64,195.59,190.55,191.3,362600
2021-08-02,192.55,196.42,191.69,192.39,364200
2021-08-03,192.94,196.37,190.89,195.94,247500
2021-08-04,194.95,196.79,194.3,194.37,372200
2021-08-05,195.89,197.36,194.49,195.66,326000
2021-08-06,197.27,198.43,195.85,196.97,269300
2021-08-09,195.83,197.27,195.12,196.11,195800
2021-08-10,196.24,199.45,195.56,197.77,278600
2021-08-11,198.34,201.93,197.11,201.71,290400
2021-08-12,202.23,203.21,199.11,199.94,207400
2021-08-13,200.07,202.23,199.43,201.97,461700
2021-08-16,201.67,203.31,199.79,203.28,211300
2021-08-17,201.68,201.68,197.16,198.28,350800
2021-08-18,197.46,197.46,193.19,193.38,330100
2021-08-19,191.36,193.13,189.59,190.96,302200
2021-08-20,191.07,193.98,189.85,193.74,240300
2021-08-23,195.74,197.08,195.11,196.06,278200
2021-08-24,196.59,200.32,196.09,198.87,428500
2021-08-25,198.98,201.47,198.59,199.69,300100
2021-08-26,199.47,199.79,197.89,198.42,197100
2021-08-27,199.05,201.73,198.44,200.55,203100
2021-08-30,201.05,202.02,199.24,199.59,150900
2021-08-31,200.09,200.09,197.13,198.52,403600
2021-09-01,199.02,199.8,196.5,198.51,318600
2021-09-02,199.67,201.5,198.44,201.41,256500
2021-09-03,200.81,201.84,199.57,200.25,174100
2021-09-07,199.11,199.2,195.56,195.77,248000
2021-09-08,195.06,197.17,194.61,197.08,260900
2021-09-09,196.19,196.83,192.89,194.43,227100
2021-09-10,195.92,195.92,192.35,192.96,267700
2021-09-13,194.54,196.81,190.71,193.47,251500
2021-09-14,193.47,193.93,189.51,190.69,224000
2021-09-15,190.57,195.05,189.87,194.55,319500
2021-09-16,194.54,194.85,193.04,193.68,176700
2021-09-17,187.7,190.88,187.46,188.51,837200
2021-09-20,185.66,187.52,184.46,186.98,478200
2021-09-21,187.77,187.77,182.03,185.33,594300
2021-09-22,187.74,189.02,186.02,187.11,541600
2021-09-23,187.85,191.58,187.26,190.07,579000
2021-09-24,189.18,190.41,188.6,189.38,246500
2021-09-27,189.65,192.97,189.65,191.41,428000
2021-09-28,192.12,192.12,188.93,189.89,293200
2021-09-29,190.6,191.37,187.63,189.81,563700
2021-09-30,190.48,191.07,184.37,184.4,735000
