Date,Open,High,Low,Close,Volume
2021-09-07,55.69,55.9,55.03,55.13,6416900
2021-09-08,55.16,56.19,54.98,56.07,4759600
2021-09-09,56.03,56.26,55.88,55.96,4789800
2021-09-10,55.84,55.9,55.07,55.15,3818800
2021-09-13,55.51,55.7,55.0,55.25,3243700
2021-09-14,55.31,55.51,54.78,54.95,3252700
2021-09-15,54.78,55.26,54.49,54.98,3037000
2021-09-16,55.08,55.26,54.32,54.46,4049400
2021-09-17,54.15,54.46,53.38,53.43,9457600
2021-09-20,53.35,53.73,52.72,53.28,4444100
2021-09-21,53.44,53.88,53.14,53.15,3381600
2021-09-22,53.32,53.45,52.88,52.99,3500100
2021-09-23,52.99,53.38,52.74,52.81,2802500
2021-09-24,52.74,53.09,52.49,52.61,3449600
2021-09-27,52.6,53.07,51.98,52.01,3375400
2021-09-28,52.04,52.16,51.28,51.59,5101000
2021-09-29,51.62,52.59,51.49,52.18,3889600
2021-09-30,52.32,52.4,51.59,51.62,4987400
2021-10-01,51.94,51.96,51.3,51.44,4654900
2021-10-04,51.28,52.17,51.23,52.0,6268900
2021-10-05,52.19,52.35,51.58,51.69,4266400
2021-10-06,51.49,52.29,51.19,52.25,3386900
2021-10-07,52.48,52.88,52.06,52.2,2863400
2021-10-08,52.19,52.44,51.96,52.11,2624000
2021-10-11,51.96,52.04,51.44,51.58,3238300
2021-10-12,51.6,51.99,51.44,51.73,2600900
2021-10-13,51.69,52.11,51.24,52.07,3200100
2021-10-14,52.28,52.76,52.09,52.69,2853900
2021-10-15,52.69,53.06,52.49,52.59,2895900
2021-10-18,52.18,52.27,51.65,52.02,4180200
2021-10-19,52.17,52.6,52.09,52.45,2661200
2021-10-20,52.65,53.29,52.65,53.07,2688200
2021-10-21,53.19,53.46,53.11,53.44,2895000
2021-10-22,53.45,53.52,52.39,52.44,5067200
2021-10-25,52.31,52.65,52.16,52.32,2632300
2021-10-26,52.42,53.19,52.35,52.71,3686000
2021-10-27,52.67,52.84,52.13,52.18,2854400
2021-10-28,52.08,52.34,51.86,52.26,2714600
2021-10-29,52.24,52.55,51.69,51.91,3718700
2021-11-01,51.98,52.27,51.79,52.04,3469600
2021-11-02,52.21,52.28,51.71,52.05,3806200
2021-11-03,51.89,52.23,51.57,52.1,4064100
