Date,Open,High,Low,Close,Volume
2021-07-12,377.79,379.0,371.05,373.58,1671857
2021-07-13,372.71,374.57,370.2,371.04,1208257
2021-07-14,371.08,372.71,369.78,372.51,857121
2021-07-15,371.19,374.71,371.19,373.37,894116
2021-07-16,374.81,376.76,373.47,376.0,957431
2021-07-19,373.41,376.5,368.45,371.22,1296516
2021-07-20,372.44,380.5,370.86,377.78,975294
2021-07-21,379.38,381.62,378.03,378.39,1041673
2021-07-22,380.05,380.59,377.42,379.79,868854
2021-07-23,381.7,383.51,379.05,379.7,1051504
2021-07-26,378.01,380.04,370.64,375.07,1233519
2021-07-27,374.17,376.91,370.1,374.52,1932830
2021-07-28,376.71,377.83,371.34,373.43,1558335
2021-07-29,380.88,388.26,377.43,384.3,1937798
2021-07-30,384.74,390.07,383.35,388.97,1661604
2021-08-02,390.68,395.72,388.82,393.99,2081022
2021-08-03,393.9,395.65,388.76,395.62,1739082
2021-08-04,395.62,403.42,394.07,398.75,2410700
2021-08-05,400.22,402.68,396.32,400.77,1470393
2021-08-06,400.13,401.38,396.78,400.64,1205086
2021-08-09,400.09,401.02,394.21,395.68,1309095
2021-08-10,398.09,398.09,393.13,394.21,929737
2021-08-11,395.17,396.66,391.13,393.4,1094735
2021-08-12,395.47,396.51,392.35,396.26,975717
2021-08-13,397.39,401.08,396.0,400.79,1080148
2021-08-16,399.96,404.91,397.8,404.75,1147056
2021-08-17,403.11,404.0,400.45,403.0,1004150
2021-08-18,403.74,403.74,389.91,390.13,1791298
2021-08-19,385.52,394.83,383.59,393.71,1675345
2021-08-20,393.46,398.52,391.81,396.96,1714454
2021-08-23,399.17,401.38,396.38,398.32,923818
2021-08-24,399.79,400.56,396.49,397.03,902889
2021-08-25,397.3,398.33,393.88,397.96,605450
2021-08-26,399.08,399.08,394.25,397.33,574480
2021-08-27,399.04,400.66,396.35,398.37,886189
2021-08-30,400.3,405.6,398.09,403.61,960602
2021-08-31,403.94,405.94,402.53,403.38,1051081
2021-09-01,404.77,409.43,401.74,407.75,1016094
2021-09-02,410.4,412.27,405.45,408.45,892637
2021-09-03,408.53,412.78,406.88,410.89,1054252
2021-09-07,410.61,411.09,402.67,406.02,1019159
2021-09-08,406.75,410.73,404.98,409.55,1068416
2021-09-09,412.65,415.03,409.08,410.26,1140503
2021-09-10,411.01,413.57,408.36,409.22,1027510
2021-09-13,412.48,414.99,403.39,408.47,1443439
2021-09-14,408.71,413.68,408.36,410.44,847397
2021-09-15,412.63,412.8,407.69,410.95,942738
2021-09-16,410.67,413.6,410.22,412.68,1183840
2021-09-17,410.95,412.46,404.49,405.75,1567003
2021-09-20,400.46,404.96,399.27,404.34,1150227
2021-09-21,406.4,407.18,403.24,404.64,786302
2021-09-22,408.07,408.07,401.23,405.04,1166717
2021-09-23,407.47,413.91,407.25,410.52,1154561
2021-09-24,408.91,411.85,408.22,411.8,584204
2021-09-27,410.28,410.44,401.3,404.75,825411
2021-09-28,398.69,401.74,381.76,387.29,2050791
2021-09-29,389.91,391.78,385.67,387.75,1210688
2021-09-30,390.22,393.38,385.9,386.18,1320087
2021-10-01,387.21,390.59,382.64,389.33,1334251
2021-10-04,387.58,389.38,377.13,377.96,1226120
2021-10-05,381.43,389.19,379.21,386.4,1262375
2021-10-06,382.74,389.29,380.64,388.79,902889
2021-10-07,393.0,396.92,392.29,393.37,795075
2021-10-08,392.46,392.88,387.35,390.57,624687
2021-10-11,388.81,394.88,387.35,389.45,691172
2021-10-12,392.13,395.26,387.32,391.43,1504640
2021-10-13,393.55,394.0,385.86,391.21,1343764
2021-10-14,395.77,405.35,394.36,401.53,1518592
2021-10-15,405.14,405.8,402.31,403.47,1007955
2021-10-18,403.56,407.51,401.76,407.05,883863
2021-10-19,408.91,411.85,406.27,409.99,1101711
2021-10-20,410.86,411.73,396.17,400.42,1606006
2021-10-21,400.4,405.41,397.03,404.85,1016200
2021-10-22,405.43,410.09,403.41,409.44,1426633
2021-10-25,409.13,409.75,403.28,406.61,1213965
2021-10-26,412.65,427.91,411.53,422.29,2450972
2021-10-27,422.89,427.37,420.22,420.45,1323153
2021-10-28,418.6,431.95,418.6,426.73,1934944
2021-10-29,425.35,432.32,423.67,430.96,1679045
2021-11-01,430.92,432.78,416.05,420.98,1295248
2021-11-02,422.3,426.65,418.52,419.16,989563
2021-11-03,416.5,418.97,411.26,413.59,1756734
2021-11-04,414.03,423.54,413.54,420.59,1520600
2021-11-05,424.54,425.35,416.77,418.35,1224429
2021-11-08,421.85,423.29,416.77,419.6,1085750
2021-11-09,420.84,422.4,417.97,419.89,1006264
2021-11-10,417.77,419.12,409.18,412.83,1068627
2021-11-11,415.17,415.65,409.93,410.38,783343
2021-11-12,411.03,413.83,407.91,412.05,1947628
2021-11-15,412.18,421.79,408.9,417.43,2236401
2021-11-16,417.02,429.14,416.55,427.51,1625983
2021-11-17,424.45,426.21,410.2,423.09,1775971
2021-11-18,425.77,426.27,418.88,421.66,2997335
2021-11-19,424.82,426.27,417.32,419.28,1675768
2021-11-22,421.94,423.62,416.07,416.39,1258781
2021-11-23,412.98,417.18,410.36,416.58,1288800
2021-11-24,415.05,422.89,414.39,422.01,957114
2021-11-26,416.83,421.75,412.5,413.81,881432
2021-11-29,418.52,425.26,416.89,423.28,1574084
2021-11-30,419.2,424.94,413.68,414.9,1972256
2021-12-01,419.75,421.09,408.52,408.83,1518698
2021-12-02,407.9,421.14,407.82,419.67,1447773
2021-12-03,421.24,423.79,405.44,414.99,1573345
2021-12-06,418.96,418.96,411.15,415.63,1322096
2021-12-07,424.9,428.43,421.59,428.31,1155935
2021-12-08,429.13,431.0,426.84,430.63,1055520
2021-12-09,429.12,429.74,425.47,425.77,984067
2021-12-10,427.72,431.41,423.63,431.24,955845
2021-12-13,432.57,438.47,430.7,435.96,1532122
2021-12-14,433.15,435.21,423.2,428.21,1522397
2021-12-15,429.14,436.57,427.57,436.06,1155618
2021-12-16,437.83,440.83,429.26,434.11,1455912
2021-12-17,432.84,432.96,423.21,425.75,2489764
2021-12-20,420.94,420.94,413.33,419.1,1770792
2021-12-21,423.08,428.72,421.57,428.34,758186
2021-12-22,428.78,431.26,426.62,430.86,861138
2021-12-23,431.82,434.65,431.06,431.3,1419128
2021-12-27,435.4,437.25,430.18,435.27,899190
2021-12-28,435.75,438.31,432.0,432.54,758503
2021-12-29,433.29,434.72,430.04,432.04,749836
2021-12-30,432.39,434.07,427.94,428.33,867163
2021-12-31,427.51,431.47,427.0,429.65,890840
2022-01-03,430.47,430.47,417.2,419.79,1355497
2022-01-04,423.36,423.36,416.02,418.63,1284466
2022-01-05,419.91,421.66,414.61,414.93,1391118
2022-01-06,413.08,414.2,406.55,411.47,1535398
2022-01-07,409.76,411.58,406.16,406.73,1148325
2022-01-10,399.76,402.78,389.95,396.39,2491878
2022-01-11,396.39,401.65,392.3,401.51,1582646
2022-01-12,403.8,410.22,402.92,407.72,2019293
2022-01-13,407.71,409.75,395.76,397.19,1224006
2022-01-14,394.34,395.58,389.0,393.63,1480540
2022-01-18,388.03,389.39,382.96,386.15,1567637
2022-01-19,389.14,395.83,384.62,385.06,1622812
2022-01-20,387.19,392.79,379.12,380.54,1357399
2022-01-21,381.5,387.12,377.23,379.58,1727244
2022-01-24,372.8,381.33,364.8,380.51,1967500
2022-01-25,373.78,376.1,363.27,363.74,2640915
2022-01-26,367.03,371.0,358.9,361.93,2240523
2022-01-27,367.55,373.32,357.88,359.69,1814552
2022-01-28,359.82,370.28,355.93,370.19,1798063
2022-01-31,370.22,378.29,369.15,378.02,1890127
2022-02-01,380.96,381.83,372.56,380.06,1540472
2022-02-02,383.56,385.48,380.1,384.26,1734114
2022-02-03,380.55,382.22,375.27,376.14,1296728
2022-02-04,372.72,382.38,371.76,377.27,1448936
2022-02-07,376.99,380.24,367.72,368.95,1555164
2022-02-08,365.39,366.97,356.66,363.97,3052405
2022-02-09,367.4,374.08,366.04,371.52,2485324
2022-02-10,364.26,370.97,359.51,361.63,2558469
2022-02-11,360.31,362.49,352.33,353.61,2887407
2022-02-14,352.56,354.82,342.48,347.27,3336632
2022-02-15,353.25,355.75,349.19,351.52,1506754
2022-02-16,350.65,355.1,347.18,352.6,1916447
2022-02-17,352.85,353.94,347.46,347.99,1294614
2022-02-18,348.9,349.81,343.41,345.41,1325055
2022-02-22,343.31,350.55,343.02,346.85,1742465
2022-02-23,350.2,350.97,340.02,340.58,1867508
2022-02-24,332.28,350.02,331.61,348.16,2003438
2022-02-25,344.68,350.72,338.42,347.44,8585165
2022-02-28,345.71,355.27,339.45,342.7,5549144
2022-03-01,344.8,361.48,343.14,356.28,10327313
2022-03-02,359.4,370.85,357.55,364.07,6129015
2022-03-03,363.74,372.9,356.8,365.33,4608309
2022-03-04,364.76,372.5,362.37,371.76,3724762
2022-03-07,371.1,372.16,350.9,351.77,4462654
2022-03-08,350.42,361.02,347.06,354.04,3904452
