Date,Open,High,Low,Close,Volume
2021-07-12,201.45,202.55,200.75,201.5,489700
2021-07-13,201.33,201.72,199.03,199.51,300800
2021-07-14,199.73,200.32,197.87,198.82,342800
2021-07-15,197.42,198.53,195.26,197.43,379400
2021-07-16,198.57,200.01,197.41,198.53,305600
2021-07-19,196.88,198.42,194.0,195.28,404800
2021-07-20,195.75,200.84,195.75,199.16,402200
2021-07-21,200.27,200.68,197.7,200.59,315400
2021-07-22,201.18,202.88,200.47,202.81,295600
2021-07-23,203.85,204.45,202.39,203.09,354000
2021-07-26,202.27,204.1,200.62,202.35,255700
2021-07-27,202.34,205.48,201.98,205.38,315400
2021-07-28,205.47,205.99,204.18,204.82,433600
2021-07-29,205.79,207.75,204.94,207.2,423500
2021-07-30,207.2,209.85,206.56,208.33,349700
2021-08-02,209.36,210.27,208.25,208.7,376900
2021-08-03,208.79,209.66,206.86,209.28,363200
2021-08-04,208.66,209.82,206.51,206.92,360700
2021-08-05,207.48,207.67,204.73,206.02,578600
2021-08-06,205.45,207.2,204.83,206.75,688800
2021-08-09,207.55,207.55,205.15,205.52,700300
2021-08-10,207.42,215.53,205.4,208.02,755800
2021-08-11,207.82,209.58,207.11,207.98,429600
2021-08-12,207.32,208.96,206.65,208.54,489200
2021-08-13,208.8,210.62,208.29,209.19,294100
2021-08-16,209.45,212.45,208.57,212.16,409600
2021-08-17,211.98,216.03,211.8,215.85,540900
2021-08-18,215.36,215.71,206.62,206.74,695700
2021-08-19,205.89,206.61,203.43,205.41,700400
2021-08-20,205.16,206.04,203.55,205.42,621700
2021-08-23,206.46,206.85,203.52,203.82,455400
2021-08-24,203.56,206.25,203.18,204.21,299000
2021-08-25,204.26,206.92,203.51,206.5,449900
2021-08-26,206.58,206.58,203.05,203.25,305700
2021-08-27,203.69,206.47,202.86,204.18,368500
2021-08-30,204.42,206.28,203.82,205.15,276800
2021-08-31,205.2,206.07,203.93,205.52,487900
2021-09-01,205.97,207.98,204.43,207.61,344400
2021-09-02,208.93,209.89,208.1,208.86,350100
2021-09-03,208.98,209.42,206.13,208.62,470500
2021-09-07,207.52,207.89,204.13,205.34,447800
2021-09-08,205.51,207.7,205.35,207.62,251500
2021-09-09,207.94,208.21,203.51,204.12,404600
2021-09-10,204.63,204.9,200.73,200.85,472500
2021-09-13,202.45,202.76,199.54,201.32,423800
2021-09-14,202.7,207.22,202.41,206.82,553800
2021-09-15,206.45,209.01,204.86,205.88,527800
2021-09-16,205.85,207.17,204.0,206.32,484700
2021-09-17,204.59,206.76,203.05,206.01,1639900
2021-09-20,204.08,205.47,201.8,203.54,506800
2021-09-21,205.16,206.3,202.39,203.16,489700
2021-09-22,204.18,207.0,203.11,206.6,349700
2021-09-23,207.36,211.72,207.36,211.05,520100
2021-09-24,210.75,211.66,209.82,210.91,286300
2021-09-27,210.15,210.43,204.25,205.94,312100
2021-09-28,204.06,205.0,200.92,201.64,460400
2021-09-29,201.61,202.93,198.67,200.28,385600
2021-09-30,200.9,201.65,195.62,195.65,441000
2021-10-01,196.5,200.14,193.5,198.83,495300
2021-10-04,197.62,199.38,195.31,197.32,573700
2021-10-05,198.23,201.34,197.51,198.85,645800
2021-10-06,197.67,203.89,196.67,203.24,604300
2021-10-07,204.9,208.73,204.31,208.15,630000
2021-10-08,208.49,210.27,208.32,210.22,614300
2021-10-11,210.71,212.64,209.66,212.18,820000
2021-10-12,212.88,214.44,208.25,208.99,630900
2021-10-13,208.71,211.69,207.88,210.76,486000
2021-10-14,212.51,215.86,212.51,214.72,473900
2021-10-15,215.62,216.13,213.34,215.58,340500
2021-10-18,214.69,215.11,212.22,213.77,309700
2021-10-19,215.25,219.73,215.25,217.44,356900
2021-10-20,217.72,219.49,213.73,216.56,739900
2021-10-21,217.22,222.71,215.62,222.47,442900
2021-10-22,222.1,225.51,222.1,225.37,361300
2021-10-25,225.52,227.09,224.2,225.43,395300
2021-10-26,227.18,227.25,224.13,225.42,316900
2021-10-27,225.04,225.04,221.42,222.31,313000
2021-10-28,222.88,225.06,221.78,223.1,302400
2021-10-29,222.77,224.43,220.06,223.87,475600
2021-11-01,224.93,226.43,224.38,225.82,397000
2021-11-02,225.83,226.99,224.84,226.73,558300
2021-11-03,226.03,226.03,212.91,213.31,857000
2021-11-04,214.51,216.8,211.53,212.85,584900
2021-11-05,212.03,216.76,212.03,215.1,340700
2021-11-08,215.5,220.57,215.45,220.3,312300
2021-11-09,219.64,222.47,218.24,219.32,416600
2021-11-10,219.63,222.41,218.21,222.16,381400
2021-11-11,221.96,222.19,219.04,221.74,234600
2021-11-12,222.6,222.6,218.77,221.77,525100
2021-11-15,221.91,223.62,220.29,222.57,356200
2021-11-16,223.11,227.33,222.15,226.3,517300
2021-11-17,226.63,226.72,220.77,221.77,636000
2021-11-18,222.21,224.18,219.36,224.12,312100
2021-11-19,225.34,225.34,222.38,223.68,1067700
2021-11-22,222.77,224.37,221.17,221.61,390500
2021-11-23,220.6,221.18,217.98,219.62,327600
2021-11-24,218.86,220.51,217.19,218.77,224900
2021-11-26,218.66,220.95,217.57,218.11,232800
2021-11-29,219.66,221.02,217.31,217.52,407400
2021-11-30,216.21,217.62,208.79,209.69,1245100
2021-12-01,211.0,212.6,206.88,206.91,592800
2021-12-02,206.86,212.91,206.78,211.7,397800
2021-12-03,212.8,212.8,208.01,210.68,271200
2021-12-06,211.64,216.94,211.23,216.37,525700
2021-12-07,218.5,221.59,217.33,219.08,375100
2021-12-08,219.12,222.44,218.75,221.26,299800
2021-12-09,220.68,223.72,220.07,222.97,448000
2021-12-10,223.4,225.91,219.75,220.49,265000
2021-12-13,220.52,221.57,218.38,220.71,413100
2021-12-14,218.85,220.5,215.71,217.65,406200
2021-12-15,218.9,220.12,215.87,219.79,375700
2021-12-16,220.77,223.43,220.04,221.56,543200
2021-12-17,222.12,226.4,220.53,223.13,873600
2021-12-20,221.17,221.38,213.54,217.6,552800
2021-12-21,218.23,221.97,216.73,221.85,296300
2021-12-22,222.43,225.63,221.88,225.34,294600
2021-12-23,225.61,232.53,225.38,231.31,520700
2021-12-27,232.26,235.27,231.42,235.07,264900
2021-12-28,235.07,235.51,233.38,233.92,199000
2021-12-29,234.24,234.85,231.72,232.51,285600
2021-12-30,233.61,235.87,231.65,235.25,308500
2021-12-31,234.92,235.14,233.08,233.56,212200
2022-01-03,233.27,233.9,229.97,232.75,351600
2022-01-04,233.05,238.25,232.79,235.24,478200
2022-01-05,234.91,235.67,229.2,229.24,554000
2022-01-06,229.48,231.73,226.31,228.81,459900
2022-01-07,227.63,228.42,223.38,225.31,416900
2022-01-10,223.78,224.32,218.29,222.15,476800
2022-01-11,222.4,225.42,219.63,225.25,465900
2022-01-12,226.25,233.49,225.96,231.9,718000
2022-01-13,230.8,232.2,225.1,225.35,387000
2022-01-14,223.71,226.44,223.02,225.03,425000
2022-01-18,222.06,222.57,218.52,221.06,398600
2022-01-19,221.72,226.65,221.72,222.48,470100
2022-01-20,223.48,228.22,217.34,217.67,660100
2022-01-21,217.21,221.0,215.3,218.47,511700
2022-01-24,215.41,215.86,208.33,215.21,554800
2022-01-25,212.02,214.26,208.35,212.16,379700
2022-01-26,213.24,215.61,207.64,209.29,438300
2022-01-27,210.77,212.01,203.41,206.45,604200
2022-01-28,206.65,211.13,203.69,210.95,371800
2022-01-31,211.35,215.7,210.84,215.32,376200
2022-02-01,215.67,216.79,213.71,216.51,434100
2022-02-02,216.37,219.56,215.19,219.4,476700
2022-02-03,217.96,219.35,216.49,219.06,404200
2022-02-04,217.55,220.0,215.99,216.8,456400
2022-02-07,215.75,219.16,215.75,217.69,493900
2022-02-08,216.61,222.16,215.48,221.35,678100
2022-02-09,226.34,234.82,224.66,227.75,849700
2022-02-10,224.94,228.94,222.76,223.77,588300
2022-02-11,223.65,225.14,219.47,220.49,476100
2022-02-14,221.17,222.32,215.45,217.38,459000
2022-02-15,219.58,223.48,218.55,222.96,528600
2022-02-16,221.56,224.47,217.93,223.56,538500
2022-02-17,221.53,221.59,216.43,217.53,625300
2022-02-18,216.97,218.73,215.17,216.88,432200
2022-02-22,216.41,221.65,215.8,220.09,623500
2022-02-23,220.66,221.66,215.34,215.85,338700
2022-02-24,212.88,220.87,211.1,220.36,470400
2022-02-25,220.63,228.58,219.79,228.15,380300
2022-02-28,225.91,231.3,224.45,230.73,826800
2022-03-01,228.23,232.39,226.49,228.09,544200
2022-03-02,230.07,233.66,227.67,232.82,359800
2022-03-03,234.18,236.67,232.51,234.63,368100
2022-03-04,231.82,236.06,227.74,235.71,441100
2022-03-07,234.97,235.67,228.25,229.45,657200
2022-03-08,228.61,229.05,216.28,216.4,780500
2022-03-09,219.8,222.11,217.29,219.82,726000
2022-03-10,216.37,217.91,212.38,213.42,833700
2022-03-11,215.27,217.29,210.14,210.31,501200
2022-03-14,212.91,215.44,208.57,209.09,679800
2022-03-15,212.07,214.11,209.55,213.66,480300
2022-03-16,215.32,218.63,213.9,218.27,518800
2022-03-17,216.65,223.21,216.65,223.05,357000
2022-03-18,222.41,226.09,220.84,225.64,741700
2022-03-21,224.97,227.37,223.1,224.9,351800
2022-03-22,225.17,227.47,223.84,226.29,327900
2022-03-23,225.72,225.72,220.95,221.17,395700
2022-03-24,222.21,223.43,220.82,223.39,216700
2022-03-25,224.79,229.19,223.86,229.02,311100
2022-03-28,229.36,234.26,229.36,234.08,446500
2022-03-29,236.5,237.72,233.88,237.63,399800
2022-03-30,237.57,238.51,235.08,236.39,316500
2022-03-31,234.96,237.46,232.29,232.43,579200
2022-04-01,232.94,239.44,231.6,238.42,462500
2022-04-04,237.77,238.27,231.71,236.74,470800
2022-04-05,235.78,239.83,235.11,236.21,361800
2022-04-06,235.23,240.0,234.76,239.24,386100
2022-04-07,238.97,240.67,237.53,238.84,628700
2022-04-08,238.66,241.2,236.44,239.5,480300
2022-04-11,238.54,239.47,234.9,237.68,417500
2022-04-12,237.67,241.97,236.23,237.0,386100
2022-04-13,236.77,240.98,236.11,239.72,285700
2022-04-14,240.76,241.47,234.56,235.02,533300
2022-04-18,235.13,235.69,231.68,232.56,320600
2022-04-19,234.06,238.9,233.3,237.8,343200
2022-04-20,239.2,246.04,239.2,243.15,389400
2022-04-21,244.44,245.6,237.77,238.33,469900
2022-04-22,235.54,235.71,224.09,224.43,509700
2022-04-25,223.14,229.68,220.47,228.96,483500
2022-04-26,226.73,227.89,224.29,224.44,243200
2022-04-27,224.81,226.7,221.77,222.38,385800
2022-04-28,223.49,224.54,220.84,222.78,324600
2022-04-29,220.77,221.21,214.63,215.4,513300
2022-05-02,216.6,217.81,210.95,215.4,610600
2022-05-03,216.15,218.56,215.01,217.35,424800
2022-05-04,217.22,224.36,214.28,223.36,287200
2022-05-05,221.9,222.62,216.07,218.2,428500
2022-05-06,216.31,217.79,212.79,216.03,555200
2022-05-09,212.72,213.91,204.13,204.93,803900
2022-05-10,206.81,208.24,202.03,207.05,637600
2022-05-11,206.43,210.65,203.69,204.36,672100
2022-05-12,204.93,214.26,200.98,209.95,655800
2022-05-13,211.73,214.79,207.18,207.83,570300
2022-05-16,207.83,210.01,205.86,209.52,383000
2022-05-17,211.64,213.08,209.0,213.07,380500
2022-05-18,210.97,212.1,210.03,210.65,407500
2022-05-19,209.74,215.27,209.7,214.77,505800
2022-05-20,216.97,217.9,212.61,217.21,578700
2022-05-23,220.34,220.73,215.01,218.75,388900
2022-05-24,218.35,219.99,215.35,219.74,333000
2022-05-25,219.42,221.36,217.7,219.6,364900
2022-05-26,221.18,222.24,220.05,221.8,289300
2022-05-27,223.27,226.98,222.69,225.92,253400
2022-05-31,223.53,225.21,219.22,219.38,864700
2022-06-01,219.38,220.21,210.24,212.91,664500
2022-06-02,213.33,218.68,209.26,218.54,342500
2022-06-03,216.64,217.12,211.29,211.95,503900
2022-06-06,213.09,215.37,210.56,213.33,324700
2022-06-07,212.01,218.43,211.61,218.39,522100
2022-06-08,217.25,221.1,217.14,219.06,869300
2022-06-09,216.6,218.1,212.9,213.03,496300
2022-06-10,209.67,215.56,207.74,212.36,470400
2022-06-13,207.35,209.02,202.33,203.47,478700
2022-06-14,203.59,203.68,193.58,196.18,781800
2022-06-15,197.76,198.94,190.37,194.85,736100
2022-06-16,190.84,191.47,186.09,187.9,593000
2022-06-17,188.06,190.84,185.33,185.69,972100
2022-06-21,188.45,190.71,185.9,188.01,486700
2022-06-22,186.2,194.44,186.2,193.46,563700
2022-06-23,194.53,197.74,192.63,195.0,520600
2022-06-24,196.9,200.35,195.64,200.25,790400
2022-06-27,200.38,201.68,198.59,200.16,287000
2022-06-28,201.3,201.92,196.42,197.03,394500
2022-06-29,198.17,200.96,196.51,200.67,363100
2022-06-30,198.72,201.32,196.88,198.57,482300
2022-07-01,199.27,204.05,197.56,203.21,372000
2022-07-05,200.62,201.26,196.15,201.06,445100
2022-07-06,201.15,203.8,199.8,202.66,659200
2022-07-07,202.82,203.75,199.36,199.58,473200
2022-07-08,199.66,202.77,199.66,201.7,419300
2022-07-11,199.34,202.58,199.34,201.41,462700
2022-07-12,200.87,204.55,199.04,200.3,692400
2022-07-13,197.48,200.05,197.12,197.87,362300
2022-07-14,197.52,199.63,195.7,199.19,458700
2022-07-15,202.29,203.02,200.36,201.57,363400
2022-07-18,201.65,203.14,199.62,200.29,434300
2022-07-19,202.35,205.38,202.33,205.14,497800
2022-07-20,205.17,207.25,203.79,205.59,260500
2022-07-21,206.64,211.73,205.28,211.63,390600
