Date,Open,High,Low,Close,Volume
2021-07-12,76.2,77.04,75.61,76.65,1384200
2021-07-13,75.82,76.93,75.41,76.24,1584100
2021-07-14,77.1,77.82,76.53,77.21,1500100
2021-07-15,78.02,78.15,73.62,74.22,2136300
2021-07-16,74.42,74.94,72.42,72.76,1611900
2021-07-19,71.55,72.74,70.75,72.61,1938100
2021-07-20,72.58,74.1,72.42,73.65,2470500
2021-07-21,70.43,72.36,67.94,71.16,6407600
2021-07-22,71.05,72.22,70.61,71.62,2309900
2021-07-23,71.68,73.74,71.65,73.64,2723200
2021-07-26,73.85,75.21,73.85,74.32,2467300
2021-07-27,74.07,74.14,71.61,73.38,2111700
2021-07-28,73.41,75.0,73.32,74.6,1436900
2021-07-29,75.58,75.58,73.87,75.12,1011200
2021-07-30,74.73,76.63,74.53,75.72,3085100
2021-08-02,76.37,76.9,75.65,76.24,2174100
2021-08-03,76.38,78.48,75.96,77.89,1962200
2021-08-04,77.48,77.86,76.68,76.95,1617100
2021-08-05,77.36,78.49,77.11,78.31,1784000
2021-08-06,78.7,80.27,78.69,79.38,1472100
2021-08-09,79.12,80.23,78.69,79.7,1044400
2021-08-10,80.0,80.79,79.47,79.92,1547200
2021-08-11,79.94,81.23,79.08,81.09,1704500
2021-08-12,81.39,81.39,77.49,78.25,2058700
2021-08-13,77.89,79.04,77.63,77.83,1347400
2021-08-16,79.06,79.59,78.05,78.14,1787400
2021-08-17,77.19,78.52,76.66,77.71,1255600
2021-08-18,77.71,78.26,76.65,76.7,1384200
2021-08-19,75.88,76.49,75.34,75.93,1435100
2021-08-20,76.09,77.12,75.8,77.05,1269800
2021-08-23,77.59,79.55,77.5,78.96,1254900
2021-08-24,78.14,78.53,72.96,74.15,5323300
2021-08-25,74.0,77.13,74.0,74.85,3235600
2021-08-26,74.89,75.12,72.91,73.0,2325000
2021-08-27,73.1,75.03,73.09,74.35,1659000
2021-08-30,74.39,75.18,73.9,74.81,1484200
2021-08-31,74.96,76.01,74.56,75.46,1896900
2021-09-01,76.0,76.0,74.09,75.11,2051900
2021-09-02,75.73,77.19,75.34,77.1,1629000
2021-09-03,77.22,78.18,77.05,77.81,1484600
2021-09-07,78.09,78.22,75.78,75.86,1810500
2021-09-08,74.43,74.46,71.82,72.65,3542800
2021-09-09,72.74,76.33,72.67,75.24,4818400
2021-09-10,75.15,75.81,72.03,72.29,3662700
2021-09-13,72.25,73.04,71.65,72.31,1856000
2021-09-14,72.09,73.21,70.7,71.27,2100000
2021-09-15,71.48,72.7,71.29,72.67,1867000
2021-09-16,72.49,74.1,72.48,73.07,1782600
2021-09-17,72.57,73.38,71.95,72.14,4437200
2021-09-20,70.91,71.54,70.05,71.46,2267000
2021-09-21,72.15,72.21,70.6,70.84,1697600
2021-09-22,71.69,72.88,71.35,72.03,1504700
2021-09-23,72.49,74.47,72.34,73.86,1564500
2021-09-24,73.9,74.92,73.26,74.76,1247600
2021-09-27,74.68,76.64,74.42,75.48,1250200
2021-09-28,74.92,75.57,72.86,73.13,2114400
2021-09-29,72.9,73.38,71.63,72.17,1578800
2021-09-30,72.54,72.72,71.63,71.67,1228400
2021-10-01,72.67,73.84,70.64,73.31,1655500
2021-10-04,73.15,74.44,72.59,73.07,2131600
2021-10-05,73.33,74.5,71.94,73.95,2085000
2021-10-06,70.5,71.17,68.92,70.01,4414100
2021-10-07,70.66,71.76,70.06,71.02,2111200
2021-10-08,71.42,71.69,69.34,69.42,1985700
2021-10-11,69.35,71.41,69.22,70.89,2514400
2021-10-12,71.17,71.3,67.92,68.62,2558100
2021-10-13,68.81,69.74,68.4,69.11,1357400
2021-10-14,69.91,72.51,69.76,71.65,2102600
2021-10-15,71.62,72.34,70.97,71.21,1733200
2021-10-18,70.69,71.4,70.17,70.56,1911800
2021-10-19,70.56,70.79,69.34,70.45,2425500
2021-10-20,70.55,71.38,69.9,69.94,1983200
2021-10-21,69.61,71.43,69.34,71.42,2606300
2021-10-22,75.12,77.27,73.91,75.76,5172600
2021-10-25,76.94,78.05,76.06,77.43,3979600
2021-10-26,76.22,77.3,74.64,76.49,3877500
2021-10-27,77.01,77.3,76.03,76.45,2154400
2021-10-28,76.85,78.16,76.85,77.77,1766100
2021-10-29,76.64,77.76,76.22,77.36,2702300
2021-11-01,77.77,80.99,77.69,79.81,2293400
2021-11-02,80.01,80.02,78.59,79.74,1754500
2021-11-03,80.07,82.35,79.82,81.17,2722000
2021-11-04,81.64,82.79,81.32,82.77,1375900
2021-11-05,83.11,84.56,82.97,84.03,1636900
2021-11-08,84.35,85.23,84.24,84.87,1275200
2021-11-09,84.84,86.41,84.15,86.23,2631900
2021-11-10,86.14,87.43,85.27,86.0,1876500
2021-11-11,86.11,92.65,86.07,91.42,5507400
2021-11-12,92.01,101.55,91.71,93.9,7778500
2021-11-15,93.96,94.06,91.37,91.76,3037300
2021-11-16,92.14,92.45,89.74,90.03,2918100
