Date,Open,High,Low,Close,Volume
2021-07-12,174.26,175.37,173.81,175.01,954400
2021-07-13,175.49,176.25,172.41,173.03,1169200
2021-07-14,173.15,173.76,170.84,172.11,698900
2021-07-15,171.31,173.98,170.98,172.84,524700
2021-07-16,173.25,173.65,169.28,169.68,558900
2021-07-19,167.34,167.93,164.56,167.42,855100
2021-07-20,167.54,170.99,167.25,170.42,976600
2021-07-21,171.31,173.0,170.25,170.69,580400
2021-07-22,171.49,171.83,168.52,169.03,853300
2021-07-23,170.13,171.46,169.45,170.63,781400
2021-07-26,171.99,172.9,170.35,172.13,969400
2021-07-27,166.92,168.88,164.62,168.47,1480300
2021-07-28,169.0,169.09,163.06,163.32,1429200
2021-07-29,164.71,165.71,163.34,165.28,1222500
2021-07-30,165.17,166.72,163.31,164.66,1440200
2021-08-02,165.52,167.66,163.17,163.61,861700
2021-08-03,164.94,167.33,162.82,166.29,923100
2021-08-04,165.22,166.07,162.94,162.96,658300
2021-08-05,164.43,165.46,162.98,164.0,983900
2021-08-06,165.37,165.95,163.98,164.3,771200
2021-08-09,163.79,164.42,162.33,163.45,599300
2021-08-10,163.87,166.0,163.23,165.47,701200
2021-08-11,165.51,169.08,165.07,168.97,992400
2021-08-12,169.0,170.21,166.9,167.79,536800
2021-08-13,167.71,168.17,166.59,167.23,565000
2021-08-16,167.11,167.67,165.12,167.54,655200
2021-08-17,166.1,166.89,161.1,162.53,1102000
2021-08-18,161.27,162.93,159.89,161.02,1065600
2021-08-19,159.81,160.58,156.71,158.51,1012700
2021-08-20,158.55,159.61,157.6,159.1,911900
2021-08-23,160.33,160.78,158.76,159.22,683600
2021-08-24,159.88,161.74,159.41,160.85,979700
2021-08-25,161.72,162.75,160.59,162.27,609900
2021-08-26,161.94,162.17,160.8,161.52,533100
2021-08-27,162.16,162.61,161.6,162.16,795600
2021-08-30,162.97,163.9,162.17,162.85,850400
2021-08-31,162.84,163.01,160.59,161.51,1215000
2021-09-01,161.84,162.15,159.32,160.86,873100
2021-09-02,161.15,161.61,159.07,161.36,1367100
2021-09-03,161.56,161.62,159.97,160.35,896900
2021-09-07,158.9,159.3,153.69,153.74,2111700
2021-09-08,153.79,158.59,153.6,158.01,1981800
2021-09-09,157.9,161.81,157.25,158.21,1139000
2021-09-10,158.54,159.21,156.32,156.42,977900
2021-09-13,158.29,158.7,154.83,156.45,794200
2021-09-14,157.39,157.39,152.32,153.03,994600
2021-09-15,153.03,157.07,152.81,155.83,877400
2021-09-16,155.83,158.9,155.04,157.51,1489000
2021-09-17,157.76,158.49,156.05,156.27,1589200
2021-09-20,153.44,154.77,152.54,154.38,975100
2021-09-21,154.96,154.96,149.61,150.94,1285500
2021-09-22,152.69,154.16,152.28,152.55,852300
2021-09-23,153.5,155.78,153.39,154.77,1157100
2021-09-24,154.71,156.07,154.41,155.53,900200
2021-09-27,155.67,158.15,155.54,156.33,960500
2021-09-28,155.78,156.59,151.56,152.34,1073200
2021-09-29,152.27,153.93,151.78,152.81,588100
2021-09-30,153.83,153.92,147.05,147.1,1253600
2021-10-01,147.54,147.98,144.66,146.73,1490700
2021-10-04,145.64,147.62,144.92,145.96,1118000
2021-10-05,146.69,149.47,145.67,148.06,608800
2021-10-06,146.83,148.42,145.37,148.37,796200
2021-10-07,150.14,152.09,148.89,149.03,714400
2021-10-08,149.69,150.35,148.67,148.75,523200
2021-10-11,148.97,149.52,146.54,146.66,496100
2021-10-12,147.43,147.44,145.27,145.77,726200
2021-10-13,145.36,146.11,144.15,145.41,782000
2021-10-14,147.03,151.16,146.28,150.61,1001000
2021-10-15,151.71,153.27,151.4,152.44,1025800
2021-10-18,151.2,153.9,150.58,153.32,869700
2021-10-19,154.48,155.1,153.54,154.66,872600
2021-10-20,154.8,158.35,154.8,157.39,1155400
2021-10-21,156.57,157.79,155.95,157.7,620900
2021-10-22,158.11,159.37,157.23,157.82,731100
2021-10-25,157.41,159.73,156.62,158.66,1037900
2021-10-26,159.62,159.62,156.58,156.67,607300
2021-10-27,156.71,159.15,155.42,156.26,1113600
2021-10-28,150.72,155.32,148.52,155.3,2121000
2021-10-29,153.88,153.98,150.11,150.81,2215100
2021-11-01,148.85,151.25,146.26,149.35,1397200
2021-11-02,150.1,154.04,149.18,153.28,1525800
2021-11-03,151.07,157.92,150.23,157.25,1782700
2021-11-04,157.45,157.9,154.21,154.62,890100
2021-11-05,155.94,158.65,153.85,154.25,897700
