Date,Open,High,Low,Close,Volume
2021-09-13,38.97,40.34,38.85,39.79,1531300
2021-09-14,39.71,39.75,39.13,39.48,1485800
2021-09-15,39.43,39.61,38.95,39.47,1391500
2021-09-16,39.39,39.63,39.17,39.31,1360600
2021-09-17,39.16,39.29,38.5,38.82,3053100
2021-09-20,38.18,38.48,37.71,38.23,1821100
2021-09-21,38.38,38.79,37.82,37.97,1586500
2021-09-22,38.32,39.05,38.13,38.68,1668200
2021-09-23,38.81,39.47,38.79,39.29,1509000
2021-09-24,39.33,39.62,39.19,39.42,1073500
2021-09-27,39.84,41.96,39.75,41.36,2615600
2021-09-28,41.26,41.46,40.21,40.25,1970000
2021-09-29,40.13,40.53,39.93,40.11,1362000
2021-09-30,40.2,40.29,39.16,39.31,1826000
2021-10-01,39.54,40.01,39.17,39.95,1192500
2021-10-04,40.02,40.87,39.89,40.35,1523000
2021-10-05,40.42,41.05,40.13,40.9,1141200
2021-10-06,40.41,40.65,39.23,40.11,2261200
2021-10-07,40.46,40.92,39.85,40.0,1535100
2021-10-08,40.06,40.06,39.53,39.64,1415400
2021-10-11,39.46,39.79,38.79,38.86,1574100
2021-10-12,38.88,39.5,38.74,38.79,1073700
2021-10-13,38.79,39.02,38.18,38.81,1080200
2021-10-14,39.09,39.49,38.94,39.27,977700
2021-10-15,39.24,39.51,38.4,38.67,1823100
2021-10-18,38.02,38.4,37.45,38.12,1687000
2021-10-19,38.11,38.18,37.51,38.11,1608900
2021-10-20,38.34,38.85,38.31,38.43,1302000
2021-10-21,38.22,38.4,37.31,37.68,1634900
2021-10-22,37.52,37.77,37.27,37.67,1216700
2021-10-25,37.62,37.93,36.89,37.09,1915200
2021-10-26,37.09,37.34,36.55,36.91,1576700
2021-10-27,37.06,37.22,36.35,36.97,3033300
2021-10-28,37.28,37.35,35.99,37.18,3524800
2021-10-29,37.03,38.14,37.03,37.37,3058800
2021-11-01,37.39,38.42,37.18,38.29,1574900
2021-11-02,38.18,38.8,37.87,38.66,1605300
2021-11-03,38.66,40.5,38.35,39.71,2855200
2021-11-04,39.55,39.76,38.42,39.17,1646200
2021-11-05,39.51,39.88,39.14,39.51,1360400
2021-11-08,39.56,39.72,38.82,39.07,1209600
2021-11-09,38.97,39.21,38.46,38.73,774400
2021-11-10,38.96,39.35,38.63,39.02,1106000
2021-11-11,38.99,40.28,38.89,40.13,1166400
2021-11-12,40.13,40.6,39.64,40.35,1249800
2021-11-15,40.58,41.82,40.39,41.71,1714400
2021-11-16,41.96,42.08,40.87,40.88,1379300
2021-11-17,40.68,40.77,40.18,40.45,1032200
2021-11-18,40.29,40.33,39.36,39.43,1565700
2021-11-19,39.24,39.39,38.61,38.91,1069200
2021-11-22,39.07,40.28,38.61,40.24,1764700
2021-11-23,40.65,40.82,40.02,40.46,1371200
2021-11-24,40.34,40.6,39.87,40.06,658000
2021-11-26,38.94,39.07,38.15,38.65,913000
2021-11-29,38.9,39.07,37.9,38.42,1394400
2021-11-30,37.86,38.18,37.36,37.67,3047500
2021-12-01,38.4,38.95,37.27,37.28,1541300
2021-12-02,37.85,38.98,37.29,38.76,2111600
2021-12-03,38.87,39.21,38.7,39.08,1509100
2021-12-06,39.63,41.14,39.58,40.01,1747500
2021-12-07,39.9,40.33,39.5,39.88,1177100
2021-12-08,39.71,40.12,39.25,39.39,1234300
2021-12-09,39.22,39.38,38.7,38.93,1293700
2021-12-10,39.29,39.67,39.23,39.49,1217400
2021-12-13,39.43,39.76,38.62,39.31,1192100
2021-12-14,39.49,39.95,39.11,39.18,1158700
2021-12-15,39.08,39.16,37.85,38.37,1735200
2021-12-16,38.67,39.32,38.38,38.44,2716800
2021-12-17,38.17,38.7,37.87,38.22,4029500
2021-12-20,37.82,37.85,36.39,37.06,2467200
2021-12-21,37.35,38.09,37.26,38.05,2167200
