Date,Open,High,Low,Close,Volume
2021-07-12,52.57,52.57,51.66,51.98,458700
2021-07-13,51.71,52.31,51.32,51.72,363800
2021-07-14,52.07,52.15,51.38,51.45,271200
2021-07-15,51.1,51.25,46.88,47.86,2264300
2021-07-16,48.01,48.01,46.69,47.01,1302600
2021-07-19,46.12,46.5,44.91,45.59,971400
2021-07-20,45.62,46.49,45.22,45.26,873000
2021-07-21,45.5,46.68,45.25,46.11,1545600
2021-07-22,46.06,46.59,45.15,46.13,546400
2021-07-23,46.21,46.21,45.06,45.58,339900
2021-07-26,45.58,46.58,45.35,46.13,419800
2021-07-27,46.07,46.24,45.51,45.75,455500
2021-07-28,46.11,46.2,45.2,45.74,406400
2021-07-29,45.76,46.24,44.72,44.72,593900
2021-07-30,44.66,46.64,44.19,45.91,816900
2021-08-02,46.08,47.35,45.64,45.7,832800
2021-08-03,45.45,45.45,44.34,45.24,607900
2021-08-04,45.11,46.14,45.11,45.18,421600
2021-08-05,45.41,46.61,45.41,46.58,405700
2021-08-06,46.81,47.25,46.42,46.8,486000
2021-08-09,46.81,47.01,46.15,46.27,609800
2021-08-10,46.61,47.5,46.48,46.71,630700
2021-08-11,46.58,47.35,46.41,47.12,474900
2021-08-12,47.4,47.42,46.37,46.93,314500
2021-08-13,47.07,47.34,46.65,46.73,240300
2021-08-16,46.67,46.76,45.82,46.3,418300
2021-08-17,45.85,46.44,45.34,45.51,255600
2021-08-18,45.54,45.89,44.51,44.57,569100
2021-08-19,43.95,44.37,43.52,43.93,489600
2021-08-20,43.59,45.75,43.59,45.1,1015100
2021-08-23,45.22,46.05,45.22,45.61,403900
2021-08-24,45.67,46.78,45.67,46.51,402300
2021-08-25,46.72,47.01,46.22,46.68,323400
2021-08-26,46.49,48.11,46.39,47.74,1054500
2021-08-27,47.61,48.45,47.28,48.35,482600
2021-08-30,48.73,48.73,47.73,48.28,383700
2021-08-31,48.14,48.64,47.98,48.45,841200
2021-09-01,48.66,49.2,48.14,48.67,355200
2021-09-02,49.12,49.24,48.37,48.9,296200
2021-09-03,48.63,48.72,47.88,48.35,368700
2021-09-07,48.0,48.25,47.17,47.34,307700
2021-09-08,47.35,47.69,46.68,47.0,544700
2021-09-09,46.97,46.97,45.94,46.56,341000
2021-09-10,47.0,49.66,46.96,48.27,1709300
2021-09-13,48.65,50.36,48.03,50.19,801000
2021-09-14,50.43,50.85,49.81,50.34,756100
2021-09-15,50.21,51.43,50.16,51.33,1303700
2021-09-16,51.15,51.49,49.13,51.25,678400
2021-09-17,51.72,52.4,51.25,51.34,1028300
2021-09-20,50.62,51.08,50.11,51.04,670800
2021-09-21,51.25,52.34,51.02,51.91,532000
2021-09-22,52.31,52.36,51.13,51.61,329300
2021-09-23,51.54,52.27,51.39,51.98,317300
2021-09-24,51.91,52.24,51.49,52.15,536400
2021-09-27,52.18,52.76,51.91,52.21,429500
2021-09-28,52.16,52.36,51.58,51.8,371700
2021-09-29,52.55,53.21,51.91,52.27,394200
2021-09-30,52.5,53.12,52.0,52.43,272600
2021-10-01,52.85,54.02,52.4,53.72,676200
2021-10-04,53.55,54.03,53.24,53.66,348200
2021-10-05,53.75,54.37,53.61,53.99,809500
2021-10-06,53.67,54.37,53.41,54.31,348800
2021-10-07,54.8,55.32,54.26,54.27,898300
2021-10-08,54.6,55.72,54.41,54.81,315400
2021-10-11,54.98,54.98,53.93,54.31,264400
2021-10-12,54.27,55.27,53.91,55.19,353000
2021-10-13,55.19,56.19,54.82,54.87,475000
2021-10-14,55.11,55.6,54.63,55.43,181500
2021-10-15,55.77,56.05,55.41,55.44,355900
2021-10-18,55.46,56.04,55.25,55.63,383300
2021-10-19,56.14,56.83,55.75,55.88,291800
2021-10-20,55.9,56.36,55.46,56.16,209600
2021-10-21,56.08,56.59,55.87,56.14,226400
2021-10-22,56.07,56.39,55.51,55.96,285400
2021-10-25,55.91,56.22,55.29,56.18,473500
2021-10-26,56.3,56.73,55.31,56.45,687400
2021-10-27,56.08,56.83,55.44,55.78,964800
2021-10-28,55.73,57.13,55.72,57.1,435800
2021-10-29,56.84,57.46,56.42,56.93,351600
2021-11-01,57.38,57.92,57.21,57.61,478700
2021-11-02,57.85,57.85,56.88,57.58,688300
2021-11-03,57.52,58.05,56.54,56.79,566200
2021-11-04,56.84,57.12,56.23,56.23,537500
2021-11-05,55.04,57.12,52.59,54.66,1037100
2021-11-08,54.78,55.04,53.21,55.01,1368900
2021-11-09,55.1,55.27,52.88,52.92,726600
2021-11-10,52.78,53.21,51.41,51.52,616400
2021-11-11,51.63,52.47,51.18,51.98,447800
2021-11-12,52.05,52.87,51.76,52.1,607400
2021-11-15,52.17,53.29,52.14,52.32,462100
2021-11-16,52.06,52.46,51.02,52.4,526400
2021-11-17,52.38,52.39,50.19,50.21,555200
2021-11-18,50.13,50.19,49.28,49.7,591500
2021-11-19,49.67,50.23,49.03,49.07,432800
2021-11-22,48.96,48.96,47.55,47.71,812100
2021-11-23,48.03,49.02,47.25,48.92,577800
2021-11-24,48.83,49.5,48.1,49.46,472000
2021-11-26,48.08,48.73,47.68,47.87,461200
2021-11-29,48.02,48.45,47.14,47.34,707300
2021-11-30,46.88,47.12,45.83,46.0,947500
2021-12-01,46.41,47.19,44.41,44.46,629800
2021-12-02,44.55,46.39,44.04,45.78,1097000
2021-12-03,46.14,46.37,45.05,46.05,516400
2021-12-06,46.65,46.75,45.6,45.98,755800
2021-12-07,46.44,47.24,46.08,46.37,491900
2021-12-08,46.56,47.43,46.2,46.37,452000
2021-12-09,45.95,46.89,45.36,45.39,380100
2021-12-10,46.02,46.31,45.47,45.77,315000
2021-12-13,45.34,45.37,44.5,44.84,434000
2021-12-14,44.56,45.42,44.24,44.41,576800
2021-12-15,44.35,45.47,44.0,45.08,434300
2021-12-16,45.26,45.61,44.2,44.47,461800
2021-12-17,44.46,45.21,43.82,44.99,709600
2021-12-20,44.47,45.22,43.91,44.64,574000
2021-12-21,44.8,45.52,44.15,44.46,429500
2021-12-22,44.56,45.39,44.37,44.61,293600
2021-12-23,44.76,45.55,44.65,45.18,301400
2021-12-27,45.23,45.87,44.85,45.49,280100
2021-12-28,45.31,46.32,45.31,45.75,316500
2021-12-29,45.72,46.44,45.32,46.25,426300
2021-12-30,46.42,47.06,45.6,45.76,330200
2021-12-31,45.58,46.32,45.47,46.09,394500
2022-01-03,46.38,47.41,46.21,46.58,456000
2022-01-04,46.49,47.89,46.04,47.2,820000
2022-01-05,46.65,47.6,45.33,45.47,737200
2022-01-06,45.36,46.1,44.71,45.79,372600
2022-01-07,45.95,47.06,45.94,46.73,399800
2022-01-10,46.52,47.89,46.03,47.79,497200
2022-01-11,47.83,48.65,47.18,48.15,400500
2022-01-12,48.28,48.28,46.81,47.76,586200
2022-01-13,48.03,49.33,47.85,48.93,441300
2022-01-14,48.4,49.7,47.91,49.67,488700
2022-01-18,49.94,50.13,48.38,49.0,569300
2022-01-19,48.96,49.22,47.9,48.04,736300
2022-01-20,48.23,48.95,47.07,47.18,694100
2022-01-21,46.93,46.98,46.07,46.38,551200
2022-01-24,45.87,46.91,44.76,46.71,664900
2022-01-25,46.35,46.35,44.85,45.82,421300
2022-01-26,46.33,47.0,45.22,45.36,612600
2022-01-27,45.84,47.06,45.44,45.62,545600
2022-01-28,45.39,46.07,44.57,45.5,377200
2022-01-31,45.33,46.92,45.33,46.65,559700
2022-02-01,46.81,47.11,45.97,46.68,737700
2022-02-02,47.14,47.14,45.85,46.17,470600
2022-02-03,45.94,46.35,44.58,44.66,650700
2022-02-04,47.57,49.63,46.64,48.31,1528200
2022-02-07,48.1,49.16,47.81,49.12,607700
2022-02-08,48.99,50.04,48.55,49.27,540100
2022-02-09,49.32,51.66,49.32,51.35,749100
2022-02-10,51.18,52.88,51.09,51.69,640200
2022-02-11,51.48,53.16,51.41,52.03,522000
2022-02-14,51.86,52.81,51.86,52.35,708400
2022-02-15,52.56,54.81,52.56,54.45,1425200
2022-02-16,53.88,54.39,53.38,53.67,1000600
2022-02-17,53.17,55.3,52.99,54.77,1089100
2022-02-18,54.73,56.59,54.0,54.7,1078200
2022-02-22,54.1,54.98,53.65,53.99,537300
2022-02-23,54.15,54.57,53.49,53.79,544900
2022-02-24,52.65,54.79,52.31,54.45,1061400
2022-02-25,54.03,55.21,53.45,54.74,603200
2022-02-28,54.58,55.61,54.01,55.36,997300
2022-03-01,55.51,56.27,55.01,55.44,717800
2022-03-02,55.87,56.84,55.55,56.5,714700
2022-03-03,56.63,56.63,55.33,55.79,449300
2022-03-04,55.26,55.42,53.65,54.83,618300
2022-03-07,54.36,54.56,52.99,53.74,781600
2022-03-08,53.46,54.4,52.94,52.96,647100
2022-03-09,53.8,53.92,52.65,52.81,338400
2022-03-10,52.55,53.55,52.17,53.32,428300
2022-03-11,53.37,53.59,52.6,52.88,412500
