Date,Open,High,Low,Close,Volume
2021-07-12,512.47,513.7,505.81,507.54,1427600
2021-07-13,506.76,510.72,505.17,507.16,941800
2021-07-14,509.39,509.71,502.39,503.69,863900
2021-07-15,502.85,508.66,502.33,507.34,1074800
2021-07-16,507.61,514.26,506.74,512.57,1080800
2021-07-19,511.35,515.44,509.05,514.38,1317300
2021-07-20,514.61,522.2,512.83,515.32,1145400
2021-07-21,515.71,515.71,500.12,507.12,1113000
2021-07-22,512.49,518.5,511.46,517.22,868400
2021-07-23,519.89,525.75,518.16,524.87,1005100
2021-07-26,521.4,525.6,518.09,521.77,874500
2021-07-27,521.02,527.08,520.23,522.92,1091500
2021-07-28,510.81,521.83,508.83,520.93,1814500
2021-07-29,524.15,527.97,522.59,526.36,1000800
2021-07-30,527.46,535.75,524.0,532.51,1412800
2021-08-02,534.55,536.8,524.49,526.27,1147400
2021-08-03,526.82,530.94,524.91,529.53,934100
2021-08-04,531.39,533.78,527.97,531.4,854600
2021-08-05,533.46,535.57,529.26,534.82,781100
2021-08-06,531.8,534.47,526.17,530.73,765800
2021-08-09,536.28,538.47,531.64,533.64,861700
2021-08-10,533.27,539.01,531.73,532.87,903200
2021-08-11,532.94,536.41,526.61,529.8,898900
2021-08-12,529.19,535.6,528.51,534.48,603200
2021-08-13,534.43,537.13,533.13,537.08,608300
2021-08-16,538.82,546.84,535.18,546.76,1141400
2021-08-17,546.28,549.85,544.45,548.58,830300
2021-08-18,546.28,548.27,536.76,537.1,913100
2021-08-19,536.48,546.57,534.85,544.22,834900
2021-08-20,544.61,550.24,542.78,547.29,951400
2021-08-23,549.95,552.91,543.84,544.94,1275100
2021-08-24,546.63,546.63,540.68,542.84,876100
2021-08-25,544.91,545.5,536.6,540.47,963200
2021-08-26,542.36,546.37,537.57,545.09,766000
2021-08-27,546.98,549.88,539.87,540.89,846100
2021-08-30,541.38,550.99,540.42,550.77,873300
2021-08-31,552.06,552.14,540.99,547.24,1287100
2021-09-01,545.1,555.51,544.25,553.92,1062900
2021-09-02,553.61,563.73,552.17,557.62,1137200
2021-09-03,555.13,560.89,552.75,560.22,825500
2021-09-07,560.11,561.54,550.69,561.27,1241900
2021-09-08,560.9,565.31,558.32,564.63,945100
2021-09-09,565.96,567.64,559.18,560.88,1122600
2021-09-10,563.64,567.64,561.3,564.02,1054700
2021-09-13,565.39,567.31,541.55,551.37,1372500
2021-09-14,555.63,558.54,552.85,554.85,785400
2021-09-15,551.94,558.49,549.56,555.4,1241400
2021-09-16,554.56,555.23,547.83,552.91,1053400
2021-09-17,589.04,601.12,568.26,588.79,5272300
2021-09-20,584.73,594.1,577.14,582.27,2674200
2021-09-21,585.52,594.67,581.09,589.02,1364400
2021-09-22,593.44,602.0,587.37,598.48,1696600
2021-09-23,598.95,605.88,595.06,600.06,1179200
2021-09-24,603.19,608.65,597.71,601.59,1300900
2021-09-27,595.41,597.39,575.99,586.68,1708800
2021-09-28,577.5,580.69,562.5,568.71,1750100
2021-09-29,573.2,578.07,570.24,571.82,1040900
2021-09-30,575.03,580.8,563.32,563.66,1510800
2021-10-01,562.91,568.46,544.6,565.03,1657600
2021-10-04,563.87,566.8,555.06,561.36,1323700
2021-10-05,563.36,574.12,561.53,564.2,1384500
2021-10-06,559.88,568.26,558.31,567.87,1133500
2021-10-07,572.15,581.21,572.15,575.67,1027800
2021-10-08,577.42,581.64,572.61,576.08,851400
2021-10-11,573.4,578.86,570.69,570.89,676000
2021-10-12,574.18,575.16,562.31,568.18,1012000
2021-10-13,571.27,575.64,562.86,565.86,1223100
2021-10-14,569.88,576.71,567.53,569.6,845700
2021-10-15,572.37,575.97,570.2,574.57,874700
2021-10-18,575.72,582.96,573.2,580.13,1534000
2021-10-19,583.06,588.99,581.7,584.15,765700
2021-10-20,601.59,601.68,591.95,597.47,1062100
2021-10-21,602.73,603.78,589.55,600.24,959200
2021-10-22,600.75,603.84,596.92,603.74,738700
2021-10-25,603.78,603.78,594.41,599.59,951900
2021-10-26,601.47,602.79,595.75,600.17,1051500
2021-10-27,608.52,617.58,600.95,604.07,1771100
2021-10-28,606.74,618.94,603.28,611.74,1280000
2021-10-29,613.32,625.58,608.67,624.57,1541700
2021-11-01,623.86,630.14,619.41,626.57,1582600
2021-11-02,629.29,634.72,624.29,627.66,1376600
2021-11-03,627.95,633.95,619.95,633.74,1216600
2021-11-04,634.07,634.88,622.07,631.17,1396100
2021-11-05,605.93,613.44,591.4,608.52,2693400
2021-11-08,613.14,617.89,607.16,616.08,1170900
2021-11-09,615.37,616.23,606.75,610.27,927000
2021-11-10,607.42,620.46,607.42,618.44,1119100
2021-11-11,619.54,623.74,617.07,623.0,687600
2021-11-12,624.41,631.12,621.39,626.72,888100
2021-11-15,628.04,630.68,623.52,623.87,826100
2021-11-16,621.91,642.82,621.91,632.87,1346900
2021-11-17,634.69,638.31,624.84,628.74,1390300
2021-11-18,629.86,631.64,622.7,629.07,968700
2021-11-19,629.6,636.35,627.35,627.51,1222300
2021-11-22,631.41,632.19,622.53,625.45,1318900
