Date,Open,High,Low,Close,Volume
2021-07-12,139.8,140.76,138.98,140.48,2007900
2021-07-13,140.39,143.05,139.72,141.31,2583000
2021-07-14,142.0,143.29,141.55,142.39,2316500
2021-07-15,142.81,143.58,141.64,141.86,3348600
2021-07-16,141.62,143.64,141.62,142.88,2476700
2021-07-19,141.05,141.73,137.03,138.29,7154600
2021-07-20,138.46,139.32,137.81,138.09,7189700
2021-07-21,137.7,139.73,137.37,138.25,4700000
2021-07-22,138.34,138.61,136.21,138.42,4335700
2021-07-23,139.07,139.07,137.61,137.71,4278200
2021-07-26,137.35,139.35,137.35,138.63,3705900
2021-07-27,138.52,138.73,137.29,138.49,4110400
2021-07-28,138.66,139.13,137.99,138.78,2975000
2021-07-29,139.14,140.5,137.42,138.31,4198600
2021-07-30,136.75,138.83,135.03,137.73,6600300
2021-08-02,138.54,138.94,137.73,138.58,4333500
2021-08-03,138.74,139.1,137.74,138.18,3953600
2021-08-04,137.58,138.09,135.94,136.0,4615200
2021-08-05,136.58,137.23,135.51,135.73,4369100
2021-08-06,135.78,136.52,135.29,136.01,5236700
2021-08-09,136.56,137.71,136.45,136.74,4645800
2021-08-10,137.03,137.54,136.25,136.94,2608300
2021-08-11,137.05,138.43,136.69,138.27,2417800
2021-08-12,138.62,139.04,138.37,138.41,2223900
2021-08-13,137.99,139.0,137.77,138.61,2618200
2021-08-16,134.84,136.42,133.19,134.58,7114200
2021-08-17,134.41,135.65,133.96,134.52,4718500
2021-08-18,134.11,135.57,133.58,133.72,4480000
2021-08-19,133.5,135.41,133.33,134.73,3799000
2021-08-20,134.86,137.02,134.23,135.61,3274000
2021-08-23,135.33,136.72,135.03,136.31,3186700
2021-08-24,136.08,136.84,135.56,136.27,2367100
2021-08-25,136.1,136.1,133.69,133.75,3633400
2021-08-26,134.41,134.41,131.41,131.57,4204800
2021-08-27,131.86,132.59,131.18,132.33,3351800
2021-08-30,130.95,132.52,129.69,131.87,3628600
2021-08-31,131.52,131.95,130.6,131.03,4458900
2021-09-01,131.61,132.73,131.38,131.72,2754800
2021-09-02,132.18,132.22,129.15,130.18,3807900
2021-09-03,130.41,130.52,129.5,130.06,2448500
2021-09-07,130.14,130.81,128.35,128.59,4403800
2021-09-08,128.77,128.77,126.55,127.83,6635700
2021-09-09,125.47,127.9,124.55,125.7,8684000
2021-09-10,126.01,126.43,123.43,125.09,6570000
2021-09-13,126.14,126.39,123.91,124.34,6763200
2021-09-14,125.2,125.5,122.38,123.29,6053700
2021-09-15,122.94,123.21,119.87,121.52,8735700
2021-09-16,121.83,123.96,120.45,123.28,9045100
2021-09-17,123.25,123.58,121.48,122.41,8304300
2021-09-20,121.46,122.38,119.22,120.14,7916000
2021-09-21,120.92,121.93,119.39,119.44,5908000
2021-09-22,120.26,122.64,119.97,122.15,6952600
2021-09-23,122.65,126.13,122.42,125.22,8177200
2021-09-24,124.48,125.03,123.41,123.77,3712000
2021-09-27,123.1,123.19,121.69,122.2,3888500
2021-09-28,121.18,122.13,120.36,120.79,4517900
2021-09-29,121.02,123.12,120.49,122.5,4398500
2021-09-30,123.2,123.62,121.55,122.18,4541100
2021-10-01,121.53,122.7,120.77,121.22,4126700
2021-10-04,121.27,122.17,119.29,119.98,4753000
2021-10-05,119.62,120.67,118.86,119.92,3051100
2021-10-06,118.82,119.27,117.91,119.15,4160400
2021-10-07,120.18,120.62,117.44,117.8,5431700
2021-10-08,118.24,118.24,115.33,115.92,5975800
2021-10-11,115.69,116.29,111.85,112.07,9884200
2021-10-12,112.45,113.4,111.07,111.2,7095400
2021-10-13,112.04,112.87,110.93,111.37,6845800
2021-10-14,112.93,114.46,112.47,114.05,9698500
2021-10-15,114.38,115.08,112.1,112.42,4453800
2021-10-18,111.94,113.03,111.05,112.25,4377700
2021-10-19,112.47,113.46,111.71,113.38,3426500
2021-10-20,113.88,117.3,113.79,116.61,5875900
2021-10-21,116.29,116.6,111.34,111.74,6744800
2021-10-22,112.27,112.37,111.09,111.76,5213700
2021-10-25,111.67,111.86,110.77,110.86,5940100
2021-10-26,111.49,112.82,111.21,111.27,4600800
2021-10-27,111.24,112.39,110.99,111.52,3998200
2021-10-28,111.78,112.72,110.36,110.97,3371100
2021-10-29,110.76,111.25,109.68,110.0,4175800
2021-11-01,109.96,111.3,109.87,110.8,4044500
2021-11-02,111.75,112.17,109.74,110.74,5446500
2021-11-03,116.78,119.26,115.76,116.61,9641800
