Date,Open,High,Low,Close,Volume
2021-09-13,129.82,131.1,127.67,130.07,345600
2021-09-14,131.34,131.34,127.11,127.21,301500
2021-09-15,127.53,132.78,127.53,131.14,314100
2021-09-16,130.65,131.36,127.49,130.09,346500
2021-09-17,130.06,136.14,126.96,136.14,2194200
2021-09-20,133.0,134.47,128.14,130.14,416700
2021-09-21,131.97,131.97,128.49,130.95,208800
2021-09-22,132.02,134.51,131.4,132.67,278100
2021-09-23,134.55,138.82,134.55,136.83,227700
2021-09-24,135.49,137.63,134.73,136.26,198900
2021-09-27,137.98,143.73,137.98,143.11,296100
2021-09-28,143.07,143.07,137.55,139.91,271800
2021-09-29,138.19,138.19,127.6,129.88,409500
2021-09-30,130.23,130.23,124.36,126.61,409500
2021-10-01,127.46,127.46,122.33,122.8,335700
2021-10-04,124.26,125.77,117.75,120.58,409500
2021-10-05,120.61,124.52,118.51,124.06,406800
2021-10-06,122.21,124.1,119.24,121.68,287100
2021-10-07,122.45,124.15,119.14,124.15,415800
2021-10-08,125.04,129.34,124.58,127.04,242100
2021-10-11,128.0,130.28,124.07,125.42,189000
2021-10-12,125.42,125.63,122.77,123.51,152100
2021-10-13,122.19,126.05,121.43,125.09,208800
2021-10-14,127.25,128.77,125.36,127.18,144900
2021-10-15,128.52,128.52,126.65,127.97,171900
2021-10-18,128.77,128.77,127.51,128.25,113400
2021-10-19,128.77,131.67,128.43,131.11,166500
2021-10-20,130.49,133.05,130.49,133.05,105300
2021-10-21,132.88,132.88,128.89,129.92,132300
2021-10-22,130.15,133.52,129.61,132.54,126000
2021-10-25,134.06,139.18,134.04,135.44,142200
2021-10-26,135.07,137.14,134.06,136.25,178200
2021-10-27,135.61,135.71,129.74,130.12,275400
2021-10-28,130.06,132.55,130.06,132.18,102600
2021-10-29,132.22,133.45,130.34,133.34,111600
2021-11-01,135.1,138.6,133.58,137.49,159300
2021-11-02,135.96,138.61,134.01,134.75,162900
2021-11-03,132.8,134.82,132.8,133.38,115200
2021-11-04,134.24,135.05,128.53,129.8,163800
2021-11-05,133.79,144.41,133.79,143.17,265500
2021-11-08,143.57,146.57,143.57,145.04,229500
2021-11-09,145.87,148.82,144.25,148.82,216000
2021-11-10,146.53,148.4,139.03,140.27,192600
2021-11-11,140.81,141.86,139.03,140.29,178200
2021-11-12,140.15,140.15,134.63,135.73,149400
2021-11-15,136.18,136.18,132.96,135.59,150300
2021-11-16,132.94,136.43,132.94,135.71,172800
2021-11-17,133.98,133.98,131.16,131.7,194400
2021-11-18,132.88,135.09,131.91,134.05,155700
2021-11-19,131.46,132.96,129.82,130.43,230400
2021-11-22,132.75,134.15,131.26,131.26,137700
2021-11-23,132.97,136.22,131.92,135.88,254700
2021-11-24,135.88,138.52,135.35,136.88,140400
2021-11-26,130.62,131.09,125.73,130.13,196200
2021-11-29,133.92,133.92,130.16,132.22,249300
2021-11-30,129.37,130.03,126.44,126.55,414000
2021-12-01,130.1,130.86,123.51,123.59,223200
2021-12-02,123.81,128.04,123.43,127.67,319500
2021-12-03,129.32,129.32,126.22,126.22,223200
2021-12-06,128.76,133.06,126.78,132.29,341100
2021-12-07,136.19,140.62,136.0,138.98,326700
2021-12-08,137.75,138.82,134.88,135.15,229500
2021-12-09,133.35,134.52,130.6,132.86,195300
2021-12-10,133.77,133.77,130.26,133.03,199800
2021-12-13,132.7,133.5,130.67,130.67,251100
2021-12-14,128.98,131.41,127.85,129.16,246600
2021-12-15,128.37,129.78,125.38,129.71,290700
2021-12-16,131.15,135.85,128.09,129.52,255600
2021-12-17,127.66,128.25,125.38,126.61,853200
2021-12-20,124.64,127.4,122.77,126.94,255600
2021-12-21,128.17,132.76,128.17,132.34,247500
2021-12-22,131.95,132.63,128.53,129.03,153000
2021-12-23,129.89,130.35,129.05,130.05,166500
2021-12-27,130.32,135.02,128.55,134.67,129600
2021-12-28,134.31,136.39,131.82,132.53,189000
2021-12-29,133.74,133.74,130.1,131.33,154800
2021-12-30,130.75,133.33,130.23,130.73,154800
2021-12-31,130.73,132.13,128.77,131.03,158400
2022-01-03,130.21,133.81,130.21,133.68,217800
2022-01-04,135.15,136.81,133.93,135.66,160200
2022-01-05,136.18,138.18,131.15,131.89,279900
2022-01-06,132.81,135.8,129.52,131.98,239400
2022-01-07,133.27,133.27,131.39,132.21,223200
