Date,Open,High,Low,Close,Volume
2021-07-12,36.45,37.49,36.15,37.36,3031500
2021-07-13,37.31,37.62,36.06,36.5,2460300
2021-07-14,36.6,37.18,36.32,36.4,1909700
2021-07-15,36.05,36.32,35.22,35.67,2204600
2021-07-16,35.89,35.94,34.22,34.31,3101300
2021-07-19,33.11,33.98,32.77,33.21,4587600
2021-07-20,33.23,34.93,33.09,34.62,3027900
2021-07-21,35.29,36.31,35.29,35.84,2600900
2021-07-22,35.72,35.72,34.86,35.07,2516600
2021-07-23,35.41,35.85,34.99,35.22,1477700
2021-07-26,35.47,36.26,35.46,36.23,1864600
2021-07-27,35.74,36.09,35.35,36.03,2182000
2021-07-28,36.39,36.57,34.82,35.55,2318000
2021-07-29,35.88,36.61,35.83,36.24,2059800
2021-07-30,36.92,38.33,36.7,37.16,4543600
2021-08-02,37.49,38.44,37.15,37.18,3251300
2021-08-03,37.56,38.37,36.63,38.15,2663600
2021-08-04,37.9,38.57,37.49,37.54,2706300
2021-08-05,37.56,38.37,37.56,38.18,2238400
2021-08-06,38.4,38.88,38.18,38.66,2405600
2021-08-09,38.22,38.42,37.77,37.93,1567700
2021-08-10,37.96,39.32,37.91,38.51,2258500
2021-08-11,38.52,38.82,38.11,38.73,2132100
2021-08-12,38.85,39.56,38.76,39.27,2787000
2021-08-13,39.25,39.29,38.61,38.85,2241500
2021-08-16,38.89,38.89,38.04,38.49,2602800
2021-08-17,38.04,38.18,36.46,36.92,3353200
2021-08-18,36.59,37.61,36.24,36.42,4597500
2021-08-19,35.53,36.41,34.85,35.29,8507000
2021-08-20,35.49,35.72,34.33,35.65,8825700
2021-08-23,36.0,37.24,35.91,37.17,5465600
2021-08-24,37.46,38.58,37.43,38.04,7209100
2021-08-25,37.61,38.26,37.52,37.91,3296100
2021-08-26,37.63,37.67,36.38,36.76,3717800
2021-08-27,36.84,37.76,36.77,37.46,3145000
2021-08-30,37.51,37.61,36.2,36.23,2975500
2021-08-31,36.23,36.49,35.11,35.42,3910800
2021-09-01,36.02,36.25,35.48,35.61,2879500
2021-09-02,35.65,36.28,35.36,35.68,3184600
2021-09-03,35.62,36.06,35.28,35.86,2193200
2021-09-07,36.08,36.34,35.71,36.02,4339900
2021-09-08,35.77,35.77,34.67,34.81,3556300
2021-09-09,35.12,36.22,35.04,35.81,2288700
2021-09-10,36.05,36.52,35.73,35.77,2226600
2021-09-13,36.12,36.22,35.52,35.63,2474400
2021-09-14,35.88,35.88,34.97,35.4,2835400
2021-09-15,35.07,35.34,34.71,35.3,3048800
2021-09-16,35.42,36.68,35.38,35.98,3041500
2021-09-17,35.94,36.59,35.53,35.71,3416700
2021-09-20,34.59,35.04,33.07,33.6,4471300
2021-09-21,34.03,34.49,33.68,33.98,3300800
2021-09-22,34.23,34.88,34.01,34.45,2113400
2021-09-23,35.17,36.24,35.1,35.66,3298900
2021-09-24,34.99,35.22,33.91,34.88,2619600
2021-09-27,34.93,35.92,34.93,35.44,2156200
2021-09-28,35.32,35.79,34.87,34.97,1914100
2021-09-29,35.3,35.33,34.1,34.25,2451100
2021-09-30,33.87,33.91,32.3,32.72,6718900
2021-10-01,32.85,33.83,32.46,33.6,2696900
2021-10-04,33.72,34.32,33.23,33.57,3673100
2021-10-05,33.84,34.93,33.7,33.98,2866800
2021-10-06,33.66,33.98,32.9,33.26,3583700
2021-10-07,33.84,34.55,33.66,33.75,3175100
2021-10-08,33.67,33.68,32.53,33.02,2190100
2021-10-11,32.99,33.57,32.84,33.08,3029800
2021-10-12,33.43,34.11,32.94,33.92,3498100
2021-10-13,34.25,34.3,33.59,33.95,2544600
2021-10-14,34.51,34.9,34.21,34.63,2142300
2021-10-15,34.97,35.17,34.55,34.65,1755100
2021-10-18,34.02,34.2,33.47,34.11,2554900
2021-10-19,34.25,34.25,33.76,33.92,2786300
2021-10-20,33.93,34.77,33.93,34.14,2529900
2021-10-21,34.42,34.82,33.99,34.25,2205300
2021-10-22,34.31,34.42,33.92,34.13,1508000
2021-10-25,34.26,35.22,34.13,35.04,1837200
2021-10-26,35.29,35.44,34.53,34.57,2554500
2021-10-27,34.38,34.38,33.61,33.64,2080700
2021-10-28,33.94,35.08,33.65,34.47,3109100
2021-10-29,34.4,34.85,34.08,34.45,1926700
2021-11-01,34.37,35.06,34.21,34.82,3586600
2021-11-02,35.08,35.35,34.6,35.04,3087900
2021-11-03,36.34,37.27,36.08,36.96,4026700
2021-11-04,37.01,37.95,36.99,37.1,4413900
2021-11-05,37.84,38.35,37.3,37.57,5027700
2021-11-08,37.71,37.91,37.01,37.43,2756200
2021-11-09,37.51,37.78,36.75,37.54,3664100
2021-11-10,36.95,38.25,36.95,37.66,5754900
2021-11-11,39.6,41.56,39.52,40.82,9926500
2021-11-12,41.1,41.31,40.12,40.24,4219500
2021-11-15,40.24,40.31,39.25,39.69,4118000
2021-11-16,39.86,40.73,39.72,40.3,2318500
2021-11-17,40.08,40.3,39.63,39.94,2403400
2021-11-18,40.37,40.72,40.05,40.52,6162000
2021-11-19,40.52,41.15,40.37,40.65,3030100
2021-11-22,40.88,41.59,40.71,40.83,3016700
2021-11-23,40.62,41.17,40.09,40.65,3328500
2021-11-24,39.8,39.8,38.55,38.95,5723900
2021-11-26,37.86,37.86,35.85,36.95,3411400
2021-11-29,37.5,37.78,36.43,36.89,3389500
2021-11-30,36.52,36.8,34.94,35.46,4526600
2021-12-01,36.39,37.25,34.36,34.36,4372700
2021-12-02,34.84,36.62,34.68,36.43,4070100
2021-12-03,36.64,37.09,35.68,36.31,3719400
2021-12-06,36.96,38.02,36.75,37.68,4082500
2021-12-07,38.34,39.35,38.32,38.87,3414700
2021-12-08,38.78,39.18,38.57,38.71,3192300
2021-12-09,38.43,39.45,38.41,38.47,2277400
2021-12-10,38.47,38.71,38.16,38.46,2555500
2021-12-13,38.45,38.77,36.76,37.41,3438400
2021-12-14,37.27,38.24,37.08,37.77,5785900
2021-12-15,37.66,38.04,36.07,37.15,4623200
2021-12-16,37.35,37.87,36.55,36.63,4146000
2021-12-17,36.16,37.09,35.73,36.7,4742300
2021-12-20,36.05,36.05,34.36,34.99,4363400
2021-12-21,35.58,36.63,35.56,36.41,2809100
2021-12-22,36.34,36.87,36.14,36.54,2203900
2021-12-23,36.75,36.96,36.42,36.7,1847000
2021-12-27,36.84,36.96,36.44,36.58,2800200
2021-12-28,36.47,37.1,36.08,36.11,1914300
2021-12-29,36.13,36.3,35.81,36.11,2688900
2021-12-30,36.01,36.66,36.01,36.3,2855200
2021-12-31,36.13,36.32,35.57,36.12,2070600
2022-01-03,36.48,37.17,36.21,36.3,2267200
2022-01-04,36.85,37.58,36.67,37.05,2252200
2022-01-05,37.1,37.68,36.55,36.72,4091700
2022-01-06,37.0,37.41,36.25,36.87,2148400
2022-01-07,36.63,36.81,34.98,35.0,3045800
2022-01-10,34.33,34.6,32.75,33.36,5200500
2022-01-11,33.36,34.02,32.82,33.99,2943100
2022-01-12,34.16,34.56,33.57,34.29,2438900
2022-01-13,34.4,35.34,34.2,34.9,2604600
2022-01-14,34.34,34.6,33.39,34.13,3115000
2022-01-18,33.72,33.79,33.15,33.33,3090300
2022-01-19,33.67,34.06,33.32,33.32,2607400
2022-01-20,33.29,34.14,32.61,32.7,2392100
2022-01-21,32.67,33.51,32.31,32.51,3371200
2022-01-24,31.9,33.97,31.46,33.97,4949500
2022-01-25,33.0,33.68,32.51,33.32,2572600
2022-01-26,33.9,34.22,32.28,32.72,2661600
2022-01-27,33.3,34.03,32.71,32.97,2715800
2022-01-28,33.18,33.55,32.38,33.47,2785700
2022-01-31,33.1,33.84,32.99,33.76,2751300
2022-02-01,34.07,34.57,33.77,34.47,2448400
2022-02-02,35.98,36.07,34.23,34.79,4217700
2022-02-03,34.37,35.49,33.94,34.1,3132500
