Date,Open,High,Low,Close,Volume
2021-07-12,40.0,40.64,39.72,40.28,1301200
2021-07-13,39.98,40.23,39.69,40.04,1965900
2021-07-14,40.48,41.13,38.62,38.81,1794200
2021-07-15,38.19,38.57,37.5,37.87,1894900
2021-07-16,38.37,38.37,37.18,37.28,1433600
2021-07-19,35.87,36.51,35.01,36.12,2341400
2021-07-20,36.54,37.61,35.85,37.41,2443600
2021-07-21,38.14,39.34,38.14,38.63,1774200
2021-07-22,38.63,38.86,38.02,38.63,823300
2021-07-23,38.38,38.59,37.85,38.35,954700
2021-07-26,38.73,39.33,38.6,39.23,1247400
2021-07-27,38.8,38.81,37.5,37.96,956100
2021-07-28,38.33,39.02,37.48,38.66,982200
2021-07-29,38.9,39.13,38.38,38.81,709200
2021-07-30,38.57,38.9,37.95,38.07,808400
2021-08-02,38.27,39.23,37.55,37.55,909300
2021-08-03,37.34,38.08,36.44,38.08,1352600
2021-08-04,37.33,38.47,36.89,37.44,1607900
2021-08-05,35.62,39.32,35.31,38.33,1650200
2021-08-06,38.88,39.26,38.61,38.77,1170200
2021-08-09,38.17,38.8,37.7,38.55,956900
2021-08-10,38.8,40.39,38.65,40.14,1599900
2021-08-11,39.72,40.04,39.01,39.95,1669000
2021-08-12,40.08,40.49,39.56,40.07,723000
2021-08-13,39.83,40.07,39.42,39.73,1039400
2021-08-16,39.41,39.84,38.84,38.89,1442100
2021-08-17,38.49,39.54,38.29,39.08,1951800
2021-08-18,39.08,39.27,38.27,38.39,1565800
2021-08-19,37.65,38.16,36.63,37.18,1923500
2021-08-20,37.0,37.86,36.75,37.84,1007700
2021-08-23,38.81,39.37,38.75,38.94,1082400
2021-08-24,39.45,39.86,39.13,39.7,1188400
2021-08-25,39.6,40.47,39.25,40.11,1281900
2021-08-26,39.91,40.11,39.24,39.39,1193900
2021-08-27,39.65,41.04,39.65,40.82,1406500
2021-08-30,40.83,41.0,39.92,39.94,1009200
2021-08-31,39.82,40.24,39.54,39.71,1926000
2021-09-01,39.75,39.79,39.07,39.59,1461600
2021-09-02,39.99,40.86,39.99,40.73,983300
2021-09-03,40.79,41.2,40.45,40.73,730700
2021-09-07,40.37,41.13,40.09,40.16,1411600
2021-09-08,40.42,40.77,39.85,40.05,1178900
2021-09-09,39.59,40.36,39.41,39.74,1229000
2021-09-10,40.34,40.59,39.3,39.32,898600
2021-09-13,40.05,40.82,39.9,40.45,956000
2021-09-14,40.83,40.96,39.72,39.96,896200
2021-09-15,40.58,42.28,40.58,42.23,1250100
2021-09-16,42.13,42.16,41.36,41.79,1226500
2021-09-17,41.69,42.1,40.58,40.72,3298200
2021-09-20,39.45,39.95,39.07,39.89,1470900
2021-09-21,40.64,40.91,39.99,40.45,1263200
2021-09-22,41.02,42.2,41.02,41.61,1053100
2021-09-23,41.87,43.02,41.68,42.89,1210500
2021-09-24,42.64,43.07,42.31,42.87,832700
2021-09-27,43.71,44.94,43.71,44.72,1642500
2021-09-28,45.33,45.67,44.28,44.59,1639000
2021-09-29,44.72,45.11,44.02,44.75,1712800
2021-09-30,45.0,45.22,44.11,44.49,2588800
