Date,Open,High,Low,Close,Volume
2021-07-12,165.13,170.67,164.91,169.62,1408700
2021-07-13,169.38,169.66,163.57,165.06,1589100
2021-07-14,165.38,165.78,162.01,163.66,713500
2021-07-15,162.8,165.14,162.71,164.26,859700
2021-07-16,164.77,164.98,163.05,163.44,1843300
2021-07-19,161.12,161.72,157.39,158.64,1247000
2021-07-20,159.4,164.52,158.92,164.14,786700
2021-07-21,165.64,167.47,165.36,166.61,729700
2021-07-22,166.6,166.6,164.11,165.01,743700
2021-07-23,166.19,167.58,165.2,166.6,546400
2021-07-26,165.85,167.53,164.34,165.7,915700
2021-07-27,164.9,165.21,162.07,163.42,890400
2021-07-28,164.02,164.02,161.73,162.99,996400
2021-07-29,162.27,164.12,157.49,163.87,1286900
2021-07-30,163.76,165.23,162.56,164.04,1492200
2021-08-02,165.15,167.23,164.58,165.71,836000
2021-08-03,166.09,168.87,164.8,168.46,722900
2021-08-04,167.57,169.62,165.8,168.6,673600
2021-08-05,169.85,170.77,169.23,170.56,572300
2021-08-06,171.39,172.45,170.57,171.95,621200
2021-08-09,172.13,173.78,171.03,173.21,593100
2021-08-10,173.56,175.9,172.98,174.59,713100
2021-08-11,174.58,176.35,174.07,174.51,576900
2021-08-12,174.17,174.17,172.04,173.23,615100
2021-08-13,172.96,173.6,171.16,172.63,514500
2021-08-16,172.47,173.65,170.41,173.64,489500
2021-08-17,171.65,173.02,169.98,171.01,644300
2021-08-18,172.05,172.05,168.79,168.9,694200
2021-08-19,167.34,170.98,166.6,170.72,679800
2021-08-20,171.17,173.36,170.82,173.13,500800
2021-08-23,173.85,175.02,172.94,173.28,646300
2021-08-24,173.36,174.86,173.32,174.36,445800
2021-08-25,175.19,177.49,174.67,176.22,583800
2021-08-26,175.98,176.82,175.06,175.6,595600
2021-08-27,175.84,178.98,175.79,178.9,612900
2021-08-30,180.43,180.43,178.42,178.46,469000
2021-08-31,178.79,180.02,175.76,179.88,974100
2021-09-01,179.7,179.75,176.69,177.57,1015000
2021-09-02,178.73,179.12,177.31,177.9,742800
2021-09-03,178.11,178.63,175.48,175.62,1261800
2021-09-07,175.56,175.6,171.51,172.78,798400
2021-09-08,172.7,174.54,171.74,174.44,581500
2021-09-09,174.01,175.93,173.42,174.53,529200
2021-09-10,175.97,176.42,173.67,174.04,871900
2021-09-13,175.22,176.35,172.44,174.14,821800
2021-09-14,174.67,175.39,171.6,171.9,785400
2021-09-15,171.91,174.99,171.22,173.71,910700
2021-09-16,174.17,174.38,172.24,173.64,707500
2021-09-17,172.87,174.99,171.19,172.41,1678500
2021-09-20,168.94,169.06,163.68,165.97,1444500
2021-09-21,166.98,167.67,164.0,164.41,1222400
2021-09-22,166.54,168.26,165.19,167.1,961100
2021-09-23,168.05,172.04,167.46,171.24,931000
2021-09-24,170.5,171.75,169.89,170.56,548200
2021-09-27,170.35,171.54,169.72,171.1,787300
2021-09-28,169.85,170.56,162.72,163.09,1473000
2021-09-29,164.28,164.94,162.01,163.04,1167500
2021-09-30,163.67,163.81,157.18,158.84,2137600
2021-10-01,158.96,161.71,157.77,160.32,1316700
2021-10-04,159.19,160.05,155.21,156.33,1840500
2021-10-05,157.36,159.06,156.08,157.52,1054000
2021-10-06,155.61,157.08,153.78,156.48,1104700
2021-10-07,158.08,160.06,156.87,157.13,1015400
2021-10-08,157.03,159.02,156.09,157.76,991500
2021-10-11,157.99,160.28,157.34,157.36,1165700
2021-10-12,156.91,157.29,151.85,152.22,1874600
2021-10-13,152.61,155.0,151.84,154.51,1416600
2021-10-14,157.01,159.49,155.73,159.41,1547200
2021-10-15,160.44,162.6,160.21,161.31,2705300
2021-10-18,159.64,162.88,159.64,161.62,785400
2021-10-19,162.84,164.17,162.34,163.68,898000
2021-10-20,163.59,165.59,163.51,165.23,806000
2021-10-21,164.99,165.52,164.14,165.23,818700
2021-10-22,164.33,167.56,163.95,166.99,805700
2021-10-25,166.49,167.97,165.58,166.91,744600
2021-10-26,167.93,170.04,167.77,168.86,701400
2021-10-27,168.2,169.13,164.4,164.53,1079100
2021-10-28,163.78,174.45,163.12,173.85,1890000
2021-10-29,173.4,178.83,172.61,175.13,1744300
2021-11-01,176.21,177.98,170.73,174.31,1174100
2021-11-02,174.91,176.81,174.02,175.09,945900
2021-11-03,170.02,177.53,169.99,177.23,868200
2021-11-04,177.89,179.07,174.97,177.36,746900
