Date,Open,High,Low,Close,Volume
2021-09-10,36.99,37.84,36.83,37.35,5247500
2021-09-13,37.44,37.6,36.54,36.84,7475500
2021-09-14,37.0,37.54,36.85,37.42,3849000
2021-09-15,37.39,37.51,37.04,37.39,4522500
2021-09-16,37.38,38.31,37.26,38.18,3780500
2021-09-17,37.97,38.15,37.56,37.77,5973500
2021-09-20,37.32,37.6,37.05,37.48,4740000
2021-09-21,37.76,37.93,37.29,37.74,2492500
2021-09-22,37.99,38.68,37.68,38.63,3390500
2021-09-23,38.88,38.96,38.16,38.31,3604500
2021-09-24,38.32,38.47,37.94,38.42,2059500
2021-09-27,38.42,38.8,37.98,38.34,4461500
2021-09-28,38.26,38.26,37.6,37.75,3969000
2021-09-29,38.04,38.27,37.77,37.95,3263500
2021-09-30,37.73,37.85,36.8,36.94,4296000
2021-10-01,37.21,37.21,36.35,36.71,4615500
2021-10-04,35.93,36.36,35.17,35.74,6981500
2021-10-05,35.74,36.21,35.71,36.02,3700500
2021-10-06,35.78,36.06,35.57,35.85,4019500
2021-10-07,35.81,36.5,35.79,36.1,4854500
2021-10-08,36.2,36.35,35.46,35.5,3380500
2021-10-11,35.6,35.89,35.27,35.28,3910000
2021-10-12,35.31,35.6,35.08,35.24,2667000
2021-10-13,35.43,35.71,35.21,35.54,2962500
2021-10-14,35.86,36.28,35.68,35.97,2835500
2021-10-15,36.35,36.53,35.93,35.97,3399500
2021-10-18,35.9,37.41,35.82,37.28,5992500
2021-10-19,37.44,37.54,37.03,37.11,3056500
2021-10-20,37.11,37.44,36.83,36.88,3985500
2021-10-21,38.56,38.81,37.76,38.36,7499000
2021-10-22,38.74,39.06,37.95,37.96,3910000
2021-10-25,38.16,38.96,38.05,38.48,3816000
2021-10-26,38.61,38.67,37.7,37.71,4007500
2021-10-27,37.83,38.05,37.54,37.72,3074000
2021-10-28,37.76,38.49,37.72,38.3,3462000
2021-10-29,38.22,39.7,38.22,39.59,5402500
2021-11-01,39.81,39.88,38.89,38.99,3221000
2021-11-02,39.08,39.48,39.08,39.32,2770500
2021-11-03,39.35,39.59,38.89,39.34,2952000
2021-11-04,39.45,40.04,39.26,39.76,2628000
2021-11-05,39.97,40.19,39.56,40.12,3937500
2021-11-08,40.24,40.42,39.72,40.37,4225000
2021-11-09,40.38,40.99,40.03,40.27,2977000
2021-11-10,40.0,40.27,39.43,39.61,2363000
2021-11-11,39.76,40.0,39.53,39.86,2315500
2021-11-12,39.95,40.39,39.8,40.32,2460000
2021-11-15,40.55,40.77,40.32,40.64,2556500
2021-11-16,41.04,41.98,40.77,41.77,5237500
2021-11-17,41.84,42.09,41.0,41.26,3648000
2021-11-18,41.79,41.84,41.2,41.79,3191000
2021-11-19,41.78,42.37,41.66,42.13,4706500
2021-11-22,42.4,42.48,41.76,41.84,2892500
2021-11-23,41.89,41.91,40.57,41.17,3449000
2021-11-24,40.81,41.32,40.57,41.27,2136500
2021-11-26,40.81,42.1,40.8,41.73,2963000
2021-11-29,41.82,42.12,41.34,41.43,2955000
2021-11-30,41.43,42.45,40.82,41.18,7771000
2021-12-01,41.32,41.85,40.92,40.92,3735500
2021-12-02,40.99,41.97,40.87,41.6,3730000
2021-12-03,41.9,42.2,41.31,41.66,3514500
2021-12-06,41.86,42.1,41.26,41.57,2800500
2021-12-07,41.94,42.92,41.79,42.64,2757500
2021-12-08,42.68,43.01,42.35,42.98,2879500
2021-12-09,42.92,42.94,42.05,42.07,2546000
2021-12-10,42.25,42.84,42.08,42.82,2178500
2021-12-13,43.47,43.47,41.96,42.61,3121000
2021-12-14,42.56,42.94,42.19,42.79,4421500
2021-12-15,42.5,43.42,42.23,43.3,3775000
2021-12-16,43.3,43.54,42.35,42.59,3014500
2021-12-17,42.51,42.64,40.97,41.42,6127000
2021-12-20,40.67,40.87,39.76,40.62,5556500
2021-12-21,40.69,41.11,40.02,40.76,3706500
2021-12-22,40.86,41.55,40.74,41.54,2297000
2021-12-23,41.67,41.97,41.58,41.71,1653500
2021-12-27,41.98,42.34,41.81,42.3,1907500
2021-12-28,42.52,42.6,42.12,42.24,1717000
2021-12-29,42.36,43.58,42.31,43.26,2625000
2021-12-30,43.64,43.74,43.17,43.26,1809000
2021-12-31,43.24,43.77,42.98,43.6,1537500
2022-01-03,43.56,43.83,42.79,43.07,2607000
2022-01-04,43.09,43.78,42.89,43.18,3091500
2022-01-05,43.24,43.47,41.93,41.98,3901000
2022-01-06,41.88,42.55,41.66,42.27,3865500
2022-01-07,42.18,42.32,41.16,41.73,4260000
2022-01-10,41.19,41.56,40.32,41.55,4900000
2022-01-11,41.59,41.65,40.49,41.26,5050000
2022-01-12,41.37,42.18,41.3,41.83,2852500
2022-01-13,42.32,42.82,42.02,42.17,2729500
2022-01-14,42.01,42.18,40.5,40.56,4339000
2022-01-18,40.06,40.58,39.38,40.46,4760500
2022-01-19,40.7,41.13,40.29,40.32,3853500
2022-01-20,40.73,41.07,38.29,38.35,6664500
2022-01-21,38.42,38.93,37.88,38.21,6084500
2022-01-24,37.61,39.73,37.42,39.68,6947500
2022-01-25,39.11,39.41,38.01,38.81,4953000
2022-01-26,39.11,39.11,37.44,37.85,5485000
2022-01-27,40.1,40.1,37.93,38.24,8820000
2022-01-28,38.81,39.28,37.85,39.26,5930500
2022-01-31,39.23,39.94,38.74,39.89,5438000
2022-02-01,39.92,40.71,39.79,40.26,4452000
2022-02-02,40.36,41.0,40.15,40.36,5040000
2022-02-03,40.1,40.84,39.81,40.1,3348000
2022-02-04,40.09,40.1,39.19,39.64,3280500
2022-02-07,39.77,40.15,39.43,39.77,5088500
2022-02-08,39.83,40.73,39.83,40.56,5062000
2022-02-09,40.93,41.35,40.72,41.02,3634000
2022-02-10,40.48,41.2,40.15,40.31,4194500
2022-02-11,40.22,40.52,39.87,40.1,3640500
2022-02-14,40.2,40.38,39.2,39.82,3557000
2022-02-15,40.11,40.58,39.91,40.11,3685500
2022-02-16,39.91,40.2,38.86,39.3,4790500
2022-02-17,39.12,39.41,38.77,39.18,4524500
2022-02-18,39.16,39.61,38.98,39.31,5286000
2022-02-22,39.12,39.18,36.68,36.77,8873000
2022-02-23,37.05,37.1,35.09,35.2,7486500
2022-02-24,34.32,36.02,34.26,35.86,8986500
2022-02-25,35.87,36.86,35.68,36.83,4210000
2022-02-28,36.45,37.49,36.37,37.4,6712500
2022-03-01,37.4,38.06,37.36,37.65,5781500
2022-03-02,37.74,38.21,37.29,38.12,4496000
2022-03-03,38.33,39.68,38.2,39.39,5501500
2022-03-04,39.46,40.83,39.13,40.73,7569000
2022-03-07,40.66,43.43,40.66,41.75,12116500
2022-03-08,41.55,42.95,40.07,40.24,9077000
2022-03-09,40.65,41.7,40.1,41.26,4911500
2022-03-10,40.87,42.09,40.48,42.02,5040000
2022-03-11,42.21,42.51,41.44,41.57,4563000
2022-03-14,41.71,42.42,41.07,41.17,4704500
2022-03-15,41.44,41.86,40.65,41.82,3702000
2022-03-16,42.12,42.39,40.72,41.68,4004500
2022-03-17,41.59,42.73,41.41,42.69,3666500
2022-03-18,43.21,43.22,42.15,42.86,6582000
2022-03-21,42.82,43.23,42.13,42.5,2740500
2022-03-22,42.62,42.71,42.01,42.54,2537000
2022-03-23,42.59,42.91,42.23,42.6,4274000
2022-03-24,42.8,43.08,42.58,42.82,3087500
2022-03-25,43.13,43.26,42.09,42.61,3246500
2022-03-28,42.5,42.7,42.06,42.62,2982000
2022-03-29,42.85,43.04,42.26,42.82,3751500
2022-03-30,42.41,42.76,42.12,42.73,3008500
2022-03-31,42.88,44.33,42.65,42.83,11183500
2022-04-01,42.89,43.04,41.53,41.61,5619500
2022-04-04,41.66,41.81,41.22,41.78,5087500
2022-04-05,41.73,42.73,40.9,41.2,5630000
2022-04-06,40.92,41.43,40.3,41.28,5630000
2022-04-07,41.06,42.82,41.02,42.39,6446500
2022-04-08,42.3,43.73,42.3,43.38,4257500
2022-04-11,43.02,43.62,42.73,43.15,3781500
2022-04-12,43.53,44.3,43.1,43.44,4087000
2022-04-13,43.51,44.0,43.22,43.56,3866500
2022-04-14,43.41,43.84,41.85,41.89,5547500
2022-04-18,41.62,41.77,39.4,39.92,10973500
2022-04-19,39.93,40.77,39.88,40.68,6059000
2022-04-20,40.79,40.96,40.24,40.57,6136000
2022-04-21,40.15,40.56,39.64,40.22,11416500
2022-04-22,39.72,39.82,37.9,37.92,10722000
2022-04-25,37.62,38.63,37.39,38.53,9169000
2022-04-26,38.49,38.73,37.76,37.78,5022000
2022-04-27,37.73,38.28,37.43,37.68,4620500
2022-04-28,38.05,38.69,37.22,38.26,5054000
2022-04-29,37.93,38.33,36.88,36.97,6668500
