Date,Open,High,Low,Close,Volume
2021-08-16,44.05,44.53,43.94,44.06,1728000
2021-08-17,43.93,44.01,43.11,43.69,2123700
2021-08-18,43.58,43.7,43.22,43.38,2276400
2021-08-19,43.22,43.81,43.03,43.69,1165500
2021-08-20,43.59,44.04,43.22,43.77,1258200
2021-08-23,43.73,43.94,43.26,43.39,1118400
2021-08-24,43.5,43.64,42.7,42.98,1506500
2021-08-25,42.99,43.46,42.7,43.02,1520800
2021-08-26,43.07,43.53,42.89,43.27,1237200
2021-08-27,43.51,43.9,43.32,43.54,1159700
2021-08-30,43.57,44.16,43.38,44.07,1148700
2021-08-31,43.97,44.59,43.83,44.53,2988700
2021-09-01,44.83,45.7,44.67,45.58,2164200
2021-09-02,45.75,45.87,45.12,45.72,1919200
2021-09-03,45.5,45.8,45.0,45.65,1529100
2021-09-07,45.43,45.43,43.73,44.39,2239800
2021-09-08,44.2,45.19,44.04,44.93,1804600
2021-09-09,44.81,44.81,44.12,44.16,1639300
2021-09-10,44.24,44.27,43.46,43.49,1418400
2021-09-13,44.16,44.45,43.81,43.97,1765200
2021-09-14,44.15,44.34,43.69,44.07,1175800
2021-09-15,44.1,44.65,43.97,44.23,1499100
2021-09-16,44.27,44.59,43.83,44.31,1837600
2021-09-17,44.05,44.4,43.68,43.84,7464800
2021-09-20,43.42,44.13,43.31,43.81,3125300
2021-09-21,44.18,44.57,43.91,43.96,1930200
2021-09-22,44.36,44.64,44.13,44.22,2201300
2021-09-23,44.57,45.0,44.35,44.5,2757800
2021-09-24,44.3,44.78,44.11,44.15,1604000
2021-09-27,44.21,44.59,43.36,43.44,1868900
2021-09-28,43.13,43.64,42.8,43.44,1617900
2021-09-29,43.76,44.4,43.59,44.13,1181400
2021-09-30,44.38,44.46,43.5,43.68,2485600
2021-10-01,44.03,44.37,43.26,44.14,1408700
2021-10-04,43.97,44.48,43.7,44.3,1983900
2021-10-05,44.47,44.51,43.74,44.13,1659700
2021-10-06,43.88,44.62,43.2,44.52,1311500
2021-10-07,44.83,44.98,44.2,44.44,2460300
2021-10-08,44.4,44.65,44.0,44.02,1148300
2021-10-11,43.99,44.45,43.52,43.9,948600
2021-10-12,44.21,44.68,43.86,44.49,1607900
2021-10-13,44.33,45.24,44.16,45.11,1740200
2021-10-14,45.42,45.77,45.04,45.71,887900
2021-10-15,45.93,45.98,44.63,44.77,2225600
2021-10-18,44.61,45.26,44.49,45.14,1122800
2021-10-19,45.33,45.42,44.71,44.77,702500
2021-10-20,44.71,45.47,44.66,45.42,1280000
2021-10-21,45.51,45.55,45.2,45.47,1139800
2021-10-22,45.69,45.77,45.38,45.64,878500
2021-10-25,45.76,45.76,45.2,45.38,1161800
2021-10-26,45.38,46.09,45.05,45.77,1238000
2021-10-27,45.53,46.5,45.53,46.02,1322000
2021-10-28,46.13,46.85,46.06,46.69,1746100
2021-10-29,46.49,46.65,45.75,46.09,2243200
2021-11-01,46.12,46.19,44.64,45.67,1747200
2021-11-02,46.03,46.03,45.27,45.82,1463400
2021-11-03,45.83,46.11,45.42,45.79,2140400
2021-11-04,45.72,45.91,44.55,44.94,1345200
2021-11-05,45.32,45.86,45.28,45.49,1212600
