Date,Open,High,Low,Close,Volume
2021-07-12,376.5,381.43,375.85,381.1,2802600
2021-07-13,381.41,384.44,380.79,383.39,2948900
2021-07-14,385.43,387.04,378.63,379.9,3538700
2021-07-15,377.31,386.31,373.0,384.77,3546500
2021-07-16,385.97,386.82,382.56,384.45,2625400
2021-07-19,382.19,384.29,372.64,374.7,3611300
2021-07-20,376.48,382.64,376.12,378.28,3186700
2021-07-21,382.03,382.19,376.32,379.81,1863700
2021-07-22,381.08,381.82,378.98,380.85,1421900
2021-07-23,382.8,384.12,381.05,382.62,1611700
2021-07-26,381.82,382.59,376.39,378.81,2232600
2021-07-27,377.39,380.38,375.07,380.23,2630600
2021-07-28,379.68,379.68,372.63,374.8,2446600
2021-07-29,376.74,377.93,374.12,377.47,1597300
2021-07-30,376.26,379.02,375.79,377.6,1864200
2021-08-02,378.83,381.46,378.14,380.66,1806500
2021-08-03,380.89,386.68,380.22,386.46,2496500
2021-08-04,386.6,388.08,384.46,386.13,1995400
2021-08-05,386.61,386.78,373.63,376.65,3598600
2021-08-06,377.4,381.76,377.4,380.25,1944000
2021-08-09,380.1,381.27,375.88,376.36,1509800
2021-08-10,376.03,378.91,374.25,377.19,1441800
2021-08-11,378.34,379.16,373.28,373.49,1542600
2021-08-12,372.81,374.4,370.34,371.86,1939900
2021-08-13,372.89,375.61,371.83,375.26,1537800
2021-08-16,375.42,382.36,373.12,382.17,2377500
2021-08-17,382.07,387.01,381.64,386.35,2258000
2021-08-18,385.96,386.18,382.06,382.27,3037000
2021-08-19,380.49,392.37,377.76,391.95,3204500
2021-08-20,392.37,395.13,391.05,393.62,2401900
2021-08-23,394.4,394.4,389.21,389.63,2375900
2021-08-24,389.78,390.16,386.3,387.85,1619300
2021-08-25,386.42,388.04,384.22,384.48,1939000
2021-08-26,384.51,386.0,381.64,381.84,1385400
2021-08-27,382.9,385.04,381.17,383.59,1621600
2021-08-30,383.59,385.24,382.79,383.17,1284200
2021-08-31,381.97,385.4,379.43,381.31,4249100
2021-09-01,381.55,384.6,376.7,382.3,2034400
2021-09-02,383.95,388.75,383.11,388.12,3137400
2021-09-03,386.49,388.39,385.28,387.34,1604800
2021-09-07,385.0,386.79,382.51,385.86,1920300
2021-09-08,385.81,387.35,379.41,380.5,2262500
2021-09-09,380.45,384.92,379.16,379.73,3508500
2021-09-10,381.99,382.4,370.07,371.28,4215800
2021-09-13,375.02,383.14,373.62,381.04,3068200
2021-09-14,383.86,383.86,378.14,379.22,2879800
2021-09-15,379.2,387.38,376.42,383.79,3180600
2021-09-16,385.77,389.2,381.44,383.17,2262700
2021-09-17,381.45,387.08,381.45,386.22,4534200
2021-09-20,383.24,385.43,375.7,379.36,2799800
2021-09-21,381.49,384.95,378.91,379.03,2382200
2021-09-22,372.23,378.72,372.23,375.69,3629400
2021-09-23,376.7,381.34,374.59,375.07,2681600
2021-09-24,374.07,374.94,372.5,374.2,1950400
2021-09-27,374.89,378.86,372.25,372.53,2608600
2021-09-28,370.08,371.37,364.95,366.42,3115400
2021-09-29,364.93,369.39,363.83,368.07,2056300
2021-09-30,369.06,370.9,358.92,359.18,3779900
2021-10-01,359.97,361.89,352.17,360.73,3146600
2021-10-04,359.99,363.23,353.68,355.75,3074800
