Date,Open,High,Low,Close,Volume
2021-09-13,153.71,154.2,152.04,153.46,2136200
2021-09-14,154.13,154.63,150.64,150.79,1895300
2021-09-15,151.25,153.01,150.66,152.64,1769200
2021-09-16,152.64,153.31,151.1,152.34,1657200
2021-09-17,152.01,154.93,149.73,150.01,4504200
2021-09-20,148.69,149.66,147.49,149.51,2439500
2021-09-21,150.07,150.56,148.42,149.78,2496400
2021-09-22,145.14,147.87,143.77,146.28,4229800
2021-09-23,146.83,148.29,146.57,147.46,2527500
2021-09-24,147.23,148.96,146.68,148.43,2312900
2021-09-27,147.92,148.89,147.35,147.5,1847600
2021-09-28,147.37,148.26,146.91,147.43,3093900
2021-09-29,147.64,148.37,145.6,145.84,2467400
2021-09-30,146.24,147.81,143.68,143.75,2902800
2021-10-01,144.38,144.39,141.17,143.27,3014500
2021-10-04,142.49,143.44,139.83,140.85,3512500
2021-10-05,140.9,142.92,140.23,141.84,2491800
2021-10-06,140.83,143.02,140.38,142.65,2119200
2021-10-07,144.45,145.27,143.02,143.36,2518400
2021-10-08,142.65,145.65,141.84,144.85,2781700
2021-10-11,145.49,145.51,143.3,143.47,1780200
2021-10-12,143.69,144.27,142.59,143.67,2615700
2021-10-13,143.82,145.99,142.63,145.3,3780400
2021-10-14,148.13,151.4,147.83,151.11,4106400
2021-10-15,151.54,153.16,150.55,152.95,3153400
2021-10-18,152.73,154.42,152.41,152.67,2305000
2021-10-19,153.07,153.87,152.4,152.98,1974500
2021-10-20,153.79,154.37,152.52,154.15,1952000
2021-10-21,154.42,157.89,154.28,157.44,2997300
2021-10-22,156.99,161.17,156.9,160.89,3735900
2021-10-25,160.27,162.27,159.34,160.96,4829700
2021-10-26,168.95,173.86,168.67,172.15,6596500
2021-10-27,171.4,171.68,166.17,167.52,3309000
2021-10-28,168.38,168.97,166.53,168.86,2236400
2021-10-29,167.94,170.57,167.56,168.52,2362000
2021-11-01,169.62,169.62,165.7,166.49,1868400
2021-11-02,166.49,166.49,164.55,165.1,2206700
2021-11-03,164.83,168.04,163.72,167.94,1765800
2021-11-04,168.27,168.57,165.63,166.35,2451900
2021-11-05,166.98,167.13,163.46,164.37,2117800
2021-11-08,164.8,165.69,163.62,165.23,2166100
2021-11-09,165.46,165.88,164.21,165.75,1552900
2021-11-10,165.69,168.11,165.35,167.07,2415500
2021-11-11,168.62,170.9,167.58,168.38,2113700
2021-11-12,167.89,169.79,167.36,168.3,1600300
2021-11-15,168.04,168.46,166.44,166.98,1378300
2021-11-16,167.03,168.87,166.97,167.26,2302800
2021-11-17,167.35,167.56,163.8,164.08,2542300
2021-11-18,164.41,164.57,162.19,163.78,3919400
2021-11-19,164.8,167.13,163.66,165.39,2677600
2021-11-22,165.42,168.42,164.73,167.3,2220500
2021-11-23,167.42,169.27,165.42,168.03,2345300
2021-11-24,167.07,168.19,165.22,165.39,2518700
2021-11-26,163.54,166.23,162.46,162.87,1941000
2021-11-29,161.97,163.43,159.86,162.35,3435100
2021-11-30,161.44,161.44,157.16,157.37,6267600
2021-12-01,159.36,160.37,153.91,154.02,2938400
2021-12-02,154.92,159.17,153.76,158.59,2423400
2021-12-03,159.49,160.75,156.89,159.24,2606400
2021-12-06,160.24,162.32,159.76,160.3,3006700
2021-12-07,162.1,163.34,161.35,162.94,2250600
2021-12-08,163.44,164.61,161.35,162.41,1615500
2021-12-09,161.88,164.92,161.65,163.85,1931500
2021-12-10,165.01,166.49,164.49,165.89,1887900
2021-12-13,164.18,166.06,163.12,163.67,1909700
2021-12-14,162.79,164.34,161.11,161.63,1930500
2021-12-15,163.94,165.36,162.25,163.24,3703400
2021-12-16,164.89,168.05,164.87,164.99,2932600
2021-12-17,167.23,168.61,163.74,163.89,5625800
2021-12-20,162.66,163.42,159.79,160.59,2936400
2021-12-21,162.05,165.07,161.61,164.3,2317000
2021-12-22,164.47,165.46,163.85,165.36,1716500
2021-12-23,165.97,169.15,165.97,168.34,2573900
2021-12-27,168.89,171.05,168.66,170.65,1807200
2021-12-28,170.22,171.48,169.56,170.31,1375400
2021-12-29,170.19,171.63,169.62,170.25,1154900
2021-12-30,170.34,171.36,169.0,169.69,1207000
2021-12-31,169.09,170.9,167.98,170.04,1579900
2022-01-03,170.29,171.08,167.29,169.38,2319600
2022-01-04,170.09,173.47,169.45,172.38,2741200
2022-01-05,171.99,172.93,169.95,170.22,2710800
2022-01-06,170.61,172.26,169.24,171.87,2102200
2022-01-07,172.43,174.1,170.71,173.07,3014000
2022-01-10,172.19,172.33,167.08,167.97,2853800
2022-01-11,167.79,167.79,165.04,167.61,1771700
2022-01-12,168.12,169.34,166.68,167.57,1865700
2022-01-13,167.84,169.49,166.54,166.97,1828500
2022-01-14,165.19,165.93,163.03,163.85,1921600
2022-01-18,162.25,163.46,159.86,163.1,2339700
2022-01-19,162.67,164.42,161.41,161.65,1701700
2022-01-20,163.2,164.21,160.34,160.48,1706800
2022-01-21,160.7,162.27,158.98,160.21,2570400
2022-01-24,157.88,162.49,155.72,161.94,3660900
2022-01-25,158.71,161.47,156.43,160.2,3817200
2022-01-26,161.3,163.46,156.46,157.87,3074700
2022-01-27,159.14,160.05,153.84,154.56,3371000
