Date,Open,High,Low,Close,Volume
2021-08-20,223.25,223.53,221.74,222.76,5522200
2021-08-23,224.05,225.93,223.38,225.44,6342000
2021-08-24,226.3,227.41,225.25,225.53,5081800
2021-08-25,226.26,226.26,223.45,223.94,5277100
2021-08-26,223.5,223.98,221.59,221.95,5889100
2021-08-27,222.43,224.39,221.67,224.04,6369000
2021-08-30,224.04,224.98,221.37,222.63,6448000
2021-08-31,222.33,223.22,220.16,220.58,9405100
2021-09-01,220.58,222.2,220.27,221.57,8177600
2021-09-02,221.86,221.98,213.71,215.85,19708800
2021-09-03,215.67,218.85,215.05,216.74,11532000
2021-09-07,218.31,219.52,217.46,217.86,9662600
2021-09-08,218.93,221.66,218.6,220.57,10652600
2021-09-09,220.79,221.45,218.66,219.03,5853000
2021-09-10,221.31,221.49,216.46,216.55,6715400
2021-09-13,217.15,218.75,215.1,216.28,6808100
2021-09-14,216.64,217.42,214.02,214.74,6575700
2021-09-15,214.25,216.48,213.13,215.49,6535800
2021-09-16,215.54,216.83,214.47,215.99,5928500
2021-09-17,214.18,215.38,211.15,213.51,13787400
2021-09-20,208.89,212.3,208.27,211.87,8822600
2021-09-21,212.54,213.91,210.84,211.99,7033600
2021-09-22,213.17,215.77,212.88,214.47,6005900
2021-09-23,216.64,220.2,216.02,219.82,7952700
2021-09-24,220.42,223.33,220.12,222.98,6461200
2021-09-27,223.11,224.66,220.27,221.06,6881100
2021-09-28,220.36,220.36,215.67,217.17,6951400
2021-09-29,218.37,220.51,217.69,218.25,6432700
2021-09-30,219.12,220.28,214.35,214.47,7128500
2021-10-01,215.84,222.95,215.16,221.89,7925400
2021-10-04,221.45,221.77,212.6,216.38,10283400
2021-10-05,217.1,218.93,215.6,215.94,5814000
2021-10-06,213.79,218.2,213.03,218.09,5420900
2021-10-07,220.4,222.57,220.0,221.98,6561900
2021-10-08,222.41,224.08,221.62,221.71,3735200
2021-10-11,221.46,221.76,216.51,216.74,5620200
2021-10-12,217.17,217.81,214.63,215.72,5448200
2021-10-13,214.84,217.46,210.5,214.19,9076000
2021-10-14,215.79,217.26,214.77,216.81,5590500
2021-10-15,218.77,222.5,218.3,222.4,6355100
2021-10-18,221.62,224.11,219.66,222.08,5580200
2021-10-19,223.33,224.95,222.1,224.84,4409700
2021-10-20,224.78,225.11,222.71,222.82,5401800
2021-10-21,222.12,222.25,217.89,221.68,5982200
2021-10-22,221.73,224.16,220.21,222.63,3788000
2021-10-25,224.77,226.13,223.65,225.19,4938700
2021-10-26,226.77,228.15,222.73,223.2,7814500
2021-10-27,216.39,216.39,207.64,207.76,22958100
2021-10-28,211.1,211.81,201.24,202.04,23199400
2021-10-29,201.43,205.73,200.79,203.9,14329800
2021-11-01,205.55,207.25,203.59,204.56,13210300
2021-11-02,205.24,205.42,200.09,201.37,14688700
2021-11-03,201.89,202.34,199.04,200.36,11486700
2021-11-04,201.38,204.47,200.14,201.02,11368200
2021-11-05,204.07,209.54,203.5,208.62,14273600
2021-11-08,210.25,213.37,210.04,212.29,13500100
2021-11-09,211.52,212.22,205.0,205.46,11535000
2021-11-10,205.97,209.25,205.76,207.91,10063600
2021-11-11,208.79,209.09,202.7,202.95,13546900
2021-11-12,204.0,206.0,203.93,204.57,7660500
2021-11-15,206.04,208.72,204.29,204.77,9596900
2021-11-16,204.63,208.0,204.15,207.55,8719600
2021-11-17,198.64,199.95,192.38,197.78,38379600
2021-11-18,199.17,200.49,194.13,196.12,18292200
2021-11-19,194.87,196.28,192.76,193.73,18032600
2021-11-22,192.9,194.54,187.7,188.64,21185800
2021-11-23,189.98,191.86,187.48,191.45,14742700
2021-11-24,191.14,196.71,190.63,196.04,12026800
2021-11-26,186.46,192.12,185.72,190.64,10987600
2021-11-29,193.87,194.11,188.43,189.33,14633500
2021-11-30,188.34,190.65,185.73,186.9,16023000
2021-12-01,189.07,189.83,183.36,183.41,13204900
2021-12-02,185.19,192.36,185.04,191.25,13976300
2021-12-03,191.24,191.43,187.16,189.35,10660500
2021-12-06,191.72,196.97,190.72,195.49,10722100
2021-12-07,198.69,200.56,198.59,200.01,11897200
2021-12-08,200.29,202.05,198.41,201.58,11749200
2021-12-09,201.12,204.67,199.82,203.89,10176800
2021-12-10,204.38,206.65,203.38,205.83,8882700
2021-12-13,204.91,205.75,202.53,203.53,8844300
2021-12-14,203.25,205.8,201.05,202.53,9832300
2021-12-15,201.97,204.95,200.49,204.78,10892500
2021-12-16,207.65,208.6,204.1,206.76,8548400
2021-12-17,205.25,205.65,200.42,204.36,11578400
2021-12-20,201.67,202.33,199.52,201.33,9434400
2021-12-21,203.14,208.49,202.9,207.74,6993700
2021-12-22,206.26,211.17,206.26,210.23,6003400
2021-12-23,210.69,210.77,208.93,208.93,4798200
2021-12-27,209.96,210.38,207.26,209.91,4818400
2021-12-28,208.35,211.93,207.93,210.31,4279800
2021-12-29,210.03,211.17,209.62,210.43,3223100
2021-12-30,210.24,211.37,209.45,210.14,3812800
2021-12-31,209.12,210.25,207.84,209.02,4723300
2022-01-03,209.8,214.18,209.31,213.57,7694500
2022-01-04,214.12,218.74,213.94,214.57,10629300
2022-01-05,214.74,217.28,212.12,212.19,9594600
2022-01-06,210.07,214.04,209.83,211.95,7877500
2022-01-07,209.6,212.39,207.99,209.26,10702100
2022-01-10,206.39,206.6,199.17,204.45,11978600
2022-01-11,203.92,207.32,201.33,206.77,8803100
2022-01-12,206.87,209.86,206.22,208.06,6923300
2022-01-13,209.16,212.66,207.04,207.37,8867700
2022-01-14,206.57,210.51,206.13,207.05,8838100
2022-01-18,208.22,209.21,206.73,208.06,9099300
2022-01-19,205.44,210.49,204.58,207.06,9399800
2022-01-20,207.1,211.81,206.35,206.74,8532700
2022-01-21,207.82,207.95,198.52,198.62,16200200
2022-01-24,195.01,195.53,188.71,194.69,16054000
2022-01-25,192.54,198.09,190.0,194.83,12125500
2022-01-26,197.03,203.38,196.44,198.57,10817600
2022-01-27,202.07,203.48,198.55,198.84,12009800
2022-01-28,212.81,220.03,208.43,219.91,26425300
2022-01-31,217.55,218.35,214.17,218.15,12380600
2022-02-01,218.85,226.29,218.39,224.12,12247200
2022-02-02,223.09,227.48,221.85,227.07,10590500
2022-02-03,224.77,225.21,222.37,223.32,9968000
2022-02-04,220.39,222.05,216.97,220.29,10848100
2022-02-07,219.91,221.76,217.99,219.1,5984500
2022-02-08,218.23,220.39,216.78,219.85,7542000
2022-02-09,221.96,224.88,221.96,222.68,7772800
2022-02-10,220.3,222.15,217.24,217.94,6794600
2022-02-11,219.54,221.33,215.96,217.07,7535200
2022-02-14,215.72,219.55,215.25,217.7,8280800
2022-02-15,219.56,221.51,217.28,220.09,9461700
2022-02-16,219.79,222.08,217.95,221.06,9561300
2022-02-17,220.65,221.05,216.57,216.99,8131200
2022-02-18,216.98,218.08,214.32,215.14,8121200
2022-02-22,213.53,216.73,212.46,213.81,9928800
2022-02-23,215.28,216.67,208.11,208.63,8669900
2022-02-24,196.47,210.47,194.62,209.93,13463400
2022-02-25,209.92,213.2,206.98,211.83,8463600
2022-02-28,208.68,211.24,206.01,208.79,8409400
2022-03-01,207.21,207.85,200.25,201.88,9317800
2022-03-02,199.88,203.4,199.2,201.41,8865700
2022-03-03,203.41,204.33,199.56,200.2,8610000
2022-03-04,198.05,199.37,190.18,193.5,10912300
2022-03-07,193.06,193.39,183.61,184.23,13412400
2022-03-08,183.57,189.76,180.34,185.21,11070900
2022-03-09,189.84,193.7,188.62,192.99,8457600
2022-03-10,190.22,193.16,189.64,191.26,7061600
2022-03-11,193.94,194.03,189.8,190.04,5432100
2022-03-14,191.69,197.5,191.44,193.54,7994700
2022-03-15,195.24,199.41,194.57,199.15,8277700
2022-03-16,202.88,206.42,199.98,204.69,9232300
2022-03-17,202.81,206.3,201.64,206.21,6668500
2022-03-18,204.52,211.82,203.16,211.68,14620800
2022-03-21,209.0,210.67,207.27,209.68,6101500
2022-03-22,210.45,212.12,209.82,211.06,6259900
2022-03-23,208.0,209.92,206.94,207.4,6008000
2022-03-24,207.7,210.28,206.74,209.94,5487000
2022-03-25,211.01,211.51,208.38,211.02,5051400
2022-03-28,211.09,213.49,210.13,213.28,4316800
2022-03-29,217.22,221.05,216.19,220.38,8032500
2022-03-30,218.18,218.49,215.18,216.36,7084000
2022-03-31,216.32,218.26,212.96,214.25,10759500
2022-04-01,215.52,218.94,214.69,218.68,6559600
2022-04-04,218.1,221.47,217.33,220.02,8521200
2022-04-05,219.14,221.22,217.67,218.42,4658000
2022-04-06,215.23,215.31,211.21,211.58,7430000
2022-04-07,210.91,211.26,206.43,208.82,6995100
2022-04-08,207.53,211.97,205.85,209.62,5438600
2022-04-11,207.95,209.93,206.17,207.47,6942700
2022-04-12,209.16,209.63,203.55,204.23,7446600
2022-04-13,203.29,206.6,200.14,206.04,8052900
2022-04-14,207.0,208.63,205.32,205.57,8191600
2022-04-18,204.49,208.51,204.35,205.94,4744400
2022-04-19,205.87,209.17,205.24,208.39,5028800
2022-04-20,211.25,213.33,210.02,210.4,7178300
2022-04-21,212.07,216.33,208.05,209.11,8850300
2022-04-22,208.91,209.22,200.9,201.11,6201100
2022-04-25,199.35,203.39,198.37,202.83,6839400
2022-04-26,199.96,201.49,194.28,194.28,8155300
2022-04-27,210.0,214.28,205.83,206.85,15955800
2022-04-28,212.93,217.3,211.83,213.18,10799100
2022-04-29,211.21,213.7,205.15,205.9,7965000
2022-05-02,204.59,204.95,199.94,204.36,8803700
2022-05-03,206.37,206.37,199.28,201.49,6616900
2022-05-04,202.25,207.52,198.37,207.25,7191100
