Date,Open,High,Low,Close,Volume
2021-07-12,60.26,61.69,59.87,60.76,2728300
2021-07-13,60.19,60.63,59.4,59.74,3394300
2021-07-14,59.69,60.39,57.1,57.36,5213700
2021-07-15,56.72,57.94,56.2,56.63,4787800
2021-07-16,56.75,56.96,54.57,55.0,4696600
2021-07-19,52.43,53.22,51.51,52.49,7318700
2021-07-20,52.58,53.86,51.7,53.04,5525400
2021-07-21,53.86,55.67,53.82,55.03,5129700
2021-07-22,54.69,54.78,53.35,53.81,3307900
2021-07-23,53.85,54.35,53.53,54.01,3964700
2021-07-26,54.17,55.94,54.15,55.56,3799900
2021-07-27,54.86,55.64,54.19,55.59,4769100
2021-07-28,56.04,57.64,55.55,57.05,4606200
2021-07-29,58.32,58.92,57.08,57.34,4526800
2021-07-30,56.69,57.85,56.23,56.77,3587900
2021-08-02,57.05,58.66,56.2,56.29,4398400
2021-08-03,56.28,58.53,56.02,58.5,4367200
2021-08-04,57.22,57.54,55.16,55.19,6121200
2021-08-05,55.74,57.3,55.71,56.51,3312000
2021-08-06,57.26,57.67,56.45,57.19,2851000
2021-08-09,56.16,57.05,55.94,56.76,2736300
2021-08-10,57.06,57.78,56.61,57.53,3721100
2021-08-11,57.18,57.49,56.11,57.48,4869400
2021-08-12,57.63,57.88,56.8,57.83,1903300
2021-08-13,57.62,58.01,56.87,56.97,1944000
2021-08-16,55.98,56.32,54.93,55.5,2993300
2021-08-17,54.86,55.57,54.1,54.61,3256700
2021-08-18,54.36,55.6,53.47,53.52,3082600
2021-08-19,52.46,52.8,51.02,51.8,5267900
2021-08-20,51.54,51.97,50.61,51.77,4871000
2021-08-23,53.17,54.33,53.15,54.27,4826300
2021-08-24,54.87,56.34,54.69,56.09,3833700
2021-08-25,56.05,57.49,55.83,57.05,3064500
2021-08-26,56.56,57.25,56.17,56.29,2726000
2021-08-27,56.76,58.48,56.76,57.71,3200300
2021-08-30,58.38,58.47,56.74,56.77,2653300
2021-08-31,56.6,57.67,56.09,57.02,6113200
