Date,Open,High,Low,Close,Volume
2021-07-12,230.21,231.05,225.4,225.74,349200
2021-07-13,225.59,226.33,224.0,225.08,434900
2021-07-14,225.51,227.43,225.4,227.19,528000
2021-07-15,227.74,227.9,225.08,225.78,315000
2021-07-16,226.43,228.51,225.64,226.31,354500
2021-07-19,226.44,227.13,224.2,225.13,425400
2021-07-20,225.27,227.11,224.44,226.0,360300
2021-07-21,225.78,226.76,223.71,226.69,357200
2021-07-22,227.06,230.2,226.69,230.04,550000
2021-07-23,221.37,222.35,213.28,219.21,1355700
2021-07-26,217.8,221.01,216.2,219.63,538400
2021-07-27,219.94,220.4,214.62,215.89,552000
2021-07-28,215.66,216.87,212.36,213.01,539500
2021-07-29,212.54,215.97,212.39,212.81,373100
2021-07-30,211.47,213.34,211.34,213.14,342100
2021-08-02,214.09,214.72,211.47,213.21,311900
2021-08-03,213.2,213.84,211.49,212.55,272500
2021-08-04,212.06,212.61,208.46,210.68,305400
2021-08-05,210.59,212.56,210.11,211.66,468200
2021-08-06,210.92,211.78,208.43,210.71,460600
2021-08-09,211.17,211.73,209.89,211.19,331300
2021-08-10,211.27,211.54,208.27,208.79,290500
2021-08-11,208.95,209.67,207.41,208.58,259800
2021-08-12,208.83,209.18,206.79,207.16,288500
2021-08-13,206.69,207.27,205.59,206.31,583900
2021-08-16,205.9,207.52,204.55,207.45,491200
2021-08-17,207.48,209.02,205.61,208.39,344100
2021-08-18,207.56,208.0,205.47,205.59,519600
2021-08-19,205.5,209.31,205.07,208.67,520500
2021-08-20,209.28,210.93,208.04,209.86,528400
2021-08-23,210.33,212.16,208.81,211.48,438400
2021-08-24,211.92,212.5,209.83,210.17,318400
2021-08-25,210.66,210.78,208.14,208.79,351300
2021-08-26,208.02,210.03,207.78,209.55,360700
2021-08-27,209.29,211.89,208.86,211.45,342500
2021-08-30,211.92,213.77,211.67,212.92,287200
2021-08-31,213.43,213.83,211.78,213.03,524300
2021-09-01,213.56,216.55,213.34,215.24,467400
2021-09-02,215.65,217.47,214.24,217.2,395900
2021-09-03,216.67,218.77,216.24,216.94,347000
2021-09-07,217.11,217.64,215.03,216.96,280300
2021-09-08,217.7,219.94,216.45,219.39,384800
2021-09-09,220.09,221.51,218.19,218.58,390900
2021-09-10,219.34,220.15,217.06,217.86,424900
2021-09-13,219.35,220.39,216.76,217.78,413700
2021-09-14,217.78,219.5,216.3,218.63,462900
2021-09-15,218.87,221.6,218.13,220.92,396000
2021-09-16,220.96,221.87,219.91,221.37,376500
2021-09-17,221.02,221.16,214.25,215.5,1188100
2021-09-20,214.4,215.93,208.75,210.88,530400
2021-09-21,211.39,212.92,209.81,210.53,404500
2021-09-22,210.13,213.52,209.3,211.66,357000
2021-09-23,211.46,214.45,211.25,213.24,341000
2021-09-24,212.32,214.57,212.32,214.52,363100
2021-09-27,213.08,213.16,210.51,210.7,440100
2021-09-28,208.33,208.9,202.06,202.59,582000
2021-09-29,203.17,203.99,201.88,202.66,345500
2021-09-30,203.88,204.36,201.38,201.95,435700
2021-10-01,203.09,205.28,201.18,203.59,344700
2021-10-04,202.32,202.68,201.25,202.28,632100
2021-10-05,202.67,205.24,201.88,203.54,328500
2021-10-06,201.97,205.47,201.89,205.08,600300
2021-10-07,206.54,209.63,206.11,206.5,374900
2021-10-08,206.84,207.81,202.68,202.86,389200
2021-10-11,201.87,203.54,201.38,201.77,378600
2021-10-12,201.92,202.52,201.02,201.61,373300
2021-10-13,202.14,207.43,202.14,206.83,403000
2021-10-14,208.97,211.49,207.79,210.04,367600
2021-10-15,210.15,211.31,209.38,211.27,340400
2021-10-18,210.63,213.15,210.28,211.21,367900
2021-10-19,211.8,212.45,210.06,212.37,328100
2021-10-20,212.24,213.63,210.91,211.04,472700
2021-10-21,210.73,213.72,209.48,212.85,414000
2021-10-22,213.02,215.77,212.75,215.48,343300
2021-10-25,215.7,217.5,215.43,216.24,457200
2021-10-26,217.66,217.7,212.12,212.49,537400
2021-10-27,211.98,213.28,208.57,208.66,477500
2021-10-28,208.82,209.51,205.2,207.56,738900
2021-10-29,212.66,221.41,211.2,219.34,866500
2021-11-01,218.9,219.75,216.13,219.74,519900
2021-11-02,220.36,222.93,219.2,222.34,467000
2021-11-03,221.97,223.08,220.31,222.71,527400
2021-11-04,223.62,228.65,223.5,227.09,467500
2021-11-05,228.06,230.28,228.06,229.18,560300
2021-11-08,230.1,230.1,228.39,229.24,524200
2021-11-09,228.72,232.09,228.38,230.09,633400
2021-11-10,228.74,230.37,227.1,228.23,487500
2021-11-11,228.81,230.08,227.88,229.66,378800
2021-11-12,231.5,234.51,230.54,232.52,428300
2021-11-15,233.02,235.82,232.47,235.64,459500
2021-11-16,235.64,238.23,235.17,236.11,560400
2021-11-17,236.45,238.63,235.62,235.92,510800
2021-11-18,235.67,238.78,234.55,237.42,617000
2021-11-19,238.28,242.42,237.25,242.03,684700
2021-11-22,241.25,244.51,236.65,237.89,903800
2021-11-23,236.54,238.94,235.49,238.29,725800
2021-11-24,237.69,241.89,236.25,241.72,511300
2021-11-26,241.27,244.4,236.18,237.42,509700
2021-11-29,238.5,242.49,237.03,240.81,612300
2021-11-30,241.47,242.48,235.23,236.32,2866800
2021-12-01,236.66,238.8,233.22,234.59,750600
2021-12-02,234.92,238.38,233.34,237.13,828700
2021-12-03,237.8,238.12,232.97,235.04,797300
2021-12-06,235.76,237.79,234.5,236.45,926700
2021-12-07,239.21,241.59,238.55,240.63,675900
2021-12-08,241.49,242.49,237.16,239.3,599200
2021-12-09,238.83,239.78,236.75,236.97,412700
2021-12-10,239.05,241.22,236.97,241.04,516300
2021-12-13,237.34,239.79,228.29,239.29,941200
2021-12-14,238.04,238.57,229.83,234.51,745700
2021-12-15,235.27,238.4,233.86,238.11,554500
2021-12-16,239.09,239.27,233.71,236.33,797300
2021-12-17,235.55,241.41,234.54,238.49,2325900
2021-12-20,236.21,240.79,235.0,237.6,740600
2021-12-21,238.13,240.72,236.23,240.65,560500
2021-12-22,240.7,243.31,240.38,243.04,448400
2021-12-23,243.72,247.04,242.65,245.91,320500
2021-12-27,246.64,248.46,246.0,248.23,291500
