Date,Open,High,Low,Close,Volume
2021-07-12,77.41,78.26,77.2,78.0,676600
2021-07-13,78.08,78.41,77.2,77.6,744300
2021-07-14,77.6,79.1,77.26,78.66,862300
2021-07-15,78.49,80.1,78.49,80.01,1189200
2021-07-16,80.11,81.07,79.78,80.59,1216500
2021-07-19,80.54,81.68,78.61,79.57,1780300
2021-07-20,79.38,80.79,78.84,79.23,1165200
2021-07-21,79.21,79.26,77.74,77.77,898900
2021-07-22,77.78,78.38,77.63,78.09,801200
2021-07-23,78.31,79.48,78.12,79.4,565400
2021-07-26,79.23,79.82,78.68,79.51,1109500
2021-07-27,79.67,81.62,79.24,81.49,1294300
2021-07-28,81.28,81.28,79.21,79.75,1425200
2021-07-29,79.94,80.12,79.25,79.87,832300
2021-07-30,79.94,80.52,79.33,79.5,1177100
2021-08-02,79.45,80.47,79.3,79.97,1385800
2021-08-03,79.8,81.98,79.66,80.74,1236200
2021-08-04,80.48,80.99,79.4,80.92,1243500
2021-08-05,81.01,81.52,80.35,81.47,743600
2021-08-06,81.42,81.83,80.85,81.33,781900
2021-08-09,81.21,81.57,80.7,81.35,835700
2021-08-10,81.46,81.46,80.73,81.15,566400
2021-08-11,81.34,81.96,81.22,81.41,597000
2021-08-12,81.56,81.97,81.28,81.3,455900
2021-08-13,81.28,82.02,81.24,81.82,502400
2021-08-16,81.98,82.82,81.64,82.65,1059100
2021-08-17,82.6,83.13,82.02,82.8,1194400
2021-08-18,82.79,82.79,81.49,82.03,1192500
2021-08-19,82.3,83.12,82.11,82.47,888400
2021-08-20,82.34,83.38,81.9,82.99,922700
2021-08-23,82.96,82.96,81.36,81.46,1133600
2021-08-24,81.29,81.34,79.98,80.32,778500
2021-08-25,80.15,80.75,79.78,80.5,1004900
2021-08-26,80.45,80.66,79.94,80.26,785100
2021-08-27,80.37,80.48,79.9,80.29,691900
2021-08-30,80.19,81.02,80.09,80.81,568700
2021-08-31,80.58,81.13,79.95,80.35,1032800
2021-09-01,80.64,81.85,80.19,81.56,1026600
2021-09-02,81.69,82.33,81.64,82.32,978400
2021-09-03,82.33,82.45,81.52,81.71,708900
2021-09-07,81.59,81.78,79.95,79.99,966500
2021-09-08,80.06,82.13,79.86,82.0,795400
2021-09-09,81.95,82.08,81.27,81.63,904700
2021-09-10,81.55,81.55,80.4,80.7,915200
2021-09-13,81.34,81.34,79.59,79.67,790700
2021-09-14,79.72,80.27,79.32,79.45,846700
2021-09-15,79.31,79.65,77.93,78.26,1214500
2021-09-16,78.32,78.83,77.53,77.88,1281300
2021-09-17,77.41,78.04,77.11,77.18,2301200
2021-09-20,77.19,78.16,76.62,77.38,1057000
2021-09-21,77.56,78.3,77.3,77.71,1232200
2021-09-22,77.87,78.08,77.04,77.59,893900
2021-09-23,77.76,78.13,76.56,76.78,1226800
2021-09-24,76.83,77.61,76.49,76.54,1005600
2021-09-27,76.54,77.25,75.03,75.12,830600
2021-09-28,75.14,75.24,73.95,74.64,1217000
2021-09-29,74.57,76.18,74.42,75.7,944300
2021-09-30,75.73,75.84,74.74,75.01,1203900
2021-10-01,75.48,75.6,74.39,74.51,1110500
2021-10-04,74.32,76.29,74.3,76.0,1340900
2021-10-05,75.86,76.01,75.2,75.6,940500
2021-10-06,75.61,77.08,75.1,77.03,798600
2021-10-07,77.11,77.77,76.13,76.3,679600
2021-10-08,76.21,76.32,75.39,75.53,674000
2021-10-11,75.3,75.51,74.13,74.27,879400
2021-10-12,74.27,74.79,74.14,74.69,918100
2021-10-13,74.69,75.7,74.06,75.67,1049100
2021-10-14,76.0,76.89,75.94,76.45,1027700
2021-10-15,76.75,77.02,76.11,76.6,1273400
2021-10-18,75.9,76.28,75.24,75.55,872300
2021-10-19,76.46,76.56,75.82,76.42,961800
2021-10-20,76.54,78.02,76.54,77.44,782200
2021-10-21,77.78,77.87,77.32,77.57,621800
2021-10-22,77.82,78.22,77.57,77.95,500700
2021-10-25,77.71,77.73,76.73,76.86,681500
2021-10-26,77.01,77.93,76.68,77.18,776200
2021-10-27,77.64,77.68,76.39,76.51,679900
2021-10-28,76.42,77.01,76.15,76.97,806600
2021-10-29,76.97,77.64,76.21,76.59,1157300
2021-11-01,76.51,76.95,75.94,76.83,970600
2021-11-02,77.13,77.8,76.51,77.3,1489800
2021-11-03,77.3,78.19,75.47,76.43,1030500
2021-11-04,76.5,76.74,75.45,76.3,1365700
2021-11-05,76.37,77.52,76.32,77.28,827300
2021-11-08,77.28,77.28,75.43,75.65,1741000
2021-11-09,76.01,76.89,75.7,76.36,998700
2021-11-10,76.68,77.7,76.47,77.67,797000
2021-11-11,77.37,77.64,76.21,76.3,1038400
2021-11-12,76.43,76.64,75.84,76.05,1405300
2021-11-15,76.5,77.6,76.12,77.59,1017600
2021-11-16,77.59,77.87,77.07,77.26,998200
2021-11-17,76.98,77.94,76.62,77.81,770500
2021-11-18,77.68,77.77,76.79,77.23,710100
2021-11-19,77.55,77.81,77.18,77.57,1168300
2021-11-22,77.44,78.76,77.18,78.42,826900
2021-11-23,78.57,78.74,77.88,77.98,956900
2021-11-24,78.01,78.12,77.33,77.71,791300
2021-11-26,77.47,78.16,76.29,76.41,733900
2021-11-29,76.74,77.84,76.19,77.54,1062700
2021-11-30,76.79,77.31,74.41,74.49,3677100
2021-12-01,74.84,76.85,74.46,75.13,1831800
2021-12-02,75.37,76.71,75.35,76.15,1448200
2021-12-03,76.22,78.3,75.84,78.12,1499700
2021-12-06,78.84,80.03,78.48,79.06,1385700
2021-12-07,78.84,79.6,78.44,79.13,1122700
2021-12-08,79.12,79.86,78.59,79.31,1006900
2021-12-09,79.54,80.06,78.45,79.52,903400
2021-12-10,79.89,80.42,79.37,80.1,1446500
2021-12-13,80.18,81.94,80.18,81.5,1637200
2021-12-14,81.49,81.73,80.99,81.2,2062400
2021-12-15,81.39,83.19,81.39,83.1,2473600
2021-12-16,82.81,84.66,82.67,84.29,1812600
2021-12-17,83.84,84.58,82.47,82.51,2879100
2021-12-20,82.1,82.71,81.3,82.49,1179200
2021-12-21,82.83,83.14,80.79,81.17,1413200
2021-12-22,80.92,81.74,80.61,81.21,657200
2021-12-23,81.32,81.63,80.91,81.11,733400
2021-12-27,81.22,81.72,80.88,81.65,673600
2021-12-28,81.91,82.72,81.47,82.69,651700
2021-12-29,82.82,83.2,82.56,83.05,556700
2021-12-30,83.28,83.3,82.61,83.22,503500
2021-12-31,83.27,83.55,82.52,83.18,624500
2022-01-03,83.21,83.21,81.37,82.34,1215400
2022-01-04,82.17,83.11,81.89,82.13,1135200
2022-01-05,81.97,83.77,81.97,83.09,1094400
2022-01-06,83.54,83.94,82.47,82.56,961400
2022-01-07,82.49,83.71,81.86,83.3,1205500
2022-01-10,83.32,83.76,82.66,83.03,1193500
2022-01-11,83.22,83.38,81.23,81.68,1100600
2022-01-12,81.17,82.18,80.69,82.01,1228900
2022-01-13,82.49,83.38,82.1,83.36,1107300
2022-01-14,83.1,83.5,82.07,82.48,1185400
2022-01-18,82.0,82.24,80.57,82.07,1342100
2022-01-19,82.27,83.31,81.59,82.29,1877700
2022-01-20,82.41,83.33,82.1,82.84,1409300
2022-01-21,83.69,84.59,82.77,83.11,1795300
2022-01-24,81.96,83.26,79.6,81.52,1786600
2022-01-25,80.92,81.67,80.23,81.19,1267200
2022-01-26,80.98,81.89,80.01,80.64,1469100
2022-01-27,81.05,82.57,80.87,81.5,1309600
2022-01-28,81.26,82.84,80.91,82.75,1107300
2022-01-31,81.95,83.31,81.87,83.15,1221400
2022-02-01,83.07,83.35,80.81,81.54,1815200
2022-02-02,81.39,82.7,81.32,82.37,1820700
2022-02-03,82.88,84.06,81.75,82.0,1925600
2022-02-04,81.44,82.27,80.5,81.1,1596400
2022-02-07,81.05,81.54,80.37,81.17,1519100
2022-02-08,81.65,81.75,80.79,80.95,1205400
2022-02-09,81.42,81.71,80.47,80.82,1432600
2022-02-10,80.05,80.49,78.48,78.84,1542800
2022-02-11,79.25,79.62,78.33,78.78,2294600
2022-02-14,78.77,79.14,76.72,77.42,1942600
2022-02-15,77.75,78.06,76.6,76.79,2101700
2022-02-16,77.05,77.45,76.33,76.98,2468900
2022-02-17,77.06,77.57,76.29,77.21,1430000
2022-02-18,76.9,78.32,76.9,77.74,1632600
2022-02-22,78.07,78.19,77.12,77.56,1534400
2022-02-23,77.56,77.88,76.14,76.3,1635300
2022-02-24,76.03,76.69,75.27,76.6,2795100
2022-02-25,77.13,78.82,77.09,78.47,2189200
2022-02-28,77.96,78.58,77.68,78.5,1720000
2022-03-01,78.6,79.14,76.6,77.14,2013000
2022-03-02,77.02,78.54,76.94,78.25,1658900
2022-03-03,78.54,80.26,78.53,79.85,1372800
2022-03-04,79.51,81.77,79.29,81.72,1960200
2022-03-07,81.75,82.66,80.85,82.44,1962500
2022-03-08,82.65,82.94,81.06,81.19,1881500
2022-03-09,81.81,81.91,79.88,79.98,1613400
2022-03-10,79.59,80.98,79.48,80.81,2039300
2022-03-11,80.79,81.95,80.79,81.07,1270300
2022-03-14,81.53,82.06,80.73,81.0,1582300
2022-03-15,81.97,82.04,80.91,81.7,1800900
2022-03-16,81.7,81.84,80.49,81.71,2090400
2022-03-17,81.83,83.18,81.68,82.74,2357000
2022-03-18,82.53,83.04,81.57,81.78,2803800
2022-03-21,81.93,83.25,81.93,82.66,1172900
2022-03-22,82.91,82.96,81.76,82.37,1612600
2022-03-23,82.38,82.97,81.77,82.47,1484500
2022-03-24,82.75,83.83,82.46,83.45,1301300
2022-03-25,83.7,84.74,83.56,84.71,1078900
2022-03-28,84.74,85.13,84.21,85.12,803400
2022-03-29,85.49,85.68,84.56,85.67,1360300
2022-03-30,85.94,86.63,85.67,86.62,1052500
2022-03-31,86.56,87.4,86.18,86.21,1566500
2022-04-01,86.16,87.39,85.76,87.35,1395300
2022-04-04,86.81,87.03,85.66,86.8,1102200
2022-04-05,86.85,88.7,86.85,87.87,1583300
2022-04-06,88.32,90.23,88.12,89.8,1353800
2022-04-07,89.83,90.17,88.9,89.66,1552000
2022-04-08,90.04,90.84,89.65,90.25,1382900
2022-04-11,90.48,91.06,89.42,89.54,1216500
2022-04-12,89.24,90.37,88.73,90.18,1262400
2022-04-13,90.24,90.47,89.02,89.14,1132900
2022-04-14,89.51,89.92,89.09,89.13,960600
2022-04-18,89.34,89.84,88.27,88.83,889300
2022-04-19,89.32,90.54,89.09,90.28,1447200
2022-04-20,91.1,91.52,90.49,91.04,1085500
2022-04-21,90.87,92.26,90.51,91.35,1140700
2022-04-22,91.37,91.37,89.65,89.81,1515600
