Date,Open,High,Low,Close,Volume
2021-09-07,76.84,76.91,74.76,75.49,2076100
2021-09-08,75.2,76.75,74.95,76.29,1443400
2021-09-09,75.86,77.79,75.64,76.39,2941700
2021-09-10,76.64,77.75,75.76,76.9,2231800
2021-09-13,77.74,78.77,77.37,78.26,2403800
2021-09-14,78.74,78.8,76.74,77.66,1632700
2021-09-15,77.69,77.69,76.92,77.07,1714500
2021-09-16,77.07,78.19,76.67,77.9,1533400
2021-09-17,77.27,77.47,75.93,76.14,3531800
2021-09-20,75.44,77.06,74.97,76.07,1960700
2021-09-21,76.58,77.76,76.2,76.24,1417600
2021-09-22,76.86,76.98,75.66,75.8,1657000
2021-09-23,76.07,77.05,75.88,76.06,1638400
2021-09-24,75.62,76.0,73.29,73.9,1918800
2021-09-27,74.1,75.53,73.43,73.45,1733700
2021-09-28,72.95,74.07,72.39,73.72,2203900
2021-09-29,73.91,74.72,73.85,74.33,1702700
2021-09-30,74.86,74.86,72.9,73.1,2809100
2021-10-01,73.72,74.77,73.13,74.39,1213000
2021-10-04,74.02,74.92,73.8,74.28,1269800
2021-10-05,74.37,74.37,72.49,72.51,1569700
2021-10-06,71.95,74.0,70.98,73.81,2083200
2021-10-07,74.34,74.84,73.37,73.57,1027400
2021-10-08,73.52,73.93,73.19,73.36,766300
2021-10-11,72.94,73.95,72.49,73.49,761000
2021-10-12,73.45,74.67,73.17,73.89,1343100
2021-10-13,73.55,74.02,73.0,73.89,1109800
2021-10-14,74.48,75.02,74.23,74.47,1729300
2021-10-15,75.14,75.27,74.27,74.62,1472400
2021-10-18,74.11,74.62,73.57,73.95,1765600
2021-10-19,74.33,74.76,73.96,74.58,1170400
2021-10-20,74.58,75.57,74.44,75.03,1454700
2021-10-21,75.23,75.46,73.6,73.76,1553600
2021-10-22,73.84,74.47,71.71,71.89,2352700
2021-10-25,72.07,72.82,70.74,71.84,2843100
2021-10-26,71.82,72.13,71.32,71.35,2415300
2021-10-27,71.67,73.36,71.33,73.01,2057700
2021-10-28,73.01,73.48,72.52,73.39,1165700
2021-10-29,72.94,73.13,70.54,71.32,3692500
2021-11-01,71.3,73.27,70.9,73.14,1626600
2021-11-02,73.58,73.62,72.18,72.65,1866400
2021-11-03,72.73,73.91,72.52,73.47,1631000
2021-11-04,73.6,73.77,70.71,71.39,3057000
2021-11-05,73.58,76.32,72.03,75.05,2718100
2021-11-08,74.93,76.18,74.5,75.19,2375100
2021-11-09,75.48,76.51,74.66,75.75,2060000
2021-11-10,75.88,77.75,75.88,77.19,3049500
2021-11-11,76.98,77.25,75.44,75.61,1868000
2021-11-12,75.54,76.21,75.16,75.89,1212100
2021-11-15,76.41,76.41,74.42,75.26,1436300
2021-11-16,75.31,75.5,74.09,75.05,1994700
2021-11-17,74.73,77.3,74.1,77.04,2343900
2021-11-18,77.06,77.42,76.13,76.97,1483200
2021-11-19,76.92,77.55,74.92,75.22,2115100
2021-11-22,74.73,75.95,74.38,75.06,1618100
2021-11-23,75.7,77.27,75.39,76.64,1567100
