Date,Open,High,Low,Close,Volume
2021-09-27,29.12,29.32,28.98,29.0,886950
2021-09-28,28.93,29.06,28.59,28.64,1471725
2021-09-29,28.63,29.12,28.53,28.99,1244475
2021-09-30,29.2,29.32,28.87,28.88,2137275
2021-10-01,29.0,29.6,28.57,29.37,1384875
2021-10-04,29.36,29.77,29.1,29.19,1541025
2021-10-05,29.28,29.87,29.11,29.7,998100
2021-10-06,29.48,30.27,29.36,30.24,1579500
2021-10-07,30.37,30.95,30.37,30.57,1561050
2021-10-08,30.53,30.78,30.39,30.44,1315575
2021-10-11,30.55,30.78,30.2,30.21,920025
2021-10-12,30.21,30.53,30.14,30.17,1026225
2021-10-13,30.06,30.1,29.56,30.03,1249650
2021-10-14,30.21,30.6,30.13,30.58,1050750
2021-10-15,30.84,30.91,30.67,30.69,978525
2021-10-18,30.58,30.6,30.09,30.15,1222650
2021-10-19,30.57,30.68,30.44,30.57,1157850
2021-10-20,30.43,31.01,30.43,30.97,1030500
2021-10-21,30.92,31.28,30.81,31.13,1171350
2021-10-22,31.79,32.65,31.53,32.46,3039750
2021-10-25,32.59,32.66,32.19,32.33,2263725
2021-10-26,32.39,32.47,32.2,32.3,885825
2021-10-27,32.35,32.45,31.66,31.67,1526850
2021-10-28,31.83,32.09,31.68,31.94,835200
2021-10-29,31.96,31.98,31.3,31.41,1351125
2021-11-01,31.48,31.6,31.27,31.59,1046700
2021-11-02,31.7,32.27,31.6,32.21,1161225
2021-11-03,32.21,32.51,32.04,32.2,1243350
2021-11-04,32.08,32.09,31.21,31.33,1347750
2021-11-05,31.56,31.95,31.43,31.8,1140750
2021-11-08,32.08,32.23,31.86,32.13,1134675
2021-11-09,32.0,32.18,31.75,32.09,1010925
2021-11-10,32.13,32.33,32.02,32.1,1126125
2021-11-11,32.06,32.22,31.86,32.08,780525
2021-11-12,32.06,32.22,31.76,32.05,1303650
2021-11-15,32.14,32.24,31.8,31.9,1453275
2021-11-16,32.03,32.38,31.79,32.01,1757700
2021-11-17,31.9,32.3,31.43,32.22,1764225
2021-11-18,32.33,32.5,32.02,32.31,1138050
2021-11-19,32.22,32.22,31.66,31.68,994500
2021-11-22,31.82,32.89,31.64,32.56,1558575
2021-11-23,32.93,33.51,32.93,33.34,2063250
2021-11-24,33.3,33.36,32.62,32.95,1599300
2021-11-26,32.0,32.21,31.36,31.75,1391850
2021-11-29,32.1,32.1,31.34,31.36,1138950
2021-11-30,31.03,31.2,30.14,30.24,3746025
2021-12-01,30.75,31.07,29.86,29.88,1449675
2021-12-02,30.14,31.31,29.97,31.11,1832850
2021-12-03,31.11,31.19,30.48,30.67,1319400
2021-12-06,31.19,31.83,31.14,31.52,1228275
2021-12-07,31.65,32.09,31.64,31.94,1423125
2021-12-08,31.89,32.22,31.78,31.99,893250
2021-12-09,32.12,32.15,31.52,31.95,1415475
2021-12-10,32.22,32.43,32.03,32.41,1026900
2021-12-13,32.37,32.5,31.96,32.28,1131075
2021-12-14,32.37,32.98,32.13,32.63,1831500
2021-12-15,32.74,32.85,32.43,32.7,1251225
2021-12-16,33.15,33.29,32.81,32.88,1718775
2021-12-17,32.8,32.81,32.17,32.19,3167100
2021-12-20,31.87,31.95,31.17,31.53,1497600
2021-12-21,31.83,32.22,31.59,31.85,1671750
2021-12-22,31.73,32.02,31.67,31.89,1253700
2021-12-23,32.08,32.34,31.95,32.1,937800
2021-12-27,32.11,32.63,32.02,32.58,731925
2021-12-28,32.51,33.06,32.51,32.82,909450
2021-12-29,32.87,33.23,32.87,33.04,886725
2021-12-30,33.16,33.26,32.62,32.65,852075
2021-12-31,32.64,33.18,32.64,32.99,1329300
2022-01-03,33.12,33.18,32.28,32.54,1019475
2022-01-04,32.81,33.24,32.71,33.02,1543275
2022-01-05,33.26,33.27,32.65,32.65,1271925
2022-01-06,33.34,33.36,32.97,33.21,1236825
2022-01-07,33.21,33.96,33.21,33.87,1299375
2022-01-10,34.04,34.13,33.58,33.79,1393200
2022-01-11,33.92,34.08,33.41,34.06,1285650
2022-01-12,34.04,34.3,33.84,34.24,1217700
2022-01-13,34.4,34.87,34.28,34.53,1573875
2022-01-14,34.13,34.35,33.89,34.27,1242675
2022-01-18,34.14,34.23,33.7,33.93,1233450
2022-01-19,34.02,34.08,33.03,33.05,1001925
2022-01-20,33.12,34.22,33.12,33.36,1709775
2022-01-21,33.37,33.74,32.99,33.05,1707525
2022-01-24,32.78,33.49,32.04,33.38,2149425
2022-01-25,32.88,33.39,32.3,33.02,2294550
2022-01-26,33.04,33.51,32.51,32.98,1955700
2022-01-27,33.22,33.88,32.53,32.57,1988775
2022-01-28,33.24,34.41,33.04,33.9,5241150
2022-01-31,33.54,34.01,33.47,33.84,5492250
2022-02-01,33.69,34.56,33.69,34.35,3048075
2022-02-02,34.38,35.26,34.33,35.14,3491550
2022-02-03,35.49,35.79,35.25,35.61,2702925
2022-02-04,35.55,36.21,35.48,35.94,2629800
2022-02-07,36.05,36.64,35.96,36.36,2326275
2022-02-08,36.57,37.25,36.4,37.16,2683125
2022-02-09,37.31,37.56,36.92,37.09,2179350
2022-02-10,36.88,37.28,36.48,36.82,2381850
2022-02-11,36.63,36.81,35.92,36.03,2430225
2022-02-14,36.05,36.16,35.41,35.83,2406600
2022-02-15,36.2,36.53,35.89,36.08,1431675
2022-02-16,35.91,36.5,35.91,36.42,1792575
2022-02-17,36.23,36.23,35.56,35.94,1071225
2022-02-18,35.83,36.3,35.76,36.23,1493325
2022-02-22,36.23,36.66,35.84,36.21,1748250
2022-02-23,36.56,36.57,35.75,35.78,1673325
2022-02-24,34.93,35.18,34.21,35.1,2054475
2022-02-25,35.33,36.56,35.33,36.52,1246950
2022-02-28,35.5,36.32,35.46,36.16,1714950
2022-03-01,35.95,36.1,35.04,35.31,1370025
2022-03-02,35.6,36.48,35.6,36.25,1291725
2022-03-03,36.35,36.68,35.96,36.19,1467900
2022-03-04,35.55,36.08,35.25,36.07,1436625
2022-03-07,35.68,35.97,35.36,35.6,1482975
2022-03-08,35.88,36.84,35.5,35.78,2054925
