Date,Open,High,Low,Close,Volume
2021-07-12,211.49,212.72,209.34,210.57,720300
2021-07-13,211.09,211.77,208.9,209.47,956100
2021-07-14,209.47,209.47,206.88,208.58,764600
2021-07-15,208.2,210.42,207.13,207.52,881000
2021-07-16,207.87,209.92,206.85,207.94,607800
2021-07-19,205.91,205.91,199.52,202.08,850100
2021-07-20,202.95,207.07,202.95,205.45,546600
2021-07-21,206.14,216.14,205.67,210.05,2505100
2021-07-22,210.36,212.51,209.69,211.66,708500
2021-07-23,212.74,213.2,211.37,211.73,317400
2021-07-26,201.06,201.8,190.77,192.71,7229000
2021-07-27,192.3,196.57,189.83,192.64,5299800
2021-07-28,195.47,196.01,186.82,188.53,5071400
2021-07-29,191.26,192.73,187.93,190.36,4271400
2021-07-30,191.73,193.19,188.88,192.72,2461900
2021-08-02,194.42,194.89,189.86,190.73,1616500
2021-08-03,193.81,200.61,192.0,199.13,2529100
2021-08-04,199.19,200.12,193.71,197.49,2275000
2021-08-05,197.2,203.41,197.2,203.4,2822300
2021-08-06,203.42,204.95,200.22,201.97,2022700
2021-08-09,202.49,204.46,200.45,203.71,2366800
2021-08-10,204.56,205.55,202.09,203.94,1313500
2021-08-11,204.69,208.37,203.89,207.65,1835100
2021-08-12,208.57,208.57,205.84,206.93,1438200
2021-08-13,208.35,209.0,204.96,205.02,1535100
2021-08-16,204.52,205.29,202.61,204.59,2048400
2021-08-17,204.11,204.49,200.96,202.01,1995400
2021-08-18,201.13,203.76,200.05,200.23,2171700
2021-08-19,198.59,201.76,198.47,200.42,2291600
2021-08-20,199.58,205.43,198.79,204.56,1925700
2021-08-23,205.34,207.18,203.13,203.7,2217300
2021-08-24,204.64,204.66,200.5,202.33,2447000
2021-08-25,202.28,204.35,200.01,202.34,1942300
2021-08-26,201.76,203.62,199.81,200.82,1314100
2021-08-27,200.83,205.98,200.13,205.08,1502000
2021-08-30,205.32,205.63,201.29,201.73,851900
2021-08-31,201.62,207.67,201.32,206.41,2028100
2021-09-01,207.26,209.68,205.7,209.19,1761100
2021-09-02,209.71,215.51,209.41,215.14,2958600
2021-09-03,215.13,216.02,212.16,213.7,1982500
2021-09-07,214.48,214.48,210.47,212.37,1170800
2021-09-08,211.23,212.76,208.14,211.3,1523200
2021-09-09,216.02,222.71,216.02,220.69,3891500
2021-09-10,221.64,223.67,218.87,221.21,2005900
2021-09-13,222.27,222.82,219.47,221.09,2435700
2021-09-14,222.1,222.15,218.82,219.08,2455500
2021-09-15,219.44,223.27,217.46,221.4,2013000
2021-09-16,220.8,221.47,218.83,218.87,2005300
2021-09-17,217.33,218.82,214.27,215.35,3367100
2021-09-20,211.18,213.45,209.01,212.1,2150500
2021-09-21,213.77,215.18,211.29,214.06,3108200
2021-09-22,215.58,218.71,213.41,215.96,2038700
2021-09-23,217.9,219.86,217.03,218.31,3001500
2021-09-24,217.28,219.77,216.64,218.67,2243600
2021-09-27,219.25,219.25,214.06,216.56,2261300
2021-09-28,215.06,216.69,212.14,213.22,2975500
2021-09-29,210.44,216.13,210.44,214.89,1369100
2021-09-30,215.83,221.46,213.34,218.15,3080900
2021-10-01,218.51,228.44,218.07,226.1,2518400
2021-10-04,226.27,227.18,221.51,222.8,2764800
2021-10-05,223.02,229.32,222.94,228.12,1360500
2021-10-06,226.09,229.28,222.68,226.47,1082300
2021-10-07,228.25,229.56,225.85,226.63,1729900
2021-10-08,227.97,228.35,225.54,227.94,1408200
2021-10-11,228.2,229.42,225.69,227.72,885900
2021-10-12,228.1,229.17,226.46,227.01,671300
2021-10-13,227.26,229.55,225.08,228.93,970600
2021-10-14,230.04,233.28,229.89,232.87,1103300
2021-10-15,234.19,234.33,230.58,231.71,789300
2021-10-18,230.51,231.23,228.99,229.82,800100
2021-10-19,230.86,233.24,230.86,232.83,878100
2021-10-20,230.67,232.14,228.46,229.11,1520800
2021-10-21,228.48,232.73,226.36,231.67,1014500
2021-10-22,232.47,233.81,230.83,232.51,743300
2021-10-25,233.16,233.88,229.43,229.74,1016300
2021-10-26,229.84,230.52,228.17,228.99,1002600
2021-10-27,228.29,229.91,224.79,225.47,1222400
2021-10-28,225.47,234.09,225.42,233.22,2956900
2021-10-29,231.79,233.49,224.93,227.37,2288400
2021-11-01,227.32,229.71,219.13,222.99,1765400
2021-11-02,223.85,224.87,220.76,222.45,808200
2021-11-03,222.63,222.63,219.07,220.39,1223400
2021-11-04,219.59,221.08,215.95,216.84,722500
2021-11-05,216.99,219.56,214.72,217.07,906600
2021-11-08,217.31,219.46,216.65,218.38,1798400
2021-11-09,217.2,219.29,215.66,219.01,2030700
2021-11-10,219.75,222.27,216.47,217.11,1178400
2021-11-11,217.27,217.73,214.35,216.12,550500
2021-11-12,217.27,217.64,215.27,216.7,597900
2021-11-15,216.7,217.61,214.26,215.24,1019500
2021-11-16,215.79,218.28,215.0,216.52,867400
2021-11-17,215.69,217.34,215.01,215.56,803400
2021-11-18,216.92,218.23,213.1,214.38,867800
2021-11-19,213.77,218.88,211.51,218.47,1380200
2021-11-22,216.59,222.11,216.36,219.07,1000300
2021-11-23,220.19,222.27,217.5,220.63,1224300
2021-11-24,220.5,222.21,218.46,221.59,667700
2021-11-26,214.08,218.24,213.82,214.89,874700
2021-11-29,216.09,217.57,213.01,216.21,1539100
2021-11-30,213.27,216.6,211.23,211.94,1270900
2021-12-01,213.97,216.88,212.34,213.03,2390700
2021-12-02,213.19,218.32,212.58,217.69,1264100
2021-12-03,219.04,219.53,214.5,216.63,1581400
2021-12-06,217.72,220.7,216.85,218.19,1246100
2021-12-07,219.29,221.23,216.39,217.35,1805700
2021-12-08,218.39,220.94,217.14,220.53,1760400
2021-12-09,220.26,220.26,217.02,218.05,1023300
2021-12-10,220.43,220.43,216.59,219.38,879800
2021-12-13,219.59,220.31,217.3,217.66,884800
2021-12-14,216.88,218.54,215.22,217.88,2075600
2021-12-15,217.2,220.38,214.37,220.2,1412800
2021-12-16,220.2,222.29,217.56,218.81,1518900
2021-12-17,218.66,221.37,216.28,218.54,2789500
2021-12-20,217.19,218.41,214.9,217.67,2503300
2021-12-21,220.04,223.74,217.79,221.71,1624100
2021-12-22,221.51,224.01,219.33,222.42,1485800
2021-12-23,222.59,224.4,221.45,221.9,844200
2021-12-27,222.03,224.39,220.79,224.34,1088400
2021-12-28,224.45,225.7,223.85,224.02,910800
2021-12-29,223.65,225.04,221.15,223.75,580300
2021-12-30,224.38,225.59,223.11,223.27,677200
2021-12-31,223.75,225.18,223.08,223.62,447500
2022-01-03,223.42,224.05,220.52,221.81,848600
2022-01-04,219.03,225.58,219.03,224.73,952100
2022-01-05,225.45,225.65,222.44,223.17,1070500
2022-01-06,222.56,224.19,220.54,220.65,1128100
2022-01-07,219.44,221.75,217.75,218.04,1233500
2022-01-10,215.42,222.16,213.18,219.03,1124400
2022-01-11,219.19,220.97,215.52,220.3,1196200
2022-01-12,220.65,221.28,218.9,220.12,813500
2022-01-13,220.74,221.29,216.6,217.71,953300
2022-01-14,216.9,219.74,210.75,215.74,1676000
2022-01-18,215.05,215.9,208.85,213.89,1429300
2022-01-19,213.77,217.2,211.78,213.33,1358300
2022-01-20,216.64,217.89,213.33,214.91,999400
2022-01-21,215.68,218.1,211.6,212.46,1099300
2022-01-24,211.15,218.54,208.28,217.36,1826100
