Date,Open,High,Low,Close,Volume
2021-09-07,97.08,102.83,96.4,102.22,5060700
2021-09-08,102.54,103.68,98.85,100.96,3358700
2021-09-09,100.68,102.19,99.65,100.29,2400100
2021-09-10,101.41,101.76,97.55,97.98,2170300
2021-09-13,98.53,100.62,96.21,99.86,2699300
2021-09-14,92.05,92.15,86.12,89.02,25730100
2021-09-15,82.69,83.45,79.66,83.41,26088800
2021-09-16,80.97,82.43,79.91,81.41,13217800
2021-09-17,81.21,81.95,79.98,80.37,8730600
2021-09-20,77.54,81.14,77.1,79.23,13197800
2021-09-21,79.62,80.55,75.8,76.01,10372200
2021-09-22,76.43,79.1,76.33,77.96,6067400
2021-09-23,78.48,81.42,78.0,80.89,6526500
2021-09-24,80.22,82.99,79.31,79.98,8009100
2021-09-27,78.8,83.85,78.77,82.39,6511000
2021-09-28,81.91,83.71,81.07,81.36,4644800
2021-09-29,81.87,81.95,80.3,80.7,4111200
2021-09-30,81.06,82.46,79.92,81.78,4163000
2021-10-01,82.78,84.43,82.06,84.16,4605500
2021-10-04,83.95,85.34,80.37,80.63,4623800
2021-10-05,81.03,83.33,80.21,82.07,3642500
2021-10-06,81.06,81.93,79.8,81.3,3065200
2021-10-07,82.17,83.33,81.13,82.5,2737900
2021-10-08,82.91,83.92,82.03,83.05,2380000
2021-10-11,83.12,87.32,83.0,85.86,8301500
2021-10-12,86.55,89.32,85.93,88.24,4933200
2021-10-13,87.95,89.25,87.07,89.2,3645700
2021-10-14,89.89,90.56,87.45,88.43,3753100
2021-10-15,89.39,90.13,87.41,87.53,2600700
2021-10-18,87.65,89.04,86.7,87.62,2066100
2021-10-19,88.05,88.63,87.45,88.41,1879500
2021-10-20,88.68,89.21,86.9,87.75,2256100
2021-10-21,86.65,88.27,86.58,87.89,2083500
2021-10-22,87.61,87.74,85.64,85.98,2754800
2021-10-25,86.31,87.65,85.31,87.25,2668000
2021-10-26,88.67,91.07,88.25,88.93,2915000
2021-10-27,88.97,90.39,88.42,88.57,2520800
2021-10-28,88.78,88.81,86.9,87.6,2186300
2021-10-29,87.47,88.25,85.66,86.65,2958200
2021-11-01,86.85,90.63,85.93,90.41,3062400
2021-11-02,90.17,90.26,87.4,88.34,2423900
2021-11-03,87.9,90.87,86.97,90.21,2534800
2021-11-04,90.92,91.45,87.78,87.91,2876300
2021-11-05,90.25,94.5,90.25,93.52,5371700
2021-11-08,95.15,95.15,91.28,91.53,3136600
2021-11-09,91.94,93.0,88.84,90.82,4844300
2021-11-10,89.61,94.91,88.0,88.8,8679800
