Date,Open,High,Low,Close,Volume
2021-07-12,57.6,57.89,57.27,57.84,1850900
2021-07-13,57.8,58.1,57.42,57.62,2048700
2021-07-14,57.68,58.36,57.28,58.05,2923000
2021-07-15,58.02,58.61,57.88,58.59,3142600
2021-07-16,58.52,59.36,58.52,58.94,2844100
2021-07-19,59.14,59.95,57.6,58.2,4035200
2021-07-20,58.39,59.08,57.95,58.11,3107100
2021-07-21,57.99,58.18,57.1,57.17,2310100
2021-07-22,57.1,57.56,56.99,57.33,2023100
2021-07-23,57.54,58.23,57.38,58.2,1774500
2021-07-26,58.15,58.32,57.66,58.24,1540300
2021-07-27,58.15,59.4,57.93,59.22,2448000
2021-07-28,59.12,59.25,58.16,58.57,2087500
2021-07-29,59.48,59.48,58.26,58.65,1514900
2021-07-30,58.69,59.3,58.07,58.19,2525000
2021-08-02,58.28,58.77,57.91,58.45,2316100
2021-08-03,58.52,59.14,58.31,58.57,1812800
2021-08-04,58.42,58.87,57.88,58.78,2686400
2021-08-05,58.89,59.17,58.37,59.03,2025700
2021-08-06,58.9,59.32,58.55,58.89,2077300
2021-08-09,58.89,59.21,58.51,58.93,1415100
2021-08-10,58.98,58.98,58.49,58.58,1579100
2021-08-11,58.8,59.19,58.7,58.89,1728900
2021-08-12,58.85,59.12,58.47,58.65,2272000
2021-08-13,58.89,59.06,58.68,58.86,1569400
2021-08-16,59.08,59.96,58.98,59.48,2358000
2021-08-17,59.37,59.76,59.21,59.64,2026200
2021-08-18,59.48,59.75,58.88,59.11,2562400
2021-08-19,59.3,60.07,59.18,59.78,3657600
2021-08-20,59.41,60.6,59.31,60.2,3409800
2021-08-23,59.9,59.99,58.82,58.82,2809400
2021-08-24,58.83,58.97,57.62,58.22,2463200
2021-08-25,58.12,58.7,57.56,58.24,2212300
2021-08-26,58.03,58.35,57.62,58.23,1637700
2021-08-27,58.95,58.95,58.03,58.57,3288500
2021-08-30,58.43,59.12,58.21,58.85,1642600
2021-08-31,58.88,59.18,58.26,58.61,2696100
2021-09-01,58.84,59.65,58.68,59.47,1804500
2021-09-02,59.52,59.99,59.47,59.95,1489400
2021-09-03,59.77,60.04,59.26,59.51,1698000
2021-09-07,59.16,59.16,57.89,57.89,2292400
2021-09-08,57.77,59.15,57.65,59.09,2069700
2021-09-09,58.87,59.3,58.65,59.06,2791300
2021-09-10,59.02,59.02,57.73,57.77,2307700
2021-09-13,58.15,58.4,57.15,57.19,2438300
2021-09-14,57.45,57.57,56.68,56.75,2567000
2021-09-15,56.32,56.87,56.05,56.18,3058100
2021-09-16,56.1,56.6,55.72,55.8,3098700
2021-09-17,55.64,55.87,54.77,54.94,6977400
2021-09-20,55.24,55.3,54.05,54.46,5245300
2021-09-21,54.58,55.02,54.25,54.33,3125200
2021-09-22,54.3,54.76,54.06,54.24,3422200
2021-09-23,54.11,54.67,53.94,53.99,2489000
2021-09-24,54.03,54.52,53.84,54.36,3806300
2021-09-27,54.27,54.69,53.38,53.44,3321400
2021-09-28,53.46,53.59,52.5,52.72,4454500
2021-09-29,52.78,54.12,52.54,53.8,3013500
2021-09-30,53.75,54.1,53.43,53.65,3965800
2021-10-01,54.68,54.7,53.57,53.64,4275100
2021-10-04,53.56,55.06,53.46,54.85,4925400
2021-10-05,54.94,55.01,54.21,54.34,3376400
2021-10-06,54.13,55.27,53.93,55.22,2996300
2021-10-07,55.37,55.89,54.87,54.91,2877600
2021-10-08,54.93,55.02,54.17,54.25,2034300
2021-10-11,53.63,54.11,52.89,53.6,5239600
2021-10-12,53.56,54.16,53.36,54.08,4038300
2021-10-13,54.84,55.36,54.16,55.27,4936300
2021-10-14,55.42,56.5,55.17,56.17,4858700
2021-10-15,56.21,56.66,55.96,56.6,15991200
2021-10-18,56.16,56.22,55.25,55.52,3150500
2021-10-19,56.12,56.12,55.47,55.74,2631800
2021-10-20,55.94,56.57,55.92,56.29,2486500
2021-10-21,56.36,56.57,56.05,56.32,2344300
2021-10-22,56.48,56.65,56.21,56.27,1978800
2021-10-25,56.22,56.22,55.42,55.51,2402800
2021-10-26,55.56,55.85,55.32,55.35,3925600
2021-10-27,55.5,55.74,54.19,54.42,3546000
2021-10-28,54.15,55.45,53.51,55.22,3178400
2021-10-29,56.24,56.31,55.02,55.45,4082900
2021-11-01,55.29,55.61,55.03,55.37,2502400
2021-11-02,55.69,55.84,55.01,55.55,2395400
2021-11-03,55.24,55.65,54.05,54.51,2397000
2021-11-04,54.44,54.78,53.81,54.14,5254700
2021-11-05,54.43,55.06,54.31,54.77,4477200
2021-11-08,54.8,54.93,53.53,53.86,2656200
2021-11-09,53.92,54.78,53.81,54.6,6245000
2021-11-10,54.79,55.37,54.6,55.27,2254900
2021-11-11,55.2,55.2,54.11,54.51,1899400
2021-11-12,54.45,54.61,53.91,54.19,3844200
2021-11-15,54.31,55.24,54.23,55.21,2180300
2021-11-16,55.24,55.58,55.0,55.03,2891200
2021-11-17,54.9,55.84,54.66,55.77,3527700
2021-11-18,55.6,55.6,54.95,55.22,2432600
2021-11-19,55.21,56.0,55.04,55.88,2924400
2021-11-22,56.09,57.54,55.76,56.92,5212500
2021-11-23,56.76,57.09,56.25,56.52,1922300
2021-11-24,56.55,56.6,56.05,56.27,2055500
2021-11-26,56.24,56.72,55.47,55.59,2144000
2021-11-29,55.56,56.47,55.11,56.3,2630200
2021-11-30,56.12,56.12,54.51,54.71,4298600
2021-12-01,55.3,56.29,54.81,55.12,3568300
2021-12-02,55.28,56.01,55.16,55.5,2978700
2021-12-03,55.84,56.3,55.08,55.94,3328200
2021-12-06,56.4,56.99,55.92,55.95,3772100
2021-12-07,55.88,56.71,55.67,56.69,4990400
2021-12-08,56.74,57.79,56.59,57.61,3039800
2021-12-09,57.56,57.7,57.07,57.34,3222600
2021-12-10,57.74,57.9,57.0,57.09,2844000
2021-12-13,57.04,58.24,57.04,57.91,2500200
2021-12-14,57.79,58.09,57.27,57.85,3102400
2021-12-15,58.08,59.13,58.03,59.08,3457200
2021-12-16,58.87,59.72,58.64,59.19,3774600
2021-12-17,58.66,59.12,57.38,57.51,5062800
2021-12-20,57.02,57.72,56.38,57.62,2373900
2021-12-21,57.94,58.13,57.13,57.34,2901100
2021-12-22,56.83,57.86,56.83,57.68,2247100
2021-12-23,57.74,57.94,57.46,57.57,2442400
2021-12-27,57.75,57.86,57.37,57.75,1211500
2021-12-28,57.75,58.45,57.75,58.45,1213900
2021-12-29,58.53,58.84,58.32,58.74,1502600
2021-12-30,58.96,59.02,58.59,58.97,1744500
2021-12-31,58.29,58.76,57.41,58.51,5704600
2022-01-03,58.48,58.77,57.76,58.72,3501100
2022-01-04,58.66,60.1,58.57,59.09,4197000
2022-01-05,59.09,60.34,58.91,59.67,4166000
2022-01-06,59.79,60.13,59.05,59.21,2296000
2022-01-07,59.01,60.01,58.56,59.72,2673100
2022-01-10,60.06,60.68,59.87,60.38,3760600
