Date,Open,High,Low,Close,Volume
2021-07-12,147.6,149.12,146.92,148.54,774045
2021-07-13,148.29,148.95,145.65,146.01,939154
2021-07-14,146.39,146.65,144.32,144.65,1171625
2021-07-15,143.82,144.42,141.77,142.34,1524709
2021-07-16,142.68,143.12,140.48,142.62,2086986
2021-07-19,140.8,141.26,138.85,139.62,1439219
2021-07-20,139.7,145.06,139.7,144.7,1792715
2021-07-21,146.45,148.61,145.31,148.36,1806311
2021-07-22,148.74,148.74,145.82,147.51,886418
2021-07-23,148.43,149.49,147.94,148.73,815863
2021-07-26,147.98,148.85,146.88,148.43,585040
2021-07-27,147.9,151.8,147.39,151.4,980251
2021-07-28,151.86,152.1,150.53,151.14,910211
2021-07-29,151.82,152.01,149.42,151.31,930090
2021-07-30,151.35,153.39,151.0,151.94,1154527
2021-08-02,152.55,153.78,151.34,151.56,1721336
2021-08-03,142.24,144.2,139.5,142.91,4462269
2021-08-04,142.02,142.72,137.09,137.82,2456653
2021-08-05,137.8,139.7,136.94,139.62,1786432
2021-08-06,139.74,140.05,137.14,138.53,1653974
2021-08-09,138.53,138.63,136.45,137.08,1766553
2021-08-10,136.86,136.88,133.57,135.53,3133466
2021-08-11,136.52,136.55,135.34,135.46,1368767
2021-08-12,135.22,136.69,135.12,136.12,2221813
2021-08-13,135.74,136.45,134.78,135.83,1501431
2021-08-16,135.71,136.74,134.31,136.27,1828147
2021-08-17,135.81,137.77,134.4,137.47,2029100
2021-08-18,137.66,137.9,134.19,134.24,1338382
2021-08-19,132.82,134.66,132.82,134.0,1201392
2021-08-20,134.47,135.88,133.11,135.24,1049673
2021-08-23,135.79,136.16,134.0,135.13,1131043
2021-08-24,135.04,138.86,135.04,138.29,2439761
2021-08-25,138.53,141.06,137.91,139.83,1715053
2021-08-26,139.32,140.36,138.54,139.08,1127438
2021-08-27,139.4,140.42,138.75,139.53,1114048
2021-08-30,139.69,140.4,138.91,139.26,921438
2021-08-31,139.57,140.33,139.25,139.88,1222095
2021-09-01,140.17,140.52,139.05,140.27,913095
2021-09-02,140.81,141.64,138.1,138.62,1348682
2021-09-03,138.42,138.79,135.75,136.43,2822715
2021-09-07,136.06,136.95,134.72,136.32,1550871
2021-09-08,136.02,137.92,135.09,137.12,1365677
2021-09-09,137.02,139.13,134.14,134.2,1377522
2021-09-10,134.29,134.59,130.5,130.57,1349403
2021-09-13,130.99,132.51,130.63,131.09,1549841
2021-09-14,131.09,139.56,129.52,137.31,4260286
2021-09-15,137.35,137.84,134.62,135.75,2014474
2021-09-16,136.4,137.55,135.2,135.96,1464660
2021-09-17,135.29,136.61,134.21,136.41,1877278
2021-09-20,134.85,135.62,132.34,133.93,1240841
2021-09-21,135.33,135.59,132.7,132.73,1502770
2021-09-22,133.67,136.65,133.11,135.46,1082118
2021-09-23,135.69,141.0,135.32,139.83,2297827
2021-09-24,139.83,141.07,138.71,140.61,1707534
2021-09-27,140.04,142.96,139.79,140.89,1626782
2021-09-28,140.43,141.69,139.49,140.25,1664377
2021-09-29,140.12,140.74,138.59,139.09,941317
2021-09-30,139.58,140.09,136.25,136.3,1017331
2021-10-01,137.35,139.81,136.9,139.19,1426550
2021-10-04,138.58,139.71,135.22,136.64,1168329
2021-10-05,136.69,138.76,135.89,135.97,1190577
2021-10-06,134.51,136.53,132.87,136.28,1129807
2021-10-07,137.29,139.56,136.85,137.58,1020524
2021-10-08,137.5,137.95,136.33,136.57,513867
2021-10-11,136.3,137.84,133.87,133.9,816378
2021-10-12,133.92,134.5,132.51,132.99,796087
2021-10-13,133.02,133.29,131.74,132.95,907018
2021-10-14,134.16,135.87,133.97,135.62,821219
2021-10-15,136.75,137.07,135.75,136.3,909799
2021-10-18,135.21,135.75,133.1,135.0,1057295
2021-10-19,133.63,139.52,133.63,138.68,1049776
2021-10-20,139.68,140.86,137.92,139.81,1119095
2021-10-21,139.82,141.3,139.36,140.44,761685
2021-10-22,140.38,141.12,139.61,140.08,330424
2021-10-25,140.03,141.41,139.0,140.64,849853
2021-10-26,141.12,141.12,139.48,139.53,476066
2021-10-27,139.67,139.67,136.21,136.25,678564
2021-10-28,136.04,136.89,134.96,135.51,952029
2021-10-29,133.18,133.62,129.66,133.28,1681063
2021-11-01,133.67,137.06,133.29,135.76,1176672
2021-11-02,135.86,136.64,134.57,135.65,910932
2021-11-03,135.22,138.51,135.22,138.51,1450034
2021-11-04,135.02,135.96,127.29,128.28,3757440
2021-11-05,132.48,136.04,130.25,131.92,3066413
2021-11-08,131.69,132.23,127.6,128.12,2834251
2021-11-09,127.56,128.87,124.59,125.14,4217541
2021-11-10,124.78,126.68,124.25,124.66,1354038
2021-11-11,124.15,124.96,121.3,123.57,1642026
2021-11-12,124.04,124.19,122.39,123.28,1666746
2021-11-15,123.35,123.79,121.2,122.11,1500504
2021-11-16,121.72,124.25,121.0,122.7,1663759
2021-11-17,122.11,123.52,121.14,122.07,1361042
2021-11-18,122.35,122.65,120.02,120.03,1351669
2021-11-19,120.02,120.86,118.39,119.95,1971832
2021-11-22,120.13,123.08,119.73,121.26,1396062
2021-11-23,118.77,121.86,118.77,121.51,1584964
2021-11-24,120.95,122.62,120.92,121.31,1222816
2021-11-26,118.4,119.84,116.25,116.98,1404817
2021-11-29,118.05,118.15,114.94,115.01,1471664
2021-11-30,114.09,114.92,111.33,111.38,2515466
2021-12-01,112.87,116.63,111.53,111.55,2070094
2021-12-02,112.1,114.9,112.03,114.48,1447047
2021-12-03,114.94,115.39,111.78,112.88,1794569
2021-12-06,114.82,118.2,114.25,116.86,2323165
2021-12-07,118.91,121.37,118.69,119.6,1861210
2021-12-08,119.64,121.29,119.3,120.09,1327361
2021-12-09,118.25,119.55,116.57,116.81,2521749
2021-12-10,118.12,118.12,114.33,115.93,1696204
2021-12-13,115.93,118.25,115.93,116.83,1621735
2021-12-14,116.35,117.68,114.63,114.8,1330451
2021-12-15,114.23,114.92,110.14,112.38,3248929
2021-12-16,113.01,114.96,111.28,112.19,3340702
2021-12-17,111.75,114.76,110.49,112.54,4066646
2021-12-20,110.96,111.7,108.58,110.71,2584167
2021-12-21,111.89,115.01,111.28,114.04,1907560
2021-12-22,113.68,116.15,113.08,116.15,1020936
2021-12-23,117.01,118.33,116.3,118.26,1438704
2021-12-27,118.48,119.31,116.92,119.25,1221065
2021-12-28,119.15,120.71,119.0,119.62,1506581
2021-12-29,119.5,120.72,119.18,119.64,2508771
2021-12-30,119.77,120.73,119.49,119.68,1304701
2021-12-31,119.39,120.41,118.49,118.53,941008
2022-01-03,118.82,121.23,118.14,120.48,1184809
2022-01-04,120.26,122.95,119.66,121.7,1400800
2022-01-05,122.32,124.64,121.21,121.3,1895715
2022-01-06,122.12,123.49,120.06,120.29,1088813
2022-01-07,118.68,120.79,118.52,119.56,1690230
2022-01-10,118.81,119.32,117.09,118.4,1942065
2022-01-11,119.02,120.44,118.18,119.78,1488041
2022-01-12,119.48,119.96,115.71,117.17,1902307
2022-01-13,117.73,120.85,117.61,119.49,1861622
2022-01-14,118.35,119.29,116.4,118.84,1446738
2022-01-18,118.35,118.7,116.56,117.88,2185042
2022-01-19,115.25,117.7,114.93,115.01,1795084
