種類,条件,件数,全体で年間,1銘柄あたり何年に1回,訓練_超過,検証_超過,コスト後(検証),訓練_勝率差,検証_勝率差,両期間の最小
RSI21,≤15,170,7.3,80.7,6.31,11.49,11.29,10.4,25.8,6.31
RSI21,≤20,752,32.2,18.2,7.52,6.01,5.81,18.1,14.9,6.01
RSI14,≤15,959,41.1,14.3,6.83,5.38,5.18,17.1,13.2,5.38
急落5日,-25%,982,42.0,14.0,7.52,15.91,15.71,9.9,23.1,7.52
急落10日,-25%,2125,91.0,6.5,5.4,12.07,11.87,7.7,19.2,5.4
急落5日,-20%,2550,109.2,5.4,4.14,12.19,11.99,7.4,19.0,4.14
RSI21,≤25,2900,124.2,4.7,3.99,4.77,4.57,10.2,11.7,3.99
急落15日,-25%,3112,133.2,4.4,4.11,10.6,10.4,7.3,18.1,4.11
RSI14,≤20,3775,161.6,3.6,3.93,4.64,4.44,9.4,10.8,3.93
急落10日,-20%,5018,214.8,2.7,4.24,7.79,7.59,8.0,14.5,4.24
急落15日,-20%,7150,306.1,1.9,3.07,6.74,6.54,5.5,13.3,3.07
急落5日,-15%,7168,306.9,1.9,3.24,6.76,6.56,5.8,13.4,3.24
RSI21,≤30,9268,396.8,1.5,2.49,3.41,3.21,7.3,9.1,2.49
RSI14,≤25,10749,460.2,1.3,2.12,3.08,2.88,7.0,8.2,2.12
急落10日,-15%,12789,547.5,1.1,2.18,4.22,4.02,4.5,9.6,2.18
急落15日,-15%,16416,702.8,0.8,1.42,4.2,4.0,3.0,9.1,1.42
RSI21,≤35,22750,973.9,0.6,1.42,1.62,1.42,4.4,5.5,1.42
急落5日,-10%,23203,993.3,0.6,0.87,3.16,2.96,1.8,7.3,0.87
RSI14,≤30,23851,1021.1,0.6,1.5,1.52,1.32,4.8,5.2,1.5
急落10日,-10%,33260,1423.9,0.4,0.81,1.87,1.67,1.6,4.5,0.81
急落15日,-10%,36867,1578.3,0.4,0.39,1.77,1.57,0.8,4.3,0.39
RSI14,≤35,42503,1819.6,0.3,0.82,0.89,0.69,2.9,3.2,0.82
RSI21,≤40,43701,1870.9,0.3,0.68,0.87,0.67,2.5,3.0,0.68
RSI14,≤40,64187,2747.9,0.2,0.29,0.59,0.39,0.9,2.3,0.29
