種類,期間,しきい値,保有,件数,中央値%,超過%,コスト後%,勝率%,勝率差,平均超過%
急落,5,25%,20,696,8.07,7.79,7.59,63.9,12.9,7.5
RSI,21,20,40,336,8.01,7.52,7.32,69.6,18.1,6.65
急落,5,25%,40,696,8.01,7.52,7.32,61.5,9.9,7.45
RSI,21,20,20,336,7.8,7.51,7.31,72.0,21.0,7.66
急落,5,25%,5,696,7.3,7.3,7.1,67.4,17.8,8.25
RSI,21,20,60,336,7.87,7.16,6.96,66.4,14.4,7.18
急落,5,25%,60,696,7.84,7.13,6.93,62.5,10.6,8.97
RSI,21,20,10,336,6.66,6.53,6.33,69.3,19.0,7.04
RSI,21,20,5,336,5.78,5.78,5.58,71.1,21.6,6.87
急落,10,25%,20,1368,5.89,5.6,5.4,62.3,11.2,5.64
急落,10,25%,40,1368,5.89,5.4,5.2,59.3,7.7,5.03
急落,5,20%,20,1593,5.66,5.37,5.17,62.1,11.0,4.92
急落,15,25%,20,1933,5.55,5.27,5.07,63.1,12.0,5.31
急落,10,25%,60,1368,5.92,5.2,5.0,59.9,8.0,6.73
急落,5,25%,10,696,5.26,5.13,4.93,61.9,11.6,6.9
急落,20,25%,20,2631,5.39,5.11,4.91,62.8,11.8,5.1
急落,5,20%,60,1593,5.57,4.85,4.65,60.1,8.2,5.97
急落,10,20%,20,3089,4.94,4.65,4.45,61.2,10.2,3.96
RSI,21,25,60,1494,5.34,4.62,4.42,61.7,9.8,4.35
急落,20,25%,40,2631,4.85,4.36,4.16,58.7,7.2,4.23
急落,10,20%,60,3089,5.06,4.35,4.15,58.9,7.0,4.79
急落,20,25%,60,2631,4.98,4.27,4.07,58.0,6.0,4.64
急落,10,20%,40,3089,4.73,4.24,4.04,59.6,8.0,4.06
急落,5,20%,5,1593,4.22,4.22,4.02,62.3,12.8,4.76
急落,5,20%,40,1593,4.63,4.14,3.94,58.9,7.4,4.35
急落,15,25%,40,1933,4.6,4.11,3.91,58.9,7.3,4.83
急落,15,25%,60,1933,4.82,4.1,3.9,58.6,6.6,5.8
RSI,21,25,40,1494,4.48,3.99,3.79,61.8,10.2,3.1
RSI,14,20,40,1927,4.42,3.93,3.73,60.9,9.4,2.84
RSI,14,20,60,1927,4.63,3.91,3.71,61.4,9.5,3.52
急落,5,20%,10,1593,3.86,3.73,3.53,60.3,10.0,4.78
急落,15,25%,5,1933,3.68,3.68,3.48,62.4,12.9,4.18
急落,10,25%,5,1368,3.58,3.58,3.38,61.4,11.8,4.77
急落,15,25%,10,1933,3.69,3.56,3.36,62.0,11.7,4.09
RSI,21,25,20,1494,3.83,3.54,3.34,63.9,12.9,4.3
急落,20,25%,10,2631,3.4,3.27,3.07,61.3,11.0,4.2
急落,5,15%,40,3983,3.73,3.24,3.04,57.3,5.8,2.77
急落,15,20%,20,4275,3.53,3.24,3.04,59.6,8.6,3.28
RSI,14,20,20,1927,3.5,3.22,3.02,61.8,10.7,3.75
急落,10,20%,10,3089,3.32,3.19,2.99,60.6,10.3,3.69
急落,20,20%,20,5173,3.43,3.14,2.94,59.3,8.3,3.0
急落,15,20%,40,4275,3.56,3.07,2.87,57.1,5.5,2.99
急落,5,15%,60,3983,3.73,3.02,2.82,56.6,4.6,3.72
急落,5,15%,20,3983,3.29,3.01,2.81,58.2,7.2,2.8
急落,15,20%,10,4275,3.06,2.93,2.73,60.7,10.4,3.17
急落,10,25%,10,1368,3.06,2.93,2.73,58.3,8.0,3.99
急落,20,25%,5,2631,2.86,2.86,2.66,60.7,11.1,3.41
急落,15,20%,60,4275,3.56,2.85,2.65,56.2,4.3,3.27
RSI,21,25,10,1494,2.97,2.84,2.64,62.4,12.1,3.92
急落,20,20%,40,5173,3.24,2.74,2.54,56.9,5.3,2.55
急落,5,15%,10,3983,2.84,2.71,2.51,59.5,9.1,3.08
急落,20,20%,60,5173,3.41,2.7,2.5,55.8,3.8,2.55
急落,10,20%,5,3089,2.68,2.68,2.48,60.2,10.6,3.39
RSI,21,25,5,1494,2.63,2.63,2.43,62.2,12.7,3.6
RSI,21,30,60,4664,3.3,2.58,2.38,58.5,6.6,2.02
RSI,14,20,10,1927,2.65,2.52,2.32,61.1,10.7,3.46
RSI,21,30,40,4664,2.98,2.49,2.29,58.8,7.3,1.71
急落,30,25%,20,3768,2.73,2.44,2.24,57.3,6.2,2.26
急落,10,15%,20,7139,2.71,2.43,2.23,56.9,5.9,2.03
急落,20,20%,10,5173,2.49,2.36,2.16,58.8,8.5,2.62
急落,15,20%,5,4275,2.27,2.27,2.07,59.4,9.8,2.64
急落,30,25%,60,3768,2.95,2.23,2.03,54.9,3.0,2.29
急落,10,15%,60,7139,2.93,2.22,2.02,55.8,3.8,2.62
RSI,14,20,5,1927,2.21,2.21,2.01,61.2,11.6,3.12
急落,10,15%,40,7139,2.67,2.18,1.98,56.0,4.5,2.06
RSI,21,30,20,4664,2.46,2.17,1.97,59.3,8.3,2.24
RSI,14,25,40,5340,2.62,2.12,1.92,58.6,7.0,1.56
急落,5,15%,5,3983,2.12,2.12,1.92,58.2,8.6,2.31
急落,30,25%,40,3768,2.53,2.04,1.84,54.6,3.1,2.11
急落,10,15%,10,7139,2.09,1.96,1.76,57.6,7.3,2.12
RSI,14,25,60,5340,2.61,1.89,1.69,57.3,5.4,1.46
急落,30,20%,20,7171,2.15,1.86,1.66,56.0,5.0,1.65
急落,15,15%,20,9057,2.12,1.83,1.63,56.4,5.4,1.58
急落,5,12%,10,7571,1.95,1.82,1.62,57.5,7.2,2.06
RSI,14,25,20,5340,2.1,1.82,1.62,58.6,7.6,1.98
RSI,21,30,10,4664,1.93,1.8,1.6,58.8,8.5,2.12
急落,30,25%,10,3768,1.9,1.77,1.57,56.9,6.5,2.0
