コード,銘柄名,業種,終値,年率vol%,配分%
8283.T,ＰＡＬＴＡＣ,卸売業,6630.0,3.1,2.0
1882.T,東亜道路工業,建設業,1597.0,12.7,2.0
2371.T,カカクコム,サービス業,3714.0,13.0,2.0
9744.T,メイテックグループホールディングス,サービス業,3348.0,13.1,2.0
1898.T,世紀東急工業,建設業,1458.0,14.0,2.0
8595.T,ジャフコ　グループ,証券、商品先物取引業,2292.0,14.6,2.0
4045.T,東亞合成,化学,1875.0,15.9,2.0
1414.T,ショーボンドホールディングス,建設業,1292.5,16.1,2.0
1377.T,サカタのタネ,水産・農林業,4430.0,16.4,2.0
2749.T,ＪＰホールディングス,サービス業,631.0,16.5,2.0
3543.T,コメダホールディングス,卸売業,2893.0,16.7,2.0
8424.T,芙蓉総合リース,その他金融業,4460.0,16.9,2.0
3002.T,グンゼ,繊維製品,4210.0,17.0,2.0
2109.T,ＤＭ三井製糖,食料品,3485.0,17.3,2.0
8572.T,アコム,その他金融業,482.4,17.4,2.0
7313.T,テイ・エス　テック,輸送用機器,1811.5,17.5,2.0
7984.T,コクヨ,その他製品,874.7,17.6,2.0
4626.T,太陽ホールディングス,化学,4843.0,17.7,2.0
2918.T,わらべや日洋ホールディングス,食料品,2781.0,17.9,2.0
4732.T,ユー・エス・エス,サービス業,1999.5,18.0,2.0
