設定,通期CAGR%,訓練期CAGR%,検証期CAGR%,対ベンチ倍率,最大DD%,年率vol%,CAGR/vol,年回転率%,種別,表示名,ルックバック,リバランス,保有数,コスト前_訓練期CAGR%,コスト前_通期CAGR%
ベンチマーク(587銘柄均等分散),15.63,11.44,19.91,1.0,-53.0,19.6,0.8,0.0,,,,,,,
【採用】業種内リバーサル5日/5日毎/10銘柄,22.85,33.6,13.37,5.21,-53.3,28.8,0.79,4748.0,SECRET,業種内リバーサル,5.0,5.0,10.0,45.97,34.6
短期リバーサル(騰落率)5日/5日毎,20.95,29.41,13.41,3.41,-50.1,27.3,0.77,4675.0,RET,短期リバーサル(騰落率),5.0,5.0,20.0,41.21,32.34
短期リバーサル(騰落率)5日/10日毎,21.43,26.37,16.96,3.8,-48.0,26.9,0.8,2326.0,RET,短期リバーサル(騰落率),5.0,10.0,20.0,31.95,27.0
短期リバーサル(騰落率)5日/21日毎,17.02,18.2,15.94,1.38,-51.5,26.5,0.64,1106.0,RET,短期リバーサル(騰落率),5.0,21.0,20.0,20.65,19.53
短期リバーサル(騰落率)10日/5日毎,16.93,24.22,10.44,1.36,-48.2,27.8,0.61,3666.0,RET,短期リバーサル(騰落率),10.0,5.0,20.0,33.14,25.48
短期リバーサル(騰落率)10日/10日毎,16.19,17.3,15.24,1.14,-54.7,27.4,0.59,2346.0,RET,短期リバーサル(騰落率),10.0,10.0,20.0,22.53,21.57
短期リバーサル(騰落率)10日/21日毎,18.19,19.44,17.06,1.82,-56.4,26.7,0.68,1106.0,RET,短期リバーサル(騰落率),10.0,21.0,20.0,21.91,20.73
短期リバーサル(騰落率)21日/5日毎,17.91,19.12,16.94,1.7,-58.0,28.3,0.63,2698.0,RET,短期リバーサル(騰落率),21.0,5.0,20.0,25.35,24.2
短期リバーサル(騰落率)21日/10日毎,18.55,17.15,20.06,1.97,-57.6,27.9,0.67,1820.0,RET,短期リバーサル(騰落率),21.0,10.0,20.0,21.19,22.78
短期リバーサル(騰落率)21日/21日毎,17.46,15.22,19.74,1.54,-60.1,27.2,0.64,1115.0,RET,短期リバーサル(騰落率),21.0,21.0,20.0,17.63,20.01
短期リバーサル(騰落率)63日/5日毎,16.43,11.04,21.99,1.21,-54.6,28.2,0.58,1694.0,RET,短期リバーサル(騰落率),63.0,5.0,20.0,14.6,20.29
短期リバーサル(騰落率)63日/10日毎,15.7,11.34,20.19,1.02,-59.1,27.9,0.56,1163.0,RET,短期リバーサル(騰落率),63.0,10.0,20.0,13.75,18.32
短期リバーサル(騰落率)63日/21日毎,15.87,12.97,18.81,1.06,-66.0,27.5,0.58,764.0,RET,短期リバーサル(騰落率),63.0,21.0,20.0,14.59,17.59
ボラ調整リバーサル5日/5日毎,12.36,21.24,4.51,0.46,-55.7,22.4,0.55,4782.0,RETVOL,ボラ調整リバーサル,5.0,5.0,20.0,32.57,23.19
ボラ調整リバーサル5日/10日毎,13.7,17.57,10.21,0.63,-49.1,22.4,0.61,2390.0,RETVOL,ボラ調整リバーサル,5.0,10.0,20.0,22.92,19.06
ボラ調整リバーサル5日/21日毎,14.16,15.02,13.43,0.71,-44.1,21.8,0.65,1138.0,RETVOL,ボラ調整リバーサル,5.0,21.0,20.0,17.46,16.69
ボラ調整リバーサル10日/5日毎,12.09,18.55,6.3,0.43,-54.1,22.5,0.54,3825.0,RETVOL,ボラ調整リバーサル,10.0,5.0,20.0,27.37,20.66
ボラ調整リバーサル10日/10日毎,13.19,15.12,11.44,0.56,-46.5,22.1,0.6,2401.0,RETVOL,ボラ調整リバーサル,10.0,10.0,20.0,20.38,18.55
ボラ調整リバーサル10日/21日毎,14.96,14.68,15.31,0.85,-48.0,21.7,0.69,1141.0,RETVOL,ボラ調整リバーサル,10.0,21.0,20.0,17.14,17.51
